EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-11-1,68,56,43,39,34,28,70,47,24,30.33,30.27,30.22,10,10,10,17,4,31,0.00,1,,80
2011-11-2,68,55,42,38,35,31,76,51,26,30.39,30.31,30.25,10,10,10,15,7,18,0.00,0,,104
2011-11-3,71,58,45,57,47,37,90,68,45,30.25,29.99,29.82,10,8,2,25,10,36,0.57,5,Rain,227
2011-11-4,62,54,45,43,40,36,83,66,48,30.11,29.98,29.89,10,10,10,25,15,36,0.00,3,,325
2011-11-5,61,52,43,42,33,25,86,56,25,30.32,30.24,30.12,10,10,8,23,11,35,0.00,0,,66
2011-11-6,66,55,43,47,39,32,77,61,45,30.43,30.36,30.32,10,10,10,18,10,24,0.00,3,,81
2011-11-7,72,60,47,48,46,44,86,64,41,30.39,30.32,30.25,10,10,10,12,6,16,0.00,2,,94
2011-11-8,72,61,49,51,48,45,83,65,47,30.28,30.21,30.14,10,10,10,12,6,15,0.00,3,,104
2011-11-9,71,62,52,58,52,47,83,68,53,30.14,30.06,29.99,10,9,3,15,5,19,0.05,6,Rain,184
2011-11-10,59,51,43,55,35,17,87,58,28,30.12,30.02,29.98,10,10,8,25,15,36,T,5,Rain,319
2011-11-11,58,45,32,26,18,10,59,37,15,30.24,30.19,30.12,10,10,10,16,6,22,0.00,0,,300
2011-11-12,64,49,34,30,27,24,75,50,25,30.32,30.27,30.22,10,10,10,12,4,16,0.00,4,,205
2011-11-13,72,59,46,49,37,23,67,52,36,30.26,30.18,30.10,10,10,10,18,7,25,0.00,5,,182
2011-11-14,78,66,54,57,51,46,77,59,40,30.14,30.07,30.00,10,10,10,20,7,28,T,6,,189
2011-11-15,76,68,59,65,60,55,93,76,58,30.05,29.99,29.93,10,8,1,20,5,24,0.16,7,Rain,212
2011-11-16,75,66,57,66,63,52,93,83,73,29.94,29.85,29.76,10,8,2,22,10,31,0.37,7,Rain-Thunderstorm,217
2011-11-17,57,49,40,51,34,17,86,58,29,30.33,30.12,29.88,10,10,10,23,15,31,T,3,Rain,328
2011-11-18,54,43,32,22,20,18,63,45,26,30.47,30.38,30.33,10,10,10,18,9,23,0.00,1,,91
2011-11-19,63,53,43,45,32,19,62,50,37,30.41,30.34,30.27,10,10,10,16,9,29,0.00,7,,100
2011-11-20,69,60,50,61,52,39,96,78,59,30.36,30.30,30.26,10,7,1,10,5,12,0.12,7,Rain,102
2011-11-21,77,69,60,63,60,58,97,76,54,30.31,30.25,30.15,10,5,0,13,4,17,0.00,6,Fog,226
2011-11-22,77,68,58,63,59,56,93,73,53,30.15,30.04,29.95,10,8,2,23,8,30,0.53,6,Rain-Thunderstorm,203
2011-11-23,63,55,47,61,48,40,93,74,55,30.22,30.07,29.94,10,10,10,26,14,33,0.00,4,,308
2011-11-24,67,53,38,40,34,28,92,58,24,30.37,30.32,30.22,10,10,10,9,4,12,0.00,0,,16
2011-11-25,68,54,39,40,34,28,70,49,27,30.40,30.32,30.25,10,10,10,12,4,15,0.00,1,,132
2011-11-26,70,60,50,52,49,39,83,65,47,30.30,30.22,30.13,10,10,10,17,7,22,0.00,7,,128
2011-11-27,73,66,59,54,51,49,80,62,44,30.12,29.98,29.84,10,10,9,26,13,35,T,7,Rain,152
2011-11-28,65,53,40,61,46,34,93,78,63,29.87,29.79,29.72,10,7,0,24,13,35,0.68,8,Rain,200
2011-11-29,40,38,36,35,33,31,85,78,70,30.01,29.88,29.83,10,10,7,18,10,23,0.01,8,Rain,239
2011-11-30,48,41,34,34,31,27,85,69,53,30.17,30.08,30.01,10,10,10,20,11,24,0.00,5,,308
