EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-3-1,77,69,61,63,59,52,93,68,43,29.96,29.91,29.86,10,9,2,18,8,24,0.46,7,Rain-Thunderstorm,240
2012-3-2,77,70,63,63,60,55,93,72,50,29.90,29.81,29.69,10,9,2,30,14,37,0.14,7,Rain-Thunderstorm,214
2012-3-3,67,57,47,63,46,23,90,59,27,29.85,29.75,29.65,10,7,1,33,12,39,1.95,8,Rain-Thunderstorm,284
2012-3-4,53,47,40,25,22,17,49,38,26,30.09,29.97,29.82,10,10,10,28,14,38,0.00,2,,293
2012-3-5,57,50,42,28,19,14,45,32,19,30.47,30.25,30.02,10,10,10,32,15,45,0.00,0,,310
2012-3-6,61,48,34,28,20,16,52,36,20,30.58,30.51,30.46,10,10,10,16,10,22,0.00,2,,110
2012-3-7,66,57,47,47,42,30,76,59,41,30.54,30.46,30.36,10,10,10,14,9,21,0.00,5,,116
2012-3-8,76,63,50,54,50,47,89,65,41,30.36,30.25,30.11,10,9,6,20,9,25,0.00,5,,164
2012-3-9,68,59,50,56,48,24,93,64,35,30.32,30.22,30.16,10,6,0,28,10,33,0.53,7,Rain,315
2012-3-10,65,54,42,29,27,25,53,39,24,30.44,30.37,30.31,10,10,10,20,9,24,0.00,2,,72
2012-3-11,68,55,42,52,40,26,65,52,38,30.49,30.41,30.33,10,10,10,16,10,21,0.00,6,,107
2012-3-12,66,62,57,58,53,51,90,77,63,30.35,30.30,30.23,10,10,7,16,8,20,0.06,8,Rain,139
2012-3-13,75,68,60,63,59,55,97,75,53,30.27,30.23,30.16,10,6,0,14,5,17,0.02,6,Rain-Thunderstorm,218
2012-3-14,81,71,60,60,56,50,90,63,36,30.27,30.22,30.16,10,10,10,12,5,15,0.00,3,,287
2012-3-15,82,71,59,58,54,49,78,56,33,30.28,30.22,30.16,10,10,10,28,3,37,T,4,Rain,283
2012-3-16,83,71,59,56,51,46,75,53,30,30.25,30.19,30.11,10,10,10,13,5,23,T,5,,276
2012-3-17,82,72,61,57,54,50,78,60,42,30.25,30.19,30.13,10,10,10,16,3,20,T,5,Rain,64
2012-3-18,84,72,60,54,51,46,78,53,28,30.29,30.20,30.14,10,10,10,12,3,16,0.00,4,,238
2012-3-19,83,72,61,56,53,50,73,54,34,30.22,30.14,30.08,10,10,8,9,2,15,0.00,4,,163
2012-3-20,83,73,62,57,53,48,78,56,33,30.17,30.11,30.04,10,10,6,18,6,24,0.00,3,,131
2012-3-21,77,69,61,61,56,53,90,68,46,30.22,30.17,30.11,10,10,7,16,9,21,0.00,5,,122
2012-3-22,77,71,65,62,60,57,87,71,54,30.22,30.16,30.09,10,9,7,13,7,17,T,7,Rain,125
2012-3-23,71,68,64,63,61,57,87,79,70,30.12,30.04,29.94,10,9,5,22,9,28,0.01,7,Rain,183
2012-3-24,74,67,60,61,51,40,93,63,33,29.93,29.88,29.79,10,10,10,24,9,30,T,5,Rain,259
2012-3-25,72,61,49,48,44,41,89,62,35,29.94,29.89,29.85,10,10,10,24,13,31,0.00,1,,313
2012-3-26,81,68,55,50,46,40,77,50,23,30.05,29.99,29.93,10,10,10,14,8,17,0.00,0,,335
2012-3-27,77,68,58,46,44,39,57,44,31,30.24,30.15,30.03,10,10,9,21,9,25,0.00,1,,92
2012-3-28,81,69,56,56,51,46,93,63,32,30.21,30.13,30.02,10,9,2,17,7,23,0.00,4,,213
2012-3-29,80,69,58,55,52,49,80,60,39,30.04,29.99,29.92,10,10,10,15,7,17,0.00,4,,265
2012-3-30,79,69,58,61,56,46,93,63,32,30.00,29.94,29.88,10,10,5,21,7,28,0.08,5,Rain,214
2012-3-31,78,71,63,61,60,54,93,71,49,29.92,29.87,29.80,10,8,2,10,7,17,0.27,7,Rain,271
