CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-5-1,83,71,58,72,58,48,93,68,42,29.65,29.54,29.46,10,9,3,23,7,28,T,4,,351
2010-5-2,87,70,52,57,46,29,84,49,13,29.82,29.72,29.65,10,10,10,15,5,21,T,3,Rain,237
2010-5-3,90,68,45,55,47,43,93,57,21,30.03,29.91,29.82,10,10,8,20,7,26,0.00,1,,223
2010-5-4,90,69,47,54,50,46,96,60,24,30.05,29.95,29.83,10,10,10,16,7,20,0.00,0,,203
2010-5-5,94,71,47,61,52,47,100,62,24,29.88,29.85,29.80,10,10,10,21,8,26,0.00,0,,194
2010-5-6,93,77,61,67,63,58,97,67,36,29.89,29.83,29.74,10,10,6,22,12,28,0.00,5,,173
2010-5-7,95,84,72,70,67,59,90,66,41,30.03,29.85,29.76,10,9,7,23,13,29,0.00,5,,187
2010-5-8,78,73,68,58,51,45,57,47,37,30.22,30.13,30.03,10,10,10,25,15,31,0.00,6,,31
2010-5-9,81,72,63,70,61,51,82,68,53,30.14,30.05,29.96,10,10,10,20,9,25,T,7,Rain,96
2010-5-10,89,81,73,70,69,68,87,71,55,29.97,29.87,29.76,10,10,6,25,16,33,0.00,7,,173
2010-5-11,92,83,73,71,69,67,87,66,44,29.89,29.82,29.75,10,9,6,26,13,33,T,6,,164
2010-5-12,93,83,73,72,69,66,87,66,44,29.83,29.79,29.72,10,9,7,28,17,36,0.00,6,,163
2010-5-13,91,83,74,72,69,65,84,65,46,30.01,29.90,29.80,10,10,9,25,12,32,0.00,7,,152
2010-5-14,77,71,64,71,67,64,100,91,82,30.10,30.02,29.92,10,9,2,20,7,24,0.20,7,Rain-Thunderstorm,105
2010-5-15,85,75,64,66,64,63,93,72,51,30.06,29.99,29.88,10,9,4,24,8,35,0.76,6,Rain-Thunderstorm,60
2010-5-16,85,74,63,70,67,63,100,78,55,30.02,29.96,29.88,10,9,7,10,2,15,T,4,Rain,172
2010-5-17,91,78,64,70,66,64,100,73,46,30.08,29.98,29.89,10,9,6,28,6,32,0.05,4,Rain-Thunderstorm,191
2010-5-18,88,77,66,70,66,64,93,70,46,29.97,29.90,29.82,10,10,6,16,6,23,0.00,5,,154
2010-5-19,91,78,64,72,69,64,100,75,50,29.84,29.78,29.68,10,7,1,22,11,29,0.00,4,Fog,179
2010-5-20,88,82,75,73,72,71,87,74,61,29.87,29.77,29.73,10,10,8,17,9,22,T,7,Rain,186
2010-5-21,92,82,72,73,70,67,93,70,47,29.96,29.89,29.83,10,10,9,17,10,22,0.00,5,,175
2010-5-22,92,84,75,72,71,69,87,68,49,29.92,29.86,29.78,10,10,8,22,14,30,0.00,7,,169
2010-5-23,93,85,77,73,72,70,88,69,49,29.89,29.85,29.80,10,10,10,23,15,31,0.00,6,,159
2010-5-24,91,82,72,72,69,65,93,69,44,29.93,29.88,29.81,10,10,8,22,11,28,0.00,5,,144
2010-5-25,88,80,72,73,70,65,93,72,51,29.95,29.89,29.82,10,10,9,18,9,26,T,7,Rain,152
2010-5-26,91,78,64,72,67,63,100,71,41,30.04,29.97,29.89,10,8,0,13,3,17,0.00,5,Fog,197
2010-5-27,95,80,64,69,65,60,100,67,33,30.01,29.94,29.88,10,10,6,13,3,14,0.00,2,,161
2010-5-28,96,81,65,68,65,61,93,63,33,29.94,29.87,29.78,10,10,8,10,2,15,0.00,1,,152
2010-5-29,95,81,66,69,66,63,93,65,36,29.82,29.77,29.69,10,9,7,9,3,15,0.00,2,Fog,174
2010-5-30,92,80,68,69,67,62,87,63,38,29.88,29.79,29.75,10,10,8,15,6,18,0.00,4,,198
2010-5-31,94,79,63,72,67,64,100,70,39,29.97,29.90,29.86,10,9,4,14,7,22,0.00,1,,182
