CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-11-1,87,69,51,66,58,50,100,65,30,30.09,30.03,29.94,10,6,0,14,4,17,0.00,3,Fog,222
2012-11-2,85,70,55,66,60,54,100,69,37,30.05,29.99,29.91,10,7,0,16,6,24,0.00,3,Fog,190
2012-11-3,86,71,56,68,62,55,100,69,37,30.10,30.03,29.96,10,6,0,25,4,32,0.00,4,Fog,189
2012-11-4,82,69,55,62,59,55,100,73,45,30.12,30.06,30.01,10,10,4,13,3,16,0.00,3,Fog,20
2012-11-5,87,70,53,63,55,40,93,67,40,30.08,30.02,29.93,10,9,5,17,5,22,0.00,2,,348
2012-11-6,80,63,45,46,41,37,86,56,25,30.20,30.12,30.06,10,10,10,14,4,16,0.00,0,,17
2012-11-7,82,64,45,49,45,43,93,60,26,30.20,30.11,30.04,10,10,10,9,2,12,0.00,0,,195
2012-11-8,85,66,46,61,55,44,100,67,34,30.15,30.08,29.99,10,7,0,23,9,29,0.00,3,Fog,170
2012-11-9,85,73,60,64,60,54,100,70,40,30.07,30.01,29.93,10,10,8,24,12,32,0.00,3,,171
2012-11-10,83,73,62,63,61,58,93,68,43,30.01,29.93,29.86,10,10,10,26,14,35,0.00,5,,165
2012-11-11,83,72,61,66,54,19,90,60,29,30.18,29.94,29.82,10,10,10,29,13,37,0.00,7,,213
2012-11-12,67,52,37,49,29,21,67,43,19,30.50,30.40,30.19,10,10,10,24,13,28,0.00,3,,9
2012-11-13,57,45,33,36,28,23,82,55,27,30.52,30.42,30.34,10,10,10,14,5,18,0.00,6,,42
2012-11-14,67,51,35,37,31,25,76,49,22,30.43,30.35,30.27,10,10,9,12,3,21,0.00,3,,49
2012-11-15,65,50,34,44,36,32,89,60,31,30.33,30.28,30.22,10,10,10,8,1,12,0.00,6,,140
2012-11-16,68,51,34,43,33,27,82,52,21,30.39,30.33,30.27,10,10,10,16,6,25,0.00,2,,28
2012-11-17,69,50,31,36,32,28,92,57,22,30.42,30.34,30.28,10,10,9,9,1,15,0.00,1,,116
2012-11-18,74,55,36,52,44,33,92,64,35,30.31,30.24,30.17,10,10,8,15,5,22,0.00,2,,167
2012-11-19,76,62,47,55,51,46,93,70,46,30.27,30.20,30.13,10,10,7,15,4,22,0.00,4,,182
2012-11-20,82,64,45,57,53,45,100,71,42,30.21,30.16,30.09,10,10,5,10,2,13,0.00,2,,208
2012-11-21,81,64,46,57,49,43,100,65,30,30.26,30.19,30.14,10,9,4,13,4,16,0.00,3,Fog,180
2012-11-22,80,61,42,56,51,44,100,70,39,30.16,30.11,30.04,10,9,3,21,6,26,0.00,2,Fog,190
2012-11-23,74,61,48,57,44,23,100,64,27,30.38,30.27,30.13,10,9,5,24,10,29,0.00,5,,4
2012-11-24,65,51,36,29,24,19,64,41,18,30.42,30.31,30.17,10,10,10,16,5,18,0.00,1,,17
2012-11-25,77,57,36,58,45,28,90,64,38,30.15,30.02,29.92,10,10,10,23,9,28,0.00,1,,195
2012-11-26,83,72,60,63,58,41,100,73,46,30.21,29.98,29.89,10,8,0,21,10,26,T,7,Fog-Rain,210
2012-11-27,61,47,33,43,36,31,92,68,43,30.40,30.33,30.20,10,10,10,24,11,30,T,6,Rain,4
2012-11-28,69,50,31,43,37,29,92,63,33,30.47,30.36,30.28,10,10,7,10,2,17,0.00,0,,138
2012-11-29,73,53,33,59,46,34,100,75,49,30.29,30.22,30.12,10,6,0,15,4,18,0.00,6,Fog,178
2012-11-30,79,69,58,63,60,55,93,74,54,30.18,30.12,30.02,10,8,0,16,6,23,0.00,7,,188
