EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-4-1,40,37,33,34,32,30,96,86,76,29.74,29.35,29.18,10,5,1,28,15,37,0.45,8,Rain-Snow,346
2011-4-2,53,45,37,34,29,25,76,56,35,29.57,29.39,29.25,10,10,10,26,15,36,T,5,,281
2011-4-3,55,48,40,27,17,8,53,35,16,29.99,29.76,29.58,10,10,10,28,14,38,0.00,1,,305
2011-4-4,50,44,37,46,37,25,93,71,49,30.03,29.76,29.53,10,7,1,21,7,24,0.38,7,Rain,159
2011-4-5,64,50,35,56,44,27,100,78,55,29.59,29.34,29.17,10,7,1,35,17,43,0.07,7,Rain,256
2011-4-6,54,45,36,31,22,18,65,46,26,30.04,29.84,29.63,10,10,10,26,15,35,0.00,4,,287
2011-4-7,46,40,34,33,29,22,75,61,46,30.17,30.11,30.06,10,10,10,16,8,18,0.00,2,,66
2011-4-8,48,42,36,31,27,21,76,57,37,30.28,30.21,30.17,10,10,10,18,9,22,0.00,4,,143
2011-4-9,61,48,35,34,28,18,89,58,27,30.20,30.14,30.06,10,10,8,21,10,24,0.00,4,,199
2011-4-10,65,53,40,42,29,21,50,40,30,30.18,30.09,29.97,10,10,10,22,11,28,0.04,6,Rain,198
2011-4-11,72,60,47,55,50,45,100,79,57,29.99,29.70,29.46,10,9,6,24,13,29,0.01,8,Rain,201
2011-4-12,66,57,47,55,40,32,84,58,32,30.21,29.87,29.51,10,10,9,26,10,36,0.08,7,Rain,311
2011-4-13,49,46,43,44,41,37,96,81,66,30.20,30.02,29.83,10,4,2,25,13,30,1.33,8,Rain,63
2011-4-14,65,54,43,42,38,32,96,64,31,30.23,29.95,29.82,10,9,3,23,11,30,0.02,5,,317
2011-4-15,47,42,37,32,25,22,64,55,45,30.54,30.45,30.25,10,10,10,18,12,23,0.00,3,,84
2011-4-16,46,41,36,42,32,27,86,72,57,30.54,30.34,29.88,10,10,6,29,19,36,0.07,6,Rain,115
2011-4-17,63,55,46,54,44,24,93,61,28,29.80,29.57,29.41,10,8,2,30,18,36,0.96,6,Rain,219
2011-4-18,61,53,44,38,29,22,71,48,25,30.02,29.90,29.75,10,10,10,26,15,35,T,5,,246
2011-4-19,52,47,42,41,39,37,89,76,63,30.19,30.11,29.97,10,9,3,14,6,17,0.15,8,Rain,82
2011-4-20,46,44,42,41,40,37,96,86,76,30.16,29.94,29.82,10,5,0,18,9,24,T,8,Fog-Rain,62
2011-4-21,56,49,41,43,30,17,96,62,27,30.32,30.00,29.86,10,7,0,36,18,46,0.00,4,Fog,286
2011-4-22,50,44,38,35,27,22,76,56,36,30.47,30.43,30.32,10,10,9,16,10,22,0.00,5,,84
2011-4-23,55,47,39,52,42,28,93,73,53,30.44,30.17,29.94,10,6,2,21,11,25,0.40,8,Rain,168
2011-4-24,75,65,54,56,51,44,93,64,35,30.04,29.95,29.87,10,7,2,22,9,28,0.03,7,Rain,251
2011-4-25,57,52,46,50,47,44,93,83,72,30.14,30.10,30.04,10,5,0,12,6,14,0.01,8,Fog-Rain,82
2011-4-26,54,50,46,51,47,44,100,90,80,30.08,30.02,30.00,10,2,0,18,7,22,0.00,8,Fog,63
2011-4-27,78,63,47,64,53,46,93,77,60,30.02,29.99,29.93,10,5,0,23,9,26,0.01,7,Fog,112
2011-4-28,70,66,62,63,62,60,93,86,78,29.92,29.74,29.62,10,8,3,33,18,41,0.03,8,Rain-Thunderstorm,204
2011-4-29,75,67,58,61,46,36,90,58,25,29.83,29.68,29.62,10,10,10,24,11,30,0.00,4,,246
2011-4-30,61,55,48,43,39,36,80,62,44,30.22,30.02,29.85,10,10,10,17,9,23,0.00,6,,50
