EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-7-1,81,70,58,52,44,40,56,40,23,30.24,30.19,30.15,10,10,10,16,6,22,0.00,3,,322
2010-7-2,84,70,56,52,47,42,67,46,24,30.28,30.23,30.18,10,10,10,14,5,22,0.00,3,,336
2010-7-3,89,74,58,59,52,47,72,48,23,30.23,30.15,30.07,10,10,10,13,4,20,0.00,1,,225
2010-7-4,98,79,59,65,57,47,84,51,18,30.09,30.04,29.97,10,10,8,12,4,16,0.00,1,,243
2010-7-5,100,84,68,67,63,61,84,57,29,30.04,30.00,29.96,10,8,6,13,4,17,0.00,4,,276
2010-7-6,105,90,75,67,64,57,69,45,21,30.05,30.01,29.98,10,7,5,13,5,20,0.00,1,,288
2010-7-7,101,88,75,70,66,63,74,53,31,30.03,30.00,29.95,9,7,5,14,5,21,0.00,2,,65
2010-7-8,94,86,78,73,70,63,79,63,46,30.02,29.99,29.94,10,8,3,16,8,20,0.00,3,,108
2010-7-9,93,83,73,72,70,67,87,66,44,30.00,29.92,29.81,10,10,10,20,6,24,0.00,5,,117
2010-7-10,80,77,73,72,70,67,87,78,69,29.88,29.83,29.78,10,5,1,15,5,22,0.43,8,Rain,353
2010-7-11,93,81,68,68,60,51,90,57,24,29.91,29.87,29.84,10,10,7,14,5,20,0.00,3,,283
2010-7-12,88,78,67,73,68,63,87,75,63,29.93,29.88,29.84,10,8,2,29,4,44,0.98,7,Rain-Thunderstorm,156
2010-7-13,88,81,73,73,71,69,93,74,55,29.89,29.87,29.83,10,8,1,22,4,31,0.67,7,Rain-Thunderstorm,203
2010-7-14,87,80,73,72,71,68,93,74,55,29.99,29.88,29.82,10,6,1,22,6,26,0.75,7,Rain-Thunderstorm,290
2010-7-15,95,83,71,72,70,66,93,67,41,30.05,30.01,29.98,10,9,6,12,3,17,0.00,2,,194
2010-7-16,98,85,72,73,69,64,87,61,35,30.01,29.94,29.87,10,8,5,20,5,25,T,3,,271
2010-7-17,94,84,74,72,69,63,87,63,38,29.98,29.93,29.88,10,8,2,18,5,26,0.22,5,Rain-Thunderstorm,236
2010-7-18,95,83,71,72,69,66,74,57,39,29.95,29.90,29.87,10,9,0,52,8,72,0.48,5,Rain-Thunderstorm,237
2010-7-19,93,83,73,74,71,68,93,71,49,29.94,29.87,29.81,10,9,1,16,6,21,T,6,Rain-Thunderstorm,227
2010-7-20,93,84,74,74,70,67,79,63,47,30.00,29.96,29.91,10,10,3,17,6,23,0.01,5,Rain-Thunderstorm,247
2010-7-21,93,85,76,71,70,68,82,66,49,29.98,29.95,29.90,10,10,10,16,6,23,0.00,5,,263
2010-7-22,94,84,74,69,66,61,74,54,33,30.04,30.00,29.96,10,10,10,14,5,21,0.00,4,,314
2010-7-23,98,86,73,74,71,68,87,63,39,30.01,29.96,29.89,10,9,5,14,5,20,0.00,4,,218
2010-7-24,101,92,82,73,71,69,65,51,37,29.93,29.89,29.81,10,10,7,18,8,25,0.00,2,,251
2010-7-25,100,88,75,74,71,68,82,61,39,29.94,29.87,29.78,10,9,0,28,8,43,0.41,4,Fog-Rain-Thunderstorm,267
2010-7-26,89,80,70,72,60,52,87,59,31,30.09,30.04,29.95,10,10,10,15,5,23,0.00,3,,343
2010-7-27,87,77,66,66,63,59,87,65,43,30.13,30.08,30.04,10,10,10,10,3,14,0.00,4,,159
2010-7-28,94,84,73,76,69,64,84,63,41,30.06,30.01,29.91,10,10,9,13,4,18,0.00,4,,201
2010-7-29,93,84,74,74,71,64,85,69,52,29.90,29.87,29.82,10,8,0,26,4,39,0.41,6,Rain-Thunderstorm,273
2010-7-30,85,77,68,64,56,52,70,52,34,29.98,29.94,29.89,10,10,10,15,6,24,0.00,4,,360
2010-7-31,85,75,65,63,61,58,81,62,43,29.96,29.92,29.87,10,10,10,13,4,16,0.00,5,,123
