EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-3-1,34,27,19,27,21,13,78,66,53,30.31,30.08,29.96,10,6,1,23,14,30,0.09,6,Snow,260
2008-3-2,50,34,18,30,20,12,74,59,43,30.32,30.19,30.00,10,10,10,21,12,29,0.00,7,,156
2008-3-3,64,49,33,46,37,30,89,64,39,29.99,29.88,29.76,10,8,4,31,16,40,0.47,7,Rain,234
2008-3-4,34,32,29,30,26,23,89,84,78,30.03,29.81,29.51,10,6,2,38,19,52,0.76,8,Rain-Snow-Thunderstorm,36
2008-3-5,30,28,25,27,23,20,92,81,69,30.11,29.81,29.49,10,6,0,17,10,20,0.21,7,Fog-Rain-Snow,274
2008-3-6,39,32,24,30,26,21,89,80,70,30.23,30.15,30.06,10,8,5,14,7,20,0.00,7,,202
2008-3-7,34,29,23,28,20,16,88,76,63,30.25,30.10,29.95,10,3,0,29,17,33,0.22,8,Fog-Snow,15
2008-3-8,24,19,14,19,17,6,92,77,61,30.09,29.79,29.58,10,2,0,32,20,40,0.54,8,Snow,349
2008-3-9,29,19,9,17,9,2,80,63,46,30.41,30.33,30.12,10,10,8,18,9,23,0.00,5,,229
2008-3-10,38,31,24,30,23,17,85,72,59,30.40,30.35,30.29,10,7,2,13,3,15,0.01,8,Snow,9
2008-3-11,35,29,23,27,23,21,92,74,56,30.31,30.14,29.82,8,4,0,21,10,26,0.02,6,Fog-Snow,218
2008-3-12,37,33,28,27,24,19,75,66,56,30.05,29.92,29.79,10,8,2,18,8,24,T,7,Snow,305
2008-3-13,48,38,28,34,27,19,69,59,49,29.99,29.82,29.70,10,10,10,28,13,32,0.00,6,,195
2008-3-14,45,40,34,40,36,31,92,75,58,29.85,29.74,29.66,10,6,0,12,5,14,0.10,8,Fog-Rain,183
2008-3-15,39,35,30,34,30,26,100,82,64,29.99,29.86,29.76,10,5,0,15,7,18,0.00,6,Fog,328
2008-3-16,34,30,25,26,23,19,85,73,61,30.58,30.31,30.00,10,10,10,16,10,20,0.00,7,,351
2008-3-17,41,32,23,28,19,16,81,59,37,30.66,30.55,30.32,10,10,10,18,8,22,0.05,6,Rain,96
2008-3-18,49,44,38,45,36,25,86,72,57,30.31,30.01,29.80,10,7,2,24,14,32,0.41,8,Rain-Snow,160
2008-3-19,52,42,32,48,37,28,93,88,82,29.83,29.69,29.62,10,4,0,22,13,29,0.74,8,Fog-Rain-Snow,330
2008-3-20,40,36,31,29,23,19,82,65,48,30.28,30.08,29.86,10,10,8,24,12,33,0.00,3,,295
2008-3-21,36,31,26,28,24,19,85,71,56,30.39,30.23,30.06,10,7,1,17,7,23,0.38,6,Snow,38
2008-3-22,31,28,24,27,20,8,92,66,39,30.30,30.08,29.98,10,5,0,28,12,32,0.29,6,Fog-Snow,28
2008-3-23,38,27,15,22,15,10,84,61,38,30.32,30.28,30.24,10,10,10,9,3,12,0.00,4,,47
2008-3-24,32,28,23,23,19,15,78,66,53,30.43,30.35,30.26,10,10,9,17,7,21,T,5,Snow,25
2008-3-25,48,36,24,32,23,17,74,57,40,30.35,30.07,29.87,10,10,9,33,17,44,T,6,Rain,195
2008-3-26,47,41,35,34,30,28,70,60,49,30.16,30.10,29.94,10,10,10,20,7,24,0.00,7,,298
2008-3-27,45,39,33,32,30,24,89,69,49,30.12,29.97,29.85,10,8,2,20,10,24,0.91,8,Rain,46
2008-3-28,37,33,29,30,26,17,92,70,47,30.39,30.11,29.86,10,8,0,23,11,29,0.20,6,Rain-Snow,359
2008-3-29,38,31,23,23,20,18,81,66,51,30.56,30.50,30.40,10,10,10,21,8,25,0.00,2,,43
2008-3-30,51,41,31,39,25,16,76,57,38,30.46,30.36,30.26,10,10,10,22,14,28,0.06,6,Rain,143
2008-3-31,61,54,46,50,44,39,77,71,64,30.25,30.10,29.84,10,10,7,25,16,32,0.05,8,Rain,183
