EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-2-1,19,16,12,14,9,4,96,76,56,30.35,30.15,29.89,10,5,0,25,18,31,0.08,8,Fog-Snow,248
2013-2-2,23,18,13,20,14,5,92,80,67,30.33,30.09,29.97,10,4,0,16,9,20,0.23,8,Fog-Snow,207
2013-2-3,22,18,13,20,14,11,96,82,67,30.07,29.95,29.89,10,5,1,21,11,26,0.02,8,Snow,259
2013-2-4,25,21,17,22,17,10,92,83,74,30.09,29.98,29.89,10,4,1,12,6,14,0.11,8,Snow,213
2013-2-5,28,25,22,24,21,17,96,80,63,29.98,29.93,29.89,10,6,1,15,5,19,0.05,8,Snow,249
2013-2-6,30,23,16,25,17,12,92,71,50,30.38,30.23,29.99,10,9,7,22,7,25,T,5,Snow,353
2013-2-7,44,33,21,29,22,14,71,60,49,30.33,30.17,29.88,10,10,10,21,9,26,0.00,6,,145
2013-2-8,42,34,26,37,27,20,100,82,64,30.31,29.98,29.74,10,5,0,29,18,36,0.23,8,Fog-Rain-Snow,298
2013-2-9,32,27,22,21,19,16,88,71,53,30.48,30.41,30.30,10,10,9,20,7,26,T,5,Snow,355
2013-2-10,49,36,23,35,22,17,81,58,34,30.35,30.12,29.82,10,10,10,25,13,32,T,6,,158
2013-2-11,50,42,33,43,33,23,89,77,64,29.94,29.79,29.68,10,10,10,39,23,50,0.00,7,,229
2013-2-12,36,31,26,26,24,22,85,75,64,30.12,30.02,29.93,10,10,8,23,10,29,T,7,Snow,246
2013-2-13,34,30,26,26,23,21,92,79,66,29.95,29.86,29.78,10,10,6,13,5,16,0.00,6,,297
2013-2-14,40,33,26,34,30,23,85,78,70,29.92,29.85,29.79,10,8,5,28,14,36,0.01,7,Rain,200
2013-2-15,37,32,27,27,22,16,85,72,58,30.14,30.05,29.93,10,9,2,26,9,33,0.01,7,Snow,276
2013-2-16,28,24,19,21,18,12,96,76,55,30.13,30.03,29.98,10,4,0,17,7,23,0.23,7,Fog-Snow,316
2013-2-17,22,15,7,15,10,5,77,65,52,30.29,30.14,30.00,10,8,2,18,11,24,T,7,Snow,304
2013-2-18,48,28,7,30,16,3,80,64,48,30.31,30.09,29.75,10,10,10,23,15,30,0.00,7,,166
2013-2-19,48,33,18,38,24,9,92,73,53,30.01,29.79,29.59,10,7,0,35,22,48,0.22,8,Fog-Rain-Snow,237
2013-2-20,22,20,17,16,12,8,84,71,57,30.27,30.14,29.99,10,5,0,28,16,35,0.13,8,Fog-Snow,267
2013-2-21,22,20,18,18,14,10,91,77,62,30.42,30.33,30.22,10,7,2,18,9,22,0.03,8,Snow,335
2013-2-22,39,30,20,36,26,13,96,84,71,30.34,30.04,29.93,10,9,3,18,11,24,0.07,8,Rain-Snow,161
2013-2-23,35,32,29,29,26,22,82,74,66,30.00,29.95,29.90,10,10,9,18,9,22,0.00,8,,248
2013-2-24,34,31,27,24,21,19,78,70,61,30.19,30.06,29.95,10,9,2,18,10,23,T,8,Snow,268
2013-2-25,41,31,21,27,23,19,92,71,50,30.26,30.19,30.09,10,9,4,16,5,19,0.00,2,,57
2013-2-26,39,33,26,36,30,22,92,76,59,30.10,29.74,29.51,10,9,3,26,13,35,0.54,8,Rain,109
2013-2-27,42,38,33,39,35,31,100,88,76,29.67,29.60,29.49,10,8,4,22,12,29,0.30,8,Rain-Snow,203
2013-2-28,35,33,30,32,30,27,96,89,82,29.93,29.71,29.60,10,7,1,21,13,28,0.04,8,Snow,279
