EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-7-1,86,79,72,70,66,62,93,72,51,30.19,30.14,30.11,10,7,3,14,8,23,0.00,5,,53
2010-7-2,84,75,66,62,57,53,76,58,40,30.24,30.20,30.16,10,10,10,13,7,21,0.00,4,,68
2010-7-3,86,71,56,59,55,52,93,64,34,30.24,30.18,30.12,10,10,10,12,5,23,0.00,1,,141
2010-7-4,90,75,59,60,57,54,84,57,29,30.16,30.11,30.06,10,10,10,13,5,15,0.00,1,,170
2010-7-5,92,78,63,63,58,54,78,54,29,30.12,30.08,30.04,10,10,10,13,3,22,0.00,0,,178
2010-7-6,93,79,64,67,62,56,87,59,30,30.14,30.09,30.05,10,10,10,10,3,15,0.00,1,,228
2010-7-7,99,82,65,67,61,51,87,54,21,30.09,30.04,29.98,10,10,7,10,2,16,0.00,0,,281
2010-7-8,101,84,67,68,64,59,78,53,27,30.00,29.95,29.89,10,7,5,13,6,16,0.00,1,,3
2010-7-9,97,86,74,72,69,66,87,63,39,29.98,29.90,29.81,6,5,4,20,5,30,0.01,5,Rain-Thunderstorm,67
2010-7-10,93,83,72,72,67,62,93,66,38,29.91,29.87,29.83,10,8,2,13,5,20,T,5,Rain,350
2010-7-11,96,84,72,71,63,59,79,55,31,29.96,29.90,29.84,10,10,10,21,6,25,0.00,3,Thunderstorm,46
2010-7-12,85,78,70,74,72,68,94,80,65,29.92,29.87,29.82,10,7,1,21,6,23,1.56,6,Rain-Thunderstorm,161
2010-7-13,92,83,74,74,72,69,94,73,52,29.99,29.92,29.86,10,7,2,20,7,23,T,7,Rain,192
2010-7-14,91,81,71,72,69,64,93,69,44,30.04,30.00,29.94,10,9,5,14,6,18,0.00,3,,320
2010-7-15,94,82,69,72,67,64,97,69,41,30.08,30.04,29.99,10,9,5,12,5,15,0.00,1,,52
2010-7-16,93,84,74,73,71,70,93,73,52,30.09,30.04,30.00,10,8,2,23,5,29,0.08,5,Rain-Thunderstorm,194
2010-7-17,93,83,73,72,70,66,93,71,49,30.09,30.06,30.02,10,10,8,28,8,43,0.03,7,Rain-Thunderstorm,212
2010-7-18,90,82,73,75,71,68,93,74,55,30.08,30.05,30.00,10,10,2,23,8,35,0.08,7,Rain-Thunderstorm,213
2010-7-19,91,82,72,75,71,69,93,73,52,30.05,30.01,29.96,10,10,2,20,7,25,0.32,4,Rain-Thunderstorm,228
2010-7-20,96,85,74,73,71,69,87,65,42,30.11,30.06,30.02,10,10,10,15,7,21,0.00,2,,222
2010-7-21,96,86,76,73,71,67,88,63,38,30.13,30.08,30.01,10,10,9,13,6,20,T,3,Rain,234
2010-7-22,97,86,74,74,70,66,94,67,39,30.11,30.06,30.01,10,10,8,10,3,14,0.00,4,,340
2010-7-23,99,88,76,76,72,66,94,65,35,30.10,30.05,30.02,10,10,7,15,3,18,0.00,5,Rain,220
2010-7-24,98,88,78,76,74,72,85,65,45,30.10,30.05,29.99,10,10,7,17,7,20,T,6,Thunderstorm,199
2010-7-25,101,90,79,74,71,67,74,54,33,30.05,30.00,29.91,10,10,10,16,7,21,0.01,3,Rain,230
2010-7-26,97,86,74,72,70,68,87,64,40,30.06,30.02,29.97,10,10,10,18,4,24,0.00,5,,353
2010-7-27,92,83,74,73,71,70,93,73,52,30.11,30.07,30.02,10,10,7,15,4,18,0.06,7,Rain-Thunderstorm,166
2010-7-28,92,82,72,73,72,69,93,71,49,30.16,30.09,30.01,10,9,2,8,3,14,0.04,7,Rain,273
2010-7-29,97,85,72,73,71,68,94,68,42,30.03,29.96,29.87,10,9,6,12,4,20,0.00,3,,321
2010-7-30,92,83,74,71,67,62,82,63,43,29.95,29.91,29.87,10,10,8,15,7,23,0.00,3,,34
2010-7-31,83,77,70,72,68,61,87,71,54,29.97,29.91,29.86,10,8,1,15,6,18,0.29,8,Rain,104
