EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-2-1,42,34,25,27,11,0,59,39,18,30.39,30.19,29.93,10,10,10,24,10,37,0.00,1,,302
2013-2-2,48,36,23,34,14,7,79,52,24,30.40,30.24,30.06,10,10,10,23,8,31,T,5,Rain,187
2013-2-3,56,44,31,34,27,17,96,61,26,30.02,29.96,29.86,10,10,8,22,8,33,0.00,3,,279
2013-2-4,50,38,25,26,22,19,75,54,32,30.15,30.06,30.01,10,10,10,13,5,17,0.00,6,,195
2013-2-5,66,51,36,41,33,26,77,57,36,30.00,29.95,29.88,10,10,10,16,6,21,0.00,4,,233
2013-2-6,65,49,32,41,30,21,100,60,20,30.21,30.11,29.99,10,9,2,10,4,15,0.00,0,,359
2013-2-7,50,45,39,39,33,23,93,63,33,30.27,30.17,29.99,10,7,3,17,10,23,0.72,8,Rain,29
2013-2-8,61,50,39,45,37,27,92,68,43,30.11,29.95,29.87,10,10,7,16,8,23,0.02,5,Rain,337
2013-2-9,62,43,23,27,20,14,85,51,16,30.34,30.25,30.12,10,10,10,10,5,18,0.00,1,,25
2013-2-10,57,45,32,47,28,18,93,59,24,30.45,30.33,30.19,10,10,6,14,7,18,0.12,7,Rain,136
2013-2-11,60,55,49,58,54,48,100,93,86,30.18,30.05,29.97,10,7,2,21,11,26,0.14,8,Rain,211
2013-2-12,60,51,41,50,36,26,100,64,28,30.11,30.02,29.94,10,9,7,9,3,13,0.07,8,Rain,316
2013-2-13,48,42,36,46,43,33,100,83,65,29.88,29.77,29.67,10,6,1,15,5,23,0.05,7,Rain,75
2013-2-14,52,40,27,34,32,28,92,69,46,30.07,30.01,29.90,10,10,10,12,4,17,0.00,2,,220
2013-2-15,62,44,26,37,32,28,100,65,29,30.11,30.03,29.94,10,10,7,16,5,22,0.00,1,,234
2013-2-16,47,36,25,34,31,20,92,76,60,30.01,29.93,29.84,10,7,0,18,6,25,0.22,7,Fog-Rain-Snow-Thunderstorm,11
2013-2-17,42,32,21,20,14,8,81,53,24,30.27,30.14,30.03,10,10,10,21,6,26,0.00,0,,280
2013-2-18,54,37,20,26,20,14,77,53,29,30.40,30.31,30.23,10,10,10,15,7,18,0.00,2,,176
2013-2-19,48,42,36,43,35,22,100,80,59,30.22,30.04,29.89,10,8,2,16,7,23,0.26,6,Rain,211
2013-2-20,55,41,26,24,16,8,69,43,16,30.12,30.08,30.04,10,10,10,12,4,22,0.00,3,,297
2013-2-21,58,44,29,31,16,10,49,35,20,30.26,30.17,30.10,10,10,10,10,4,15,T,3,Rain,73
2013-2-22,46,42,37,37,35,30,92,84,76,30.28,30.22,30.13,10,6,2,14,7,23,0.27,8,Rain,45
2013-2-23,43,40,37,43,39,36,100,95,89,30.13,29.95,29.84,8,3,1,12,4,14,0.43,8,Rain,7
2013-2-24,66,54,42,43,37,25,100,62,24,30.03,29.94,29.84,10,6,0,16,5,21,T,4,Rain,295
2013-2-25,44,42,39,26,24,21,59,50,41,30.18,30.10,30.02,10,10,10,16,10,23,0.00,7,,55
2013-2-26,45,39,33,44,36,24,100,75,50,30.07,29.79,29.60,10,3,0,17,9,24,1.16,8,Fog-Rain,27
2013-2-27,57,46,35,40,36,32,100,72,43,29.81,29.74,29.66,10,9,3,16,7,24,0.00,3,,230
2013-2-28,51,42,32,34,28,23,89,62,35,29.90,29.81,29.73,10,10,10,15,6,20,0.00,3,,304
