EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-8-1,81,69,57,67,63,58,97,78,58,30.06,30.00,29.91,10,10,7,10,4,14,T,5,,211
2009-8-2,77,68,59,67,62,54,93,70,46,30.02,29.93,29.84,10,8,4,18,7,24,0.01,5,Rain,267
2009-8-3,80,68,55,64,60,55,100,77,54,30.07,30.01,29.96,10,10,8,15,6,18,0.00,2,,198
2009-8-4,71,68,64,70,66,63,100,89,78,30.12,29.97,29.86,10,6,2,23,7,28,1.15,7,Rain-Thunderstorm,204
2009-8-5,79,71,63,70,66,63,100,84,67,30.06,30.01,29.97,9,5,1,10,3,14,T,7,,289
2009-8-6,79,70,61,68,60,53,97,70,43,30.12,30.06,30.01,10,8,1,14,6,20,0.00,1,Fog,339
2009-8-7,80,68,55,64,58,54,93,69,45,30.19,30.15,30.12,10,10,5,10,3,13,0.00,5,,152
2009-8-8,86,76,66,72,67,60,82,70,57,30.15,30.11,30.05,10,8,4,16,7,21,0.00,6,,183
2009-8-9,89,79,68,74,71,68,97,76,55,30.18,30.11,30.06,9,6,2,16,7,21,0.00,1,,208
2009-8-10,87,79,70,75,72,68,93,82,70,30.10,30.03,29.95,10,8,0,30,8,45,0.56,5,Rain-Thunderstorm,228
2009-8-11,82,75,68,72,70,66,100,87,74,30.05,29.99,29.92,10,5,0,13,5,15,0.00,6,,254
2009-8-12,83,74,64,69,65,62,93,72,51,30.05,30.01,29.97,10,9,5,17,7,20,0.00,1,,346
2009-8-13,84,75,65,65,61,58,87,65,43,30.14,30.10,30.05,10,10,7,10,5,16,0.00,1,,33
2009-8-14,84,73,62,65,62,59,93,70,47,30.17,30.14,30.11,10,9,5,7,2,10,0.00,1,,187
2009-8-15,87,75,63,72,67,61,100,78,55,30.16,30.11,30.06,9,7,3,10,2,13,T,2,,165
2009-8-16,89,80,71,72,70,68,93,73,53,30.15,30.11,30.06,10,8,5,13,5,16,0.00,2,,182
2009-8-17,87,78,68,73,69,66,90,73,55,30.17,30.10,30.06,10,9,6,16,7,22,0.01,3,,199
2009-8-18,84,77,70,73,70,68,93,81,69,30.11,30.05,29.99,10,9,7,15,7,22,T,6,,204
2009-8-19,86,79,71,72,71,70,100,81,61,30.04,29.96,29.86,10,8,0,21,7,29,T,7,Rain-Thunderstorm,196
2009-8-20,84,78,71,73,70,65,93,78,62,29.88,29.83,29.75,10,9,2,22,10,29,0.04,6,Rain-Thunderstorm,207
2009-8-21,81,73,65,67,62,58,93,71,48,29.89,29.84,29.81,10,10,10,24,9,31,0.00,4,,223
2009-8-22,71,65,58,61,58,56,100,83,66,29.99,29.92,29.86,10,10,3,18,6,24,T,7,Rain,312
2009-8-23,72,64,56,58,56,55,93,75,57,30.09,30.04,29.97,10,10,10,12,6,16,T,6,,345
2009-8-24,78,66,54,59,56,53,100,75,50,30.17,30.14,30.11,10,9,4,12,4,25,0.00,1,,52
2009-8-25,84,71,58,65,61,57,97,72,47,30.18,30.12,30.06,10,8,2,12,2,14,0.00,2,Fog,155
2009-8-26,86,73,60,68,65,62,100,76,51,30.14,30.09,30.06,10,8,5,13,3,17,0.00,3,Fog,295
2009-8-27,91,78,65,69,66,62,93,67,41,30.08,30.03,29.99,10,7,3,13,2,16,0.00,4,Fog,138
2009-8-28,84,75,66,71,67,65,100,79,58,29.99,29.91,29.82,9,7,5,15,6,21,0.01,5,Thunderstorm,182
2009-8-29,79,69,59,70,62,54,93,70,47,29.93,29.85,29.80,10,8,3,18,9,24,0.00,5,Rain,282
2009-8-30,73,62,50,54,51,48,100,76,51,30.15,30.05,29.94,10,10,10,17,7,24,0.00,2,,327
2009-8-31,73,62,51,50,48,45,89,65,40,30.23,30.19,30.15,10,10,10,17,8,21,0.00,2,,45
