EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-2-1,62,54,46,49,44,39,83,69,55,30.09,30.05,30.01,10,10,9,16,7,24,0.03,6,Rain,243
2012-2-2,54,45,35,41,35,32,93,70,46,30.39,30.25,30.06,10,7,2,12,6,,0.00,2,,341
2012-2-3,55,44,33,36,32,29,89,64,38,30.47,30.38,30.27,10,9,6,12,5,14,0.00,5,,92
2012-2-4,47,43,39,39,37,30,100,79,58,30.26,30.14,30.07,10,4,2,16,11,21,0.18,8,Rain,68
2012-2-5,48,40,32,39,32,24,100,70,39,30.26,30.18,30.06,10,7,2,16,7,18,T,4,Rain,30
2012-2-6,50,37,23,30,25,22,92,66,39,30.26,30.21,30.15,10,10,7,10,3,16,0.00,0,,253
2012-2-7,39,34,28,29,28,25,92,81,70,30.27,30.23,30.18,10,8,4,13,6,21,0.00,6,,337
2012-2-8,36,34,31,30,27,22,92,77,61,30.33,30.28,30.23,10,6,2,14,7,17,0.05,8,Snow,345
2012-2-9,36,32,28,28,25,20,85,72,59,30.35,30.29,30.23,10,9,5,15,4,18,T,8,Snow,296
2012-2-10,33,30,27,31,26,19,92,77,61,30.22,30.05,29.91,10,5,1,13,6,17,0.08,8,Snow,199
2012-2-11,32,23,14,29,13,6,92,77,61,30.38,30.21,29.91,10,8,2,29,18,33,0.02,7,Snow,303
2012-2-12,35,24,13,17,12,6,76,64,51,30.40,30.34,30.29,10,10,10,22,9,25,0.00,0,,262
2012-2-13,35,26,16,20,16,13,80,59,38,30.30,30.18,29.99,10,10,10,16,6,20,T,6,,198
2012-2-14,37,34,31,34,31,21,100,78,56,30.13,29.96,29.88,10,6,1,15,6,17,0.07,8,Rain-Snow,213
2012-2-15,48,41,33,40,34,29,89,75,61,30.25,30.16,30.05,10,10,7,15,6,17,0.09,7,Rain,159
2012-2-16,49,44,38,46,42,33,100,85,70,30.18,30.03,29.96,10,5,0,21,8,25,0.21,8,Rain,230
2012-2-17,51,39,27,34,27,21,100,66,32,30.23,30.18,30.10,10,7,2,14,5,17,0.00,2,Fog,265
2012-2-18,51,40,28,30,26,22,85,61,36,30.13,30.09,30.04,10,10,10,18,9,22,0.00,3,,312
2012-2-19,39,33,27,23,22,21,75,64,52,30.17,30.06,29.99,10,10,10,21,13,24,0.00,6,,30
2012-2-20,45,32,19,23,21,17,88,64,40,30.35,30.24,30.08,10,10,8,17,7,22,0.00,1,,99
2012-2-21,50,41,32,41,34,23,82,69,56,30.06,29.87,29.81,10,9,2,30,14,40,0.15,7,Rain,210
2012-2-22,57,47,36,39,33,29,89,62,35,29.86,29.62,29.45,10,10,7,31,12,40,0.03,6,Rain,217
2012-2-23,56,45,33,43,39,34,92,74,55,29.63,29.49,29.36,10,10,6,21,6,24,0.01,6,Rain,106
2012-2-24,51,42,32,44,32,19,92,73,53,29.98,29.69,29.37,10,9,2,36,16,44,0.01,7,Snow,264
2012-2-25,37,30,22,20,16,14,68,54,40,30.39,30.20,29.99,10,10,10,26,12,33,0.00,4,,287
2012-2-26,51,36,21,22,19,15,77,52,27,30.43,30.32,30.21,10,10,10,20,8,23,0.00,0,,154
2012-2-27,60,46,31,31,24,19,59,42,25,30.48,30.31,30.22,10,10,10,22,10,26,0.00,1,,264
2012-2-28,59,44,28,31,26,22,75,53,30,30.48,30.31,30.01,10,9,7,14,7,17,0.00,4,,89
2012-2-29,67,58,49,59,48,28,97,66,35,29.99,29.73,29.58,10,8,2,29,13,36,0.61,6,Rain-Thunderstorm,213
