CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-12-1,50,44,35,26,22,16,67,43,28,30.23,30.13,29.93,10,10,2,22,12,31,0.00,2,,310
2008-12-2,64,49,34,45,29,21,70,44,24,30.22,30.05,29.88,10,10,10,23,10,30,0.00,3,,169
2008-12-3,73,57,39,57,43,19,87,59,28,30.28,29.94,29.79,10,10,10,23,17,36,0.00,4,,260
2008-12-4,48,39,30,18,15,12,52,37,23,30.51,30.42,30.28,10,10,10,18,12,22,0.00,2,,14
2008-12-5,46,38,30,21,18,12,64,44,24,30.55,30.40,30.22,10,10,10,10,6,,0.00,4,,87
2008-12-6,59,44,30,33,24,19,73,50,25,30.26,30.19,30.14,10,10,9,6,3,,0.00,4,,167
2008-12-7,64,50,36,37,30,25,82,47,22,30.28,30.16,30.00,10,10,8,18,7,24,0.00,3,,160
2008-12-8,71,62,53,64,55,41,94,77,63,29.99,29.76,29.61,10,10,2,23,16,31,0.09,8,Rain-Thunderstorm,175
2008-12-9,66,50,33,64,40,24,94,74,57,30.16,29.87,29.60,10,10,7,24,14,36,0.01,6,Rain-Snow,310
2008-12-10,42,35,28,24,20,18,67,57,43,30.31,30.22,30.14,10,10,10,21,16,28,0.00,5,,341
2008-12-11,57,42,28,30,23,18,69,50,25,30.23,30.16,30.11,10,10,10,16,9,22,0.00,1,,335
2008-12-12,63,48,33,34,30,24,82,53,30,30.35,30.23,30.10,10,10,10,14,4,,0.00,3,,167
2008-12-13,66,56,46,54,43,24,74,60,36,30.09,29.88,29.73,10,10,10,29,16,37,0.00,6,,170
2008-12-14,75,58,39,58,51,20,78,62,45,30.10,29.78,29.69,10,10,10,25,19,33,0.00,5,,189
2008-12-15,37,30,24,23,14,8,93,56,40,30.46,30.38,30.14,10,9,3,24,17,30,0.00,8,Rain,1
2008-12-16,33,28,23,31,26,22,100,94,91,30.42,30.22,30.12,8,3,1,12,7,,0.00,8,Snow,330
2008-12-17,46,40,33,46,40,32,100,97,92,30.23,30.17,30.13,6,2,0,10,4,,0.01,8,Fog,117
2008-12-18,68,57,46,65,54,46,100,98,87,30.19,30.08,29.93,8,2,0,17,6,24,0.01,8,Fog-Rain,131
2008-12-19,71,63,55,63,50,32,100,75,26,30.12,30.05,29.96,10,6,0,12,4,,0.00,6,Fog,272
2008-12-20,66,50,33,61,42,22,100,66,25,30.23,29.99,29.89,10,8,2,17,6,26,0.00,7,,307
2008-12-21,37,29,21,20,8,-2,63,43,25,30.59,30.49,30.25,10,10,9,18,14,25,0.00,3,,6
2008-12-22,33,28,25,11,5,-1,43,36,30,30.64,30.45,30.21,10,10,10,20,10,25,0.00,8,,102
2008-12-23,54,42,32,52,34,10,100,87,38,30.19,29.96,29.80,10,5,1,17,13,24,0.00,8,,160
2008-12-24,57,50,42,54,40,31,94,69,39,30.27,30.08,29.81,10,10,5,17,10,29,0.00,4,,324
2008-12-25,66,52,39,60,47,31,93,71,55,30.25,30.08,29.96,10,10,5,18,9,21,0.00,5,,138
2008-12-26,81,72,62,66,64,61,94,76,52,29.94,29.82,29.74,10,9,5,26,17,40,0.00,7,,169
2008-12-27,73,58,42,66,40,5,100,55,12,30.23,29.90,29.67,10,9,2,26,18,39,0.11,5,Rain,267
2008-12-28,57,46,35,31,22,15,76,47,19,30.35,30.27,30.21,10,10,10,10,4,,0.00,1,,151
2008-12-29,66,50,34,29,25,18,76,44,15,30.38,30.30,30.23,10,10,10,10,2,,0.00,0,,156
2008-12-30,71,54,37,36,29,23,68,40,19,30.20,30.07,29.93,10,10,10,15,6,,0.00,2,,160
2008-12-31,55,48,41,30,25,21,57,42,31,30.40,30.29,30.18,10,10,10,21,13,29,0.00,2,,38
