CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-4-1,81,66,53,52,48,42,83,52,26,30.06,30.00,29.93,10,10,10,12,4,17,0.00,3,,106
2013-4-2,72,63,54,62,57,41,88,73,51,30.01,29.95,29.91,10,8,2,21,12,34,0.04,8,Rain,95
2013-4-3,55,50,46,49,45,41,93,83,64,30.16,30.07,29.96,10,6,2,20,10,25,1.06,8,Rain-Thunderstorm,16
2013-4-4,52,48,44,43,40,38,93,76,61,30.21,30.16,30.12,10,9,3,16,8,21,0.03,7,Rain,335
2013-4-5,70,56,42,47,42,38,85,61,40,30.26,30.16,30.03,10,10,7,16,5,,0.00,3,,243
2013-4-6,78,67,57,56,50,42,70,56,42,30.01,29.91,29.83,10,10,10,24,15,32,0.00,5,,172
2013-4-7,75,68,62,61,58,55,78,70,57,29.90,29.83,29.73,10,10,10,20,15,30,0.00,6,,170
2013-4-8,75,70,66,63,61,57,73,67,64,29.75,29.71,29.65,10,10,9,23,18,32,0.00,7,,176
2013-4-9,82,76,69,66,63,61,83,67,51,29.70,29.67,29.61,10,10,6,26,19,33,0.00,7,,162
2013-4-10,73,58,42,67,42,34,87,78,66,29.99,29.89,29.70,10,8,2,23,15,31,0.36,7,Rain-Thunderstorm,327
2013-4-11,62,52,42,40,31,27,70,50,32,29.98,29.91,29.82,10,10,10,15,8,21,0.00,2,,6
2013-4-12,78,61,45,45,41,37,80,50,28,30.00,29.92,29.86,10,10,10,12,3,,0.00,2,,157
2013-4-13,80,67,55,47,45,41,67,43,29,29.99,29.88,29.78,10,10,10,18,11,30,0.00,4,,149
2013-4-14,82,70,59,64,57,47,78,61,47,29.77,29.65,29.54,10,10,10,23,13,28,0.00,2,,170
2013-4-15,89,78,69,65,65,63,84,65,46,29.74,29.68,29.60,10,10,8,23,15,30,0.00,5,,174
2013-4-16,89,81,73,67,65,62,76,62,43,29.90,29.82,29.75,10,9,6,23,16,33,0.00,6,,166
2013-4-17,87,80,73,70,67,65,85,69,49,29.89,29.78,29.62,10,9,6,26,19,37,0.00,7,,161
2013-4-18,77,62,48,72,47,32,94,72,44,30.16,29.84,29.54,10,8,1,26,20,48,1.16,7,Rain-Thunderstorm,327
2013-4-19,64,53,42,33,29,24,70,44,22,30.29,30.20,30.14,10,10,10,17,8,26,0.00,0,,325
2013-4-20,73,60,48,35,30,26,50,32,19,30.21,30.12,30.02,10,10,10,22,12,31,0.00,2,,165
2013-4-21,73,62,52,48,44,35,69,52,42,30.21,30.12,30.07,10,10,10,16,11,22,0.00,4,,139
2013-4-22,80,68,57,57,51,44,67,53,42,30.10,29.98,29.84,10,10,10,22,13,31,0.00,2,,156
2013-4-23,69,56,42,61,49,37,88,78,63,30.19,29.98,29.80,10,9,4,22,16,32,0.00,7,Rain,287
2013-4-24,64,51,39,37,33,28,81,56,30,30.32,30.26,30.20,10,10,8,22,13,26,0.05,4,Rain-Thunderstorm,4
2013-4-25,75,64,53,42,37,30,48,37,26,30.34,30.25,30.15,10,10,10,17,8,21,0.00,5,,105
2013-4-26,80,70,61,64,54,41,71,59,42,30.17,30.08,29.97,10,10,9,20,14,28,0.00,7,,143
2013-4-27,75,69,62,65,59,53,84,69,48,30.12,30.03,29.98,10,10,10,16,9,21,0.00,5,,307
2013-4-28,82,68,55,63,57,52,88,71,49,30.04,29.96,29.85,10,10,10,13,6,,0.00,3,,124
2013-4-29,88,76,64,65,59,54,84,58,32,29.90,29.84,29.78,10,10,10,20,8,23,0.00,3,,170
2013-4-30,84,72,63,63,60,56,84,65,45,29.84,29.79,29.73,10,10,10,21,11,26,0.00,2,,154
