EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-6-1,74,65,55,57,46,35,73,56,39,30.18,30.10,30.02,10,10,9,16,9,20,0.00,4,,144
2009-6-2,90,77,63,67,62,56,90,68,46,30.04,30.00,29.94,10,10,10,21,9,25,0.00,5,,189
2009-6-3,84,75,66,70,64,60,93,76,58,30.05,29.95,29.89,10,7,0,20,5,29,1.50,7,Rain-Hail-Thunderstorm,86
2009-6-4,66,63,60,64,59,56,97,88,78,30.03,29.98,29.95,10,6,2,10,9,14,0.52,8,Rain,40
2009-6-5,63,62,61,61,59,57,97,91,84,29.97,29.86,29.81,10,8,1,16,10,21,0.57,8,Rain,33
2009-6-6,74,68,61,60,58,57,90,74,57,30.04,29.98,29.89,10,10,9,12,6,14,T,6,,17
2009-6-7,80,70,60,65,62,59,97,76,54,30.08,30.02,29.95,10,8,4,15,8,17,0.00,4,,186
2009-6-8,85,76,66,67,65,63,93,71,48,29.99,29.94,29.88,10,10,8,10,6,12,0.00,5,,181
2009-6-9,85,75,65,70,65,57,93,76,59,29.97,29.91,29.85,10,7,1,32,7,41,0.89,7,Rain-Hail-Thunderstorm,201
2009-6-10,83,74,64,70,64,59,93,79,64,29.93,29.90,29.86,10,8,1,18,5,23,0.48,7,Rain-Thunderstorm,119
2009-6-11,81,75,69,72,69,64,90,80,69,29.89,29.83,29.75,10,7,3,14,5,17,T,8,,128
2009-6-12,86,79,71,68,66,61,90,69,48,29.85,29.76,29.71,10,10,10,17,7,22,0.02,7,Rain,286
2009-6-13,85,77,68,66,63,60,79,63,47,29.91,29.88,29.85,10,10,9,20,5,22,T,6,Rain,354
2009-6-14,82,75,68,64,58,48,84,60,36,29.99,29.95,29.90,10,10,10,15,8,20,0.00,4,,356
2009-6-15,82,74,66,65,61,58,87,68,48,30.04,30.00,29.97,10,10,9,15,8,23,0.00,6,,192
2009-6-16,76,70,63,66,63,57,90,77,64,30.21,30.12,30.04,10,10,8,18,10,23,0.00,8,,113
2009-6-17,68,65,62,63,60,55,87,82,76,30.21,30.13,30.01,10,10,4,16,9,25,0.08,8,Rain,126
2009-6-18,80,74,67,72,66,60,97,77,56,29.99,29.87,29.78,10,8,0,23,9,26,1.01,8,Fog-Rain-Thunderstorm,182
2009-6-19,84,74,64,69,63,59,87,71,55,29.88,29.83,29.78,10,9,7,17,7,22,0.00,5,,309
2009-6-20,89,81,72,74,70,62,93,68,43,29.78,29.66,29.54,10,5,1,29,8,39,0.39,7,Rain-Thunderstorm,198
2009-6-21,79,75,70,63,61,58,73,62,50,29.70,29.65,29.57,10,10,10,26,14,31,0.00,4,,319
2009-6-22,79,75,70,64,61,59,73,62,50,29.73,29.69,29.63,10,10,10,26,14,31,0.00,5,,347
2009-6-23,85,76,67,65,61,58,73,59,44,29.81,29.77,29.73,10,10,10,17,8,22,0.00,5,,348
2009-6-24,87,77,67,66,60,56,84,62,40,29.83,29.81,29.79,10,10,10,17,8,23,0.00,4,,327
2009-6-25,91,80,69,69,61,54,74,53,31,29.86,29.82,29.77,10,10,10,14,5,16,0.00,5,,296
2009-6-26,89,81,72,72,68,63,87,71,55,29.80,29.74,29.68,10,8,1,36,7,48,0.38,6,Rain-Hail-Thunderstorm,190
2009-6-27,84,77,70,68,60,58,79,63,46,29.80,29.77,29.73,10,10,10,23,10,29,0.00,3,,330
2009-6-28,77,73,68,64,61,57,79,67,54,29.77,29.71,29.62,10,10,10,14,5,16,T,6,,284
2009-6-29,86,76,66,65,58,50,87,59,31,29.62,29.57,29.52,10,10,7,18,8,24,0.00,3,,258
2009-6-30,85,76,66,66,62,57,84,64,43,29.66,29.57,29.53,10,10,7,22,7,26,0.02,4,Rain-Thunderstorm,213
