EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-12-1,52,45,38,31,28,25,70,56,41,30.36,30.29,30.14,10,10,10,18,9,23,0.00,0,,327
2011-12-2,55,45,34,35,31,26,85,62,38,30.57,30.40,30.32,10,10,8,15,4,20,0.00,1,,163
2011-12-3,51,43,35,35,30,27,76,61,46,30.69,30.63,30.58,10,10,10,12,4,15,0.00,4,,59
2011-12-4,55,46,37,43,39,34,92,76,59,30.58,30.48,30.40,10,10,7,10,4,15,0.00,4,,193
2011-12-5,60,51,42,54,46,40,96,80,64,30.39,30.29,30.17,10,10,7,14,3,16,0.00,7,,205
2011-12-6,60,58,55,61,57,53,100,89,78,30.14,30.00,29.92,10,8,4,17,10,22,0.24,8,Fog-Rain,187
2011-12-7,60,49,37,59,52,35,100,93,85,29.91,29.72,29.52,10,4,1,31,9,41,3.10,8,Fog-Rain-Snow,356
2011-12-8,45,40,35,34,26,22,79,62,45,30.37,30.20,29.84,10,10,10,24,10,33,0.00,3,,300
2011-12-9,51,43,34,37,33,27,86,66,46,30.35,30.29,30.23,10,10,10,16,4,22,0.00,4,,196
2011-12-10,47,40,32,31,22,13,79,55,31,30.56,30.38,30.25,10,10,10,22,10,26,0.00,4,,337
2011-12-11,43,36,29,24,18,10,69,48,27,30.71,30.64,30.56,10,10,10,13,3,15,0.00,0,,59
2011-12-12,46,38,29,34,27,24,85,68,51,30.63,30.56,30.49,10,10,9,8,3,9,0.00,5,,119
2011-12-13,52,41,30,32,27,24,85,60,35,30.48,30.44,30.40,10,10,7,15,6,20,0.00,3,,339
2011-12-14,50,44,38,36,33,30,85,69,52,30.45,30.39,30.30,10,10,8,8,3,9,T,7,,190
2011-12-15,63,53,43,51,42,34,70,61,52,30.28,30.05,29.88,10,10,10,23,12,30,0.01,7,Rain,201
2011-12-16,62,53,43,51,30,23,80,56,32,30.25,30.15,29.88,10,10,10,26,11,31,0.00,7,,316
2011-12-17,43,38,33,26,24,21,75,60,45,30.25,30.22,30.17,10,10,10,18,10,24,T,5,Snow,335
2011-12-18,44,38,32,28,24,21,75,60,45,30.36,30.29,30.23,10,10,10,20,7,23,0.00,5,,303
2011-12-19,52,41,29,33,29,25,92,67,41,30.32,30.19,30.07,10,10,9,15,7,18,0.00,4,,200
2011-12-20,57,51,45,41,37,32,66,60,54,30.19,30.14,30.09,10,10,10,10,3,14,0.00,7,,33
2011-12-21,61,54,47,59,52,37,97,82,66,30.09,29.91,29.81,10,8,2,18,9,25,0.12,8,Rain,200
2011-12-22,62,54,46,54,46,42,93,73,53,30.16,30.00,29.82,10,7,2,13,3,16,0.53,7,Rain,70
2011-12-23,53,49,44,50,42,31,96,73,50,30.26,30.00,29.77,10,8,2,24,11,30,0.29,6,Rain,334
2011-12-24,46,41,36,36,27,21,70,54,38,30.48,30.40,30.24,10,10,10,25,8,32,T,4,Rain,342
2011-12-25,48,41,34,36,31,26,82,66,49,30.40,30.22,30.03,10,10,10,13,6,15,0.00,2,,193
2011-12-26,50,44,37,32,27,24,75,57,39,30.35,30.26,30.05,10,10,10,28,10,35,0.00,4,,312
2011-12-27,55,47,39,52,43,30,96,79,62,30.23,29.64,29.43,10,6,2,23,7,33,0.61,7,Rain,204
2011-12-28,49,42,35,38,24,15,89,63,36,30.03,29.81,29.54,10,10,10,28,12,38,0.00,3,,298
2011-12-29,44,38,31,32,25,18,67,57,47,30.11,30.03,29.98,10,10,10,13,5,18,0.00,5,,212
2011-12-30,54,45,35,38,32,28,76,61,45,30.07,29.98,29.87,10,10,10,14,5,17,0.00,5,,187
2011-12-31,62,54,46,44,39,37,77,58,39,30.13,29.96,29.83,10,10,10,22,9,28,T,5,Rain,274
