MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-7-1,92,75,57,58,52,44,75,45,15,30.19,29.87,29.77,10,10,10,33,10,39,0.04,3,Rain-Thunderstorm,360
2009-7-2,79,68,56,59,57,53,93,71,48,30.24,30.00,29.88,10,10,5,29,9,36,T,5,Rain-Thunderstorm,167
2009-7-3,87,74,61,61,57,53,90,62,34,30.12,29.96,29.83,10,10,7,36,7,47,0.01,5,Rain-Thunderstorm,226
2009-7-4,77,66,54,59,56,53,93,70,46,30.28,30.09,29.98,10,9,2,28,8,38,0.19,6,Rain-Thunderstorm,357
2009-7-5,78,65,52,59,55,50,93,70,46,30.23,30.07,29.95,10,9,3,26,7,31,0.30,5,Rain-Thunderstorm,166
2009-7-6,84,69,54,55,53,41,93,57,21,30.03,29.91,29.76,10,10,5,31,8,41,0.03,4,Rain-Thunderstorm,144
2009-7-7,87,72,56,55,52,43,93,58,23,29.82,29.76,29.70,10,10,8,21,8,26,0.00,3,,125
2009-7-8,90,73,56,60,52,40,93,56,18,29.78,29.71,29.64,10,10,10,16,8,20,0.00,1,,134
2009-7-9,81,69,57,57,54,47,84,64,43,30.16,29.88,29.68,10,10,10,14,7,20,0.00,4,Thunderstorm,340
2009-7-10,90,74,58,63,56,44,93,58,23,30.28,29.99,29.86,10,9,2,33,8,48,0.67,5,Rain-Thunderstorm,209
2009-7-11,88,73,58,59,55,52,87,61,34,30.07,30.02,29.98,10,10,10,18,8,24,0.00,4,,197
2009-7-12,88,74,59,61,54,50,84,58,32,30.22,30.00,29.97,10,10,10,29,10,37,T,4,,233
2009-7-13,89,73,56,57,53,39,78,53,28,30.15,29.90,29.77,10,10,9,33,9,40,T,4,Rain-Thunderstorm,216
2009-7-14,91,74,56,55,51,48,80,52,24,30.11,29.84,29.73,10,10,10,29,10,39,T,2,Rain-Thunderstorm,151
2009-7-15,87,71,55,56,51,45,72,52,32,30.10,30.01,29.95,10,10,10,15,6,20,0.00,2,,9
2009-7-16,83,71,59,56,49,38,69,45,21,30.30,30.02,29.95,10,10,10,23,12,30,0.00,1,,166
2009-7-17,87,73,58,57,51,43,86,55,23,30.30,30.06,29.96,10,10,8,23,11,30,0.00,2,,277
2009-7-18,84,70,55,57,53,49,93,62,31,30.16,30.07,30.00,10,10,10,22,6,31,0.00,4,,152
2009-7-19,92,77,61,55,49,40,72,45,17,30.13,29.94,29.83,10,10,8,36,8,43,T,4,Rain-Thunderstorm,268
2009-7-20,89,74,59,58,50,46,84,54,23,30.16,29.88,29.78,10,10,8,30,10,48,1.01,5,Rain-Thunderstorm,15
2009-7-21,78,68,57,61,58,55,100,75,50,30.29,30.11,29.94,10,8,0,17,9,22,0.02,7,Fog-Rain-Thunderstorm,110
2009-7-22,84,69,54,59,54,43,93,59,24,30.16,29.95,29.89,10,10,10,20,7,33,0.00,3,,67
2009-7-23,90,73,56,55,50,44,83,52,21,29.95,29.89,29.82,10,10,10,17,8,24,0.00,3,,215
2009-7-24,93,78,63,54,46,27,60,35,9,30.09,29.85,29.79,10,10,10,18,8,22,0.00,3,,189
2009-7-25,81,71,60,63,58,54,84,65,45,30.31,30.07,29.88,10,9,3,21,7,24,0.19,6,Rain-Thunderstorm,29
2009-7-26,80,70,60,62,58,55,100,77,54,30.26,30.06,29.99,10,10,10,18,8,23,0.01,5,Thunderstorm,233
2009-7-27,83,71,58,57,55,51,84,63,42,30.23,30.01,29.92,10,10,9,41,9,53,0.01,4,Rain-Thunderstorm,270
2009-7-28,73,63,53,57,55,51,100,73,46,30.18,30.04,29.88,10,6,0,26,6,35,0.81,7,Fog-Rain-Thunderstorm,31
2009-7-29,71,61,51,57,54,49,100,77,53,30.22,30.01,29.83,10,8,0,31,9,41,0.23,7,Rain-Thunderstorm,14
2009-7-30,64,58,52,54,50,47,93,79,65,30.22,30.09,30.00,10,10,6,10,5,17,0.01,7,Rain,196
2009-7-31,83,66,49,54,49,43,100,63,26,30.09,29.95,29.83,10,9,4,35,11,44,0.03,4,Rain-Thunderstorm,270
