MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-2-1,49,35,21,21,17,10,74,49,23,30.19,30.09,29.96,10,10,10,35,12,43,0.00,3,,260
2013-2-2,58,40,21,18,14,4,81,46,11,30.37,30.25,30.14,10,10,10,18,12,21,0.00,1,,164
2013-2-3,55,39,23,21,14,5,68,41,14,30.19,30.00,29.85,10,10,10,16,6,18,0.00,6,,209
2013-2-4,57,39,21,14,8,-1,62,36,10,29.99,29.89,29.79,10,10,10,25,11,29,0.00,4,,219
2013-2-5,59,40,21,17,13,11,58,38,17,30.03,29.89,29.74,10,10,10,22,10,30,0.00,4,,176
2013-2-6,59,45,31,30,21,13,54,37,19,30.05,29.86,29.71,10,8,1,18,9,23,0.01,6,Rain-Snow,333
2013-2-7,49,37,25,27,18,1,85,50,14,30.18,30.08,29.97,10,10,7,25,8,30,T,2,,187
2013-2-8,51,37,23,19,16,13,63,43,22,29.99,29.82,29.65,10,10,10,25,8,30,0.00,3,,236
2013-2-9,36,28,20,27,19,11,78,61,44,29.72,29.59,29.51,10,9,2,21,9,25,T,5,Snow,334
2013-2-10,36,26,15,17,12,6,74,52,29,30.09,29.84,29.59,10,10,10,28,12,33,0.00,7,,13
2013-2-11,31,20,8,13,9,3,80,62,43,30.17,30.09,30.01,10,10,10,13,7,16,T,5,Snow,222
2013-2-12,42,28,14,11,1,-12,74,43,11,30.12,30.07,30.01,10,10,7,15,8,21,0.00,2,,190
2013-2-13,48,34,19,9,6,0,42,30,18,30.04,29.96,29.88,10,10,10,25,13,32,0.00,4,,239
2013-2-14,38,27,16,21,17,9,81,64,47,30.36,30.19,29.98,10,7,0,32,11,39,0.01,7,Snow,79
2013-2-15,38,27,16,15,12,9,74,52,29,30.41,30.33,30.25,10,10,9,35,12,44,T,6,Snow,177
2013-2-16,58,42,25,11,7,5,67,40,12,30.21,30.07,29.88,10,10,10,21,11,26,0.00,1,,253
2013-2-17,63,45,26,20,-1,-19,63,34,4,29.88,29.65,29.44,10,10,10,32,16,39,0.00,6,,236
2013-2-18,42,27,12,16,7,-5,71,43,14,30.14,29.97,29.71,10,10,10,24,8,30,0.00,4,,43
2013-2-19,46,29,11,10,6,1,61,40,19,30.12,29.96,29.78,10,10,10,20,10,33,0.00,5,,212
2013-2-20,36,26,16,27,18,10,68,57,46,29.80,29.69,29.60,10,5,0,18,9,21,0.11,8,Fog-Snow,81
2013-2-21,23,15,7,15,10,2,88,78,67,30.00,29.80,29.66,10,4,0,15,7,18,0.11,7,Snow,353
2013-2-22,32,19,5,16,10,-1,83,64,45,30.05,29.99,29.91,10,9,6,16,10,18,0.00,3,,166
2013-2-23,45,32,18,25,14,3,69,49,29,29.87,29.71,29.58,10,9,2,23,11,26,T,6,Snow,171
2013-2-24,28,23,17,25,22,15,92,87,81,30.17,29.88,29.67,3,1,0,32,16,37,0.25,8,Fog-Snow,356
2013-2-25,29,18,7,15,7,-3,92,69,45,30.17,30.06,29.90,10,8,1,18,9,20,0.00,1,,192
2013-2-26,31,22,12,23,18,3,88,73,58,30.17,29.94,29.81,10,3,0,31,14,36,0.10,7,Fog-Snow,331
2013-2-27,35,22,8,15,9,2,68,52,35,30.37,30.26,30.12,10,9,2,26,10,30,T,3,,202
2013-2-28,38,26,14,17,8,0,58,43,27,30.36,30.27,30.17,10,10,10,18,10,22,0.00,4,,193
