CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,46,41,36,41,34,27,92,81,70,30.30,30.19,30.03,10,9,5,20,12,23,0.01,8,Rain,335
2013-1-2,42,37,31,28,26,25,85,72,59,30.35,30.30,30.26,10,9,5,14,7,17,0.00,7,,328
2013-1-3,49,39,28,31,27,23,85,62,39,30.47,30.42,30.33,10,10,10,16,8,18,0.00,4,,2
2013-1-4,50,45,39,34,30,28,70,56,42,30.52,30.43,30.36,10,10,10,9,4,12,T,8,,10
2013-1-5,54,45,35,37,35,32,92,73,54,30.35,30.29,30.20,10,10,10,14,7,18,T,4,Rain,194
2013-1-6,57,45,33,35,27,23,92,59,25,30.40,30.34,30.29,10,10,7,16,7,21,0.00,0,,355
2013-1-7,55,42,28,32,29,22,85,62,38,30.33,30.22,30.09,10,10,10,15,5,17,0.00,5,,125
2013-1-8,50,47,44,46,42,30,93,73,53,30.10,30.03,29.97,10,5,2,15,8,17,1.95,8,Rain,44
2013-1-9,57,53,48,54,51,46,100,93,86,30.13,30.05,29.93,10,6,2,29,12,36,1.52,8,Rain,45
2013-1-10,58,53,48,55,49,43,100,81,62,29.98,29.93,29.89,10,8,0,23,11,26,0.04,7,Rain,186
2013-1-11,71,59,46,61,49,41,87,66,44,29.93,29.83,29.75,10,10,10,26,13,31,0.00,7,,182
2013-1-12,66,51,36,64,53,28,93,82,70,29.96,29.79,29.67,10,5,0,30,14,36,0.10,8,Fog-Rain,70
2013-1-13,43,37,30,27,21,18,75,59,43,30.28,30.16,29.97,10,10,10,24,17,30,0.00,3,,353
2013-1-14,46,38,29,24,19,16,64,50,36,30.35,30.27,30.22,10,10,10,22,12,29,0.00,4,,28
2013-1-15,39,35,30,29,25,20,75,66,56,30.24,30.21,30.16,10,7,1,18,12,22,0.05,7,Rain-Snow-Thunderstorm,10
2013-1-16,49,38,26,22,17,13,63,45,26,30.30,30.23,30.17,10,10,10,14,6,17,0.00,2,,302
2013-1-17,61,48,34,31,28,20,70,50,29,30.49,30.40,30.25,10,10,10,16,8,25,0.00,0,,341
2013-1-18,62,47,31,34,32,26,85,58,30,30.51,30.40,30.26,10,10,10,17,7,22,0.00,0,,176
2013-1-19,67,54,40,43,39,33,85,63,40,30.25,30.20,30.12,10,10,10,20,10,26,0.00,4,,173
2013-1-20,69,54,38,44,40,35,89,61,33,30.21,30.14,30.06,10,9,7,13,3,16,0.00,0,,155
2013-1-21,56,48,39,40,29,23,83,59,35,30.30,30.22,30.12,10,10,10,21,10,26,0.00,1,,360
2013-1-22,66,51,36,46,37,25,77,61,44,30.30,30.23,30.17,10,10,10,13,6,16,0.00,2,,143
2013-1-23,75,61,47,53,50,45,86,66,46,30.25,30.18,30.12,10,10,8,21,10,26,0.00,2,,192
2013-1-24,79,65,50,56,51,43,96,71,45,30.18,30.10,30.02,10,9,5,12,7,,0.00,3,,194
2013-1-25,53,49,44,49,43,36,93,77,61,30.20,30.12,30.03,10,5,0,18,10,21,0.00,8,Fog,348
2013-1-26,54,50,45,48,45,37,100,83,66,30.22,30.15,30.09,10,5,0,13,6,14,T,8,Fog,66
2013-1-27,76,63,49,62,55,48,100,77,53,30.09,30.01,29.89,10,5,0,26,13,33,T,7,Fog,152
2013-1-28,78,73,67,64,62,60,87,71,54,29.98,29.90,29.81,10,10,7,31,17,41,T,7,,174
2013-1-29,80,67,54,65,57,28,84,60,36,29.83,29.62,29.41,10,9,1,36,19,44,0.39,8,Rain-Thunderstorm,208
2013-1-30,55,47,39,36,25,17,65,46,26,30.13,29.96,29.68,10,10,6,32,17,39,T,3,,293
2013-1-31,69,50,31,30,23,18,69,42,15,30.32,30.16,30.08,10,10,10,29,12,36,0.00,3,,217
