CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-3-1,56,45,33,30,26,23,75,54,32,30.30,30.24,30.19,10,10,10,23,10,28,0.00,3,,339
2013-3-2,56,44,31,27,23,18,72,49,26,30.43,30.32,30.23,10,10,10,18,11,23,0.00,1,,356
2013-3-3,72,54,36,39,29,22,64,43,22,30.22,29.99,29.77,10,10,10,31,17,37,0.00,3,,176
2013-3-4,88,72,55,47,39,26,61,36,11,29.76,29.66,29.57,10,10,10,23,18,38,0.00,5,,203
2013-3-5,58,48,38,37,21,13,61,39,17,30.36,30.26,29.95,10,10,10,39,20,47,0.00,1,,341
2013-3-6,61,47,33,23,18,10,61,38,14,30.46,30.33,30.20,10,10,10,12,7,15,0.00,4,,76
2013-3-7,72,55,38,36,25,19,54,35,15,30.23,30.15,30.08,10,10,10,24,11,30,0.00,4,,148
2013-3-8,63,59,54,55,50,40,87,65,43,30.17,30.08,29.96,10,9,4,24,12,31,0.01,8,Rain,144
2013-3-9,70,65,60,63,59,54,84,78,72,29.94,29.77,29.62,10,8,2,32,16,40,1.18,8,Rain-Thunderstorm,148
2013-3-10,60,51,41,60,37,28,100,71,42,30.08,29.90,29.73,10,9,2,33,17,38,0.02,5,Rain,310
2013-3-11,61,48,35,30,24,14,70,45,19,30.12,30.06,30.00,10,10,10,21,10,27,0.00,0,,335
2013-3-12,67,53,38,31,26,21,54,37,20,30.30,30.15,30.03,10,10,10,17,9,21,0.00,2,,86
2013-3-13,69,55,41,36,33,28,76,50,24,30.44,30.36,30.30,10,10,10,13,7,17,0.00,0,,83
2013-3-14,78,63,47,44,38,31,61,45,29,30.34,30.25,30.15,10,10,10,22,11,26,0.00,1,,170
2013-3-15,82,68,53,51,45,39,83,53,22,30.15,30.02,29.86,10,10,10,30,17,37,0.00,2,,188
2013-3-16,82,70,57,56,52,46,80,60,40,29.84,29.76,29.66,10,10,10,28,20,35,0.00,5,,178
2013-3-17,72,63,54,60,52,44,81,63,44,29.78,29.71,29.66,10,10,10,26,11,33,T,6,Rain,242
2013-3-18,70,61,52,61,47,36,93,65,37,29.99,29.80,29.62,10,9,6,23,13,31,0.00,4,,25
2013-3-19,68,57,45,41,35,30,66,49,32,30.12,30.02,29.94,10,10,10,21,10,25,0.00,6,,70
2013-3-20,68,57,45,37,31,24,71,46,20,30.30,30.17,30.03,10,10,10,17,8,22,0.00,3,,31
2013-3-21,70,61,51,57,42,26,73,54,35,30.02,29.75,29.55,10,10,10,33,18,41,0.00,7,,154
2013-3-22,67,57,47,59,46,41,93,81,68,29.85,29.73,29.54,10,9,3,26,13,29,T,8,Rain,16
2013-3-23,54,51,47,47,45,43,86,82,77,29.83,29.76,29.66,10,9,3,35,9,43,0.09,8,Rain-Thunderstorm,24
2013-3-24,54,46,37,45,29,16,83,55,26,30.18,30.01,29.82,10,10,7,35,21,42,T,4,Rain,331
2013-3-25,55,44,32,21,18,13,61,40,19,30.40,30.31,30.19,10,10,10,25,13,32,0.00,0,,336
2013-3-26,59,45,31,23,19,16,63,42,21,30.51,30.40,30.30,10,10,10,10,6,14,0.00,0,,55
2013-3-27,71,56,40,42,31,21,51,38,24,30.30,30.20,30.06,10,10,10,30,15,37,0.00,2,,163
2013-3-28,71,61,51,55,50,42,77,65,53,30.21,30.14,30.06,10,10,10,23,14,27,0.00,5,,165
2013-3-29,77,69,60,57,55,53,81,65,49,30.18,30.10,30.01,10,10,10,24,16,32,T,7,Rain,170
2013-3-30,77,65,53,62,58,53,100,80,60,30.09,29.98,29.87,10,9,2,23,10,27,0.96,7,Rain-Thunderstorm,166
2013-3-31,74,67,59,63,56,49,93,70,46,29.98,29.90,29.78,10,10,8,28,10,33,0.01,4,Rain,35
