EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-12-1,48,41,33,35,31,27,82,69,56,29.96,29.90,29.83,10,9,7,23,12,29,0.00,5,,212
2009-12-2,45,38,31,41,36,28,96,79,62,29.94,29.64,29.34,10,6,2,15,7,20,0.61,7,Rain,81
2009-12-3,44,40,35,41,35,25,96,77,57,30.01,29.64,29.30,10,7,2,20,13,26,0.10,8,Rain,303
2009-12-4,35,28,21,24,18,14,75,64,53,30.21,30.13,30.01,10,9,7,21,13,25,T,5,,236
2009-12-5,30,25,19,18,15,13,77,64,50,30.22,30.19,30.15,9,8,6,13,6,14,0.00,4,,255
2009-12-6,38,30,21,20,17,14,77,61,44,30.31,30.27,30.23,10,9,7,21,10,24,0.00,5,,212
2009-12-7,34,30,26,27,24,20,78,74,69,30.31,30.18,30.10,9,4,2,12,7,14,0.01,8,Snow,226
2009-12-8,37,31,25,32,27,21,96,83,70,30.34,30.02,29.56,10,4,0,18,6,26,0.21,7,Fog-Rain-Snow,109
2009-12-9,44,34,24,43,30,17,100,82,64,29.49,29.15,28.97,10,6,2,44,23,56,0.63,8,Rain-Snow,202
2009-12-10,24,19,13,18,9,0,77,63,49,30.04,29.74,29.44,10,6,2,32,24,41,T,6,Snow,241
2009-12-11,26,20,13,11,9,2,73,62,50,30.38,30.20,30.05,10,10,5,30,15,40,T,5,Snow,249
2009-12-12,38,27,15,18,14,10,88,62,35,30.45,30.35,30.14,10,10,9,17,8,22,T,3,Snow,188
2009-12-13,39,36,32,36,31,16,100,72,44,30.10,29.96,29.88,10,7,2,13,6,18,0.13,8,Rain-Snow,220
2009-12-14,43,39,34,40,37,32,100,93,85,30.05,29.86,29.75,10,4,1,12,7,15,0.03,8,,201
2009-12-15,38,28,18,34,26,9,92,77,62,30.43,30.13,29.90,10,9,3,24,11,31,T,7,Snow,294
2009-12-16,28,23,18,11,10,9,74,60,46,30.50,30.46,30.39,10,10,10,17,8,22,0.00,4,,294
2009-12-17,31,24,16,23,16,10,80,72,63,30.51,30.39,30.21,10,9,7,9,3,16,0.00,6,,128
2009-12-18,38,35,31,30,26,22,89,74,59,30.19,30.03,29.91,10,9,2,15,7,21,0.01,8,Snow,97
2009-12-19,32,29,25,29,25,20,92,78,63,29.97,29.90,29.85,9,3,1,13,8,17,0.05,8,Snow,34
2009-12-20,35,28,21,25,21,14,92,68,43,30.11,30.06,29.95,10,7,2,12,5,30,0.01,6,Snow,243
2009-12-21,31,29,27,27,26,25,92,85,78,30.18,30.10,30.05,7,4,2,13,7,30,0.02,8,Snow,246
2009-12-22,33,29,24,27,22,16,85,74,63,30.38,30.27,30.16,10,8,4,12,6,26,T,7,Snow,14
2009-12-23,34,25,16,20,18,13,84,70,56,30.45,30.40,30.35,10,10,9,10,4,30,0.00,6,,71
2009-12-24,34,30,25,30,25,18,89,82,74,30.38,30.26,30.05,10,9,7,17,10,25,0.00,8,,80
2009-12-25,42,37,32,43,35,28,100,85,70,30.01,29.79,29.68,10,6,1,22,13,32,0.97,8,Rain,120
2009-12-26,36,33,29,28,25,20,82,73,64,29.93,29.87,29.79,10,9,2,23,10,29,T,7,Snow,197
2009-12-27,32,27,22,28,22,14,88,71,53,29.89,29.84,29.80,10,5,0,23,10,30,0.03,8,Fog-Snow,234
2009-12-28,31,26,20,27,18,9,88,71,53,30.17,29.83,29.73,10,4,1,26,16,35,0.05,8,Snow,258
2009-12-29,26,21,16,11,9,7,74,64,54,30.47,30.40,30.19,10,10,9,20,8,24,T,5,Snow,281
2009-12-30,30,22,14,28,19,10,88,76,63,30.43,30.17,29.99,10,7,2,14,7,17,0.01,7,Snow,187
2009-12-31,36,32,27,32,30,22,96,83,70,30.02,29.95,29.91,10,4,1,18,9,33,0.03,8,Snow,220
