EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-6-1,82,74,65,66,62,52,100,68,36,29.94,29.88,29.83,10,6,2,13,6,15,0.00,6,,283
2010-6-2,77,71,65,67,64,60,87,76,64,29.83,29.72,29.63,10,8,1,29,8,37,0.27,7,Rain-Thunderstorm,228
2010-6-3,78,71,63,66,62,58,100,77,54,29.82,29.73,29.70,10,5,1,15,7,20,0.00,7,,265
2010-6-4,77,69,61,66,62,57,97,81,64,29.86,29.78,29.65,10,6,2,17,5,23,0.12,7,Rain-Thunderstorm,121
2010-6-5,79,71,62,67,61,55,100,73,45,29.75,29.66,29.51,10,6,1,28,6,40,1.63,7,Rain-Thunderstorm,202
2010-6-6,69,64,58,64,59,52,100,80,59,29.88,29.60,29.35,10,8,1,21,9,33,1.10,7,Rain-Thunderstorm,350
2010-6-7,71,61,50,52,47,42,89,62,35,30.09,30.01,29.89,10,10,10,14,6,18,0.00,2,,334
2010-6-8,69,60,51,57,51,47,93,73,52,30.19,30.12,30.03,10,9,4,25,5,40,0.05,6,Rain,131
2010-6-9,81,70,59,65,58,50,93,64,35,30.02,29.83,29.76,10,6,1,20,10,25,0.11,7,Rain,216
2010-6-10,77,70,62,57,55,54,73,60,46,30.03,29.93,29.83,10,10,10,18,9,23,0.00,5,,309
2010-6-11,79,71,62,69,61,54,87,74,60,30.09,30.04,29.96,10,10,6,15,7,21,T,7,Rain,136
2010-6-12,87,79,70,74,71,68,93,78,63,29.95,29.92,29.85,9,7,5,20,9,22,T,5,,249
2010-6-13,78,73,68,69,64,62,90,77,64,29.99,29.95,29.89,10,8,5,14,6,18,T,7,Rain,316
2010-6-14,78,73,67,67,65,56,87,74,61,29.99,29.93,29.90,10,7,3,14,4,17,T,7,,64
2010-6-15,79,73,66,64,61,55,87,74,61,30.04,30.00,29.90,10,9,5,15,8,29,T,7,,90
2010-6-16,82,75,68,69,64,58,90,68,45,30.02,29.88,29.83,10,8,2,25,15,36,0.01,6,Rain,241
2010-6-17,77,71,64,59,56,52,73,58,43,30.13,30.07,30.02,10,10,9,12,6,15,0.00,5,,11
2010-6-18,89,75,60,69,64,55,90,70,50,30.09,30.00,29.90,10,8,2,37,9,47,0.39,5,Rain-Thunderstorm,204
2010-6-19,86,77,67,67,63,55,93,69,44,29.95,29.90,29.86,10,10,9,20,10,24,0.00,5,,261
2010-6-20,83,74,65,62,60,58,84,66,47,30.06,30.02,29.96,10,10,10,16,7,22,0.00,4,,315
2010-6-21,82,73,64,64,61,58,87,68,48,30.13,30.08,30.02,10,9,7,13,5,16,0.00,5,,134
2010-6-22,87,77,67,69,66,61,93,71,48,30.04,29.98,29.95,10,9,1,22,10,28,0.34,6,Rain-Thunderstorm,249
2010-6-23,87,76,65,74,69,66,90,76,61,30.04,29.94,29.81,10,7,0,31,9,43,0.95,7,Rain-Thunderstorm,225
2010-6-24,82,74,66,68,64,59,97,76,50,30.04,29.89,29.80,10,10,7,20,12,30,0.05,6,Rain,278
2010-6-25,81,71,60,61,53,47,78,57,36,30.13,30.06,29.99,10,8,6,12,5,16,0.00,2,,309
2010-6-26,87,75,63,69,63,57,78,67,55,29.98,29.86,29.77,10,8,6,16,6,22,T,5,Rain,237
2010-6-27,84,77,69,74,69,66,90,80,69,29.80,29.66,29.50,10,7,1,21,7,25,0.45,6,Rain-Thunderstorm,242
2010-6-28,85,77,69,70,62,54,90,64,37,29.83,29.65,29.57,10,10,9,23,11,31,0.00,4,,275
2010-6-29,72,65,58,57,48,43,69,57,44,30.13,30.03,29.84,10,10,10,17,9,23,0.00,4,,341
2010-6-30,73,62,51,49,45,42,77,58,38,30.26,30.22,30.16,10,10,10,16,8,22,0.00,2,,321
