EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-2-1,64,55,46,41,37,30,76,58,40,30.01,29.95,29.88,10,10,10,32,13,38,0.01,6,Rain,246
2012-2-2,50,43,35,34,27,19,70,59,48,30.26,30.07,30.00,10,10,10,24,12,33,0.00,7,,345
2012-2-3,46,39,31,19,17,14,53,41,28,30.47,30.38,30.27,10,10,10,25,10,29,0.00,2,,305
2012-2-4,47,40,33,23,21,20,61,49,37,30.34,30.22,30.12,10,10,10,16,8,18,0.00,6,,275
2012-2-5,43,37,30,22,18,14,63,49,34,30.19,30.15,30.11,10,10,10,15,8,22,0.00,4,,342
2012-2-6,53,40,26,25,22,17,68,50,32,30.18,30.07,29.98,10,10,10,23,11,28,0.00,0,,237
2012-2-7,51,42,33,26,24,21,69,51,33,30.25,30.09,29.96,10,10,10,21,11,28,0.00,2,,296
2012-2-8,38,34,30,29,22,10,92,64,35,30.33,30.21,30.11,10,7,2,16,6,20,0.02,7,Snow,351
2012-2-9,48,39,29,27,21,15,85,57,28,30.16,30.12,30.07,10,10,8,17,9,21,T,1,,270
2012-2-10,47,38,29,29,22,19,75,56,37,30.15,30.06,29.93,10,10,9,20,8,24,T,6,Rain,237
2012-2-11,39,35,31,32,28,19,89,69,48,29.90,29.75,29.58,10,5,1,25,9,31,0.08,8,Snow,345
2012-2-12,34,27,20,14,8,-6,61,46,30,29.99,29.86,29.71,10,10,10,33,18,43,T,6,,287
2012-2-13,45,36,26,18,14,12,63,45,27,30.05,30.01,29.96,10,10,10,23,14,30,0.00,3,,245
2012-2-14,47,41,35,36,21,11,79,51,23,30.12,30.07,30.01,10,10,10,20,4,25,0.01,7,Rain,181
2012-2-15,47,42,36,38,35,29,86,72,58,30.29,30.18,30.07,10,8,3,14,7,17,T,7,Rain,335
2012-2-16,43,38,32,40,35,28,89,80,70,30.30,30.17,30.03,10,6,3,8,2,13,0.16,7,Rain,175
2012-2-17,53,46,38,43,33,17,96,62,27,30.03,29.99,29.94,10,6,2,22,10,30,T,5,Rain,255
2012-2-18,50,42,33,36,23,17,79,54,29,30.10,30.01,29.88,10,10,7,22,8,26,0.03,3,Rain,261
2012-2-19,46,39,31,25,22,17,72,53,34,30.10,30.03,29.94,10,10,10,22,9,24,0.00,4,,359
2012-2-20,48,40,32,19,14,7,56,39,22,30.35,30.17,30.00,10,10,10,24,14,29,0.00,4,,351
2012-2-21,47,37,27,36,25,13,70,54,37,30.37,30.17,29.87,10,10,10,21,8,31,0.00,5,,163
2012-2-22,58,49,39,39,33,24,85,57,28,29.85,29.69,29.49,10,10,8,21,9,28,0.00,6,,211
2012-2-23,60,53,45,41,31,24,83,54,25,29.77,29.55,29.39,10,10,10,30,11,40,0.00,6,,314
2012-2-24,48,43,38,43,37,24,96,68,39,29.73,29.54,29.36,10,5,1,33,10,40,0.58,8,Rain,53
2012-2-25,46,40,34,27,20,9,57,46,35,30.02,29.67,29.44,10,10,10,38,24,49,T,4,,263
2012-2-26,46,38,29,16,12,9,43,33,22,30.45,30.35,30.09,10,10,10,28,11,38,0.00,1,,291
2012-2-27,60,46,32,32,27,16,75,50,25,30.44,30.25,30.09,10,10,7,22,8,26,0.00,2,,208
2012-2-28,51,44,36,26,19,17,50,38,26,30.39,30.34,30.16,10,10,10,26,12,38,0.00,4,,325
2012-2-29,45,40,35,39,33,20,93,69,44,30.37,30.05,29.74,10,6,2,17,8,25,0.44,8,Rain,64
