EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-9-1,84,79,73,73,71,68,93,81,69,29.86,29.83,29.80,10,10,9,13,6,16,T,7,Rain-Thunderstorm,174
2013-9-2,83,78,73,74,73,70,94,84,74,29.81,29.77,29.72,10,8,6,12,3,14,0.14,7,Rain-Thunderstorm,187
2013-9-3,84,77,69,72,65,54,93,67,40,29.90,29.78,29.72,10,9,6,20,8,25,0.00,6,Rain-Thunderstorm,319
2013-9-4,82,73,64,58,56,51,78,59,40,30.01,29.96,29.89,10,10,10,20,10,25,0.00,1,,274
2013-9-5,80,71,61,59,51,39,84,56,27,30.16,30.01,29.94,10,10,10,21,10,32,0.00,3,,298
2013-9-6,73,64,55,48,42,38,61,45,29,30.26,30.20,30.14,10,10,10,15,7,21,0.00,3,,357
2013-9-7,80,66,52,53,48,43,83,56,28,30.14,30.04,29.91,10,10,10,17,7,20,0.00,4,,230
2013-9-8,84,72,59,63,54,42,73,52,31,30.09,29.90,29.83,10,10,10,23,13,33,T,4,,297
2013-9-9,71,63,54,60,49,43,78,59,39,30.25,30.19,30.10,10,10,10,15,8,21,0.00,5,,95
2013-9-10,89,79,68,72,67,60,84,70,55,30.17,30.12,30.05,10,10,8,17,11,24,T,7,,211
2013-9-11,96,86,75,75,72,70,88,69,49,30.12,30.06,29.98,10,8,4,18,10,23,0.00,4,,216
2013-9-12,87,79,70,75,71,66,97,81,65,29.97,29.82,29.67,10,7,2,26,8,37,0.54,7,Rain-Thunderstorm,198
2013-9-13,79,69,59,67,58,49,93,69,45,29.86,29.71,29.65,10,10,10,26,11,36,0.06,5,Rain,303
2013-9-14,69,61,53,47,45,44,71,60,48,30.14,30.00,29.87,10,10,10,21,10,26,0.00,2,,305
2013-9-15,74,61,48,53,45,41,86,59,31,30.22,30.15,30.09,10,10,10,14,6,20,0.00,4,,253
2013-9-16,74,65,55,58,52,47,84,64,44,30.25,30.10,30.04,10,10,9,21,9,26,0.03,6,Rain,312
2013-9-17,66,57,48,45,38,34,66,50,34,30.45,30.37,30.27,10,10,10,21,9,28,0.00,1,,22
2013-9-18,73,61,49,52,44,38,77,53,29,30.36,30.28,30.20,10,10,10,12,5,16,0.00,0,,229
2013-9-19,78,64,49,56,49,44,89,60,31,30.20,30.14,30.08,10,10,10,13,6,17,0.00,0,,214
2013-9-20,78,66,54,58,56,52,93,69,45,30.09,30.05,30.01,10,10,9,14,6,18,0.00,1,,179
2013-9-21,80,69,57,68,61,56,97,73,49,30.02,29.86,29.67,10,9,3,20,8,28,0.54,6,Rain,166
2013-9-22,72,63,54,65,53,40,93,67,40,29.92,29.76,29.67,10,9,2,22,12,31,0.23,6,Rain,305
2013-9-23,67,59,51,42,40,38,66,52,37,30.06,29.99,29.93,10,10,10,18,11,25,0.00,1,,323
2013-9-24,76,62,47,45,41,40,77,53,29,30.06,29.98,29.88,10,10,9,17,8,25,0.00,1,,318
2013-9-25,75,63,50,53,45,40,72,53,33,29.97,29.93,29.88,10,10,10,13,4,18,0.00,3,,356
2013-9-26,70,62,54,57,55,50,93,75,57,30.10,30.02,29.95,10,10,10,14,7,17,0.00,4,,50
2013-9-27,70,62,54,55,51,50,86,70,53,30.27,30.19,30.11,10,10,10,14,8,16,0.00,5,,24
2013-9-28,74,65,55,54,52,48,86,64,41,30.33,30.28,30.24,10,10,10,14,6,18,0.00,2,,43
2013-9-29,71,62,53,58,54,51,93,73,53,30.23,30.16,30.10,10,10,10,12,4,15,0.00,3,,66
2013-9-30,74,64,53,55,52,47,93,67,41,30.09,30.04,29.98,10,10,10,13,5,16,0.00,3,,66
