EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-6-1,89,85,80,72,71,69,74,65,55,30.06,30.02,29.97,10,10,10,14,9,18,0.00,2,,125
2008-6-2,90,85,79,73,70,66,79,65,50,30.03,30.00,29.96,10,10,10,18,5,26,T,2,Rain,216
2008-6-3,90,84,78,72,69,65,74,60,46,30.02,29.98,29.94,10,10,10,16,8,20,0.00,1,,127
2008-6-4,89,85,80,72,69,67,69,60,50,30.03,29.99,29.95,10,10,10,16,10,20,0.00,1,,126
2008-6-5,90,86,81,75,71,69,79,68,56,30.09,30.04,29.99,10,9,1,24,13,28,0.20,3,Rain,102
2008-6-6,89,84,78,72,71,67,74,65,55,30.15,30.09,30.05,10,10,1,22,15,28,0.01,3,Rain,107
2008-6-7,89,85,80,71,69,67,69,61,53,30.14,30.11,30.09,10,10,10,21,13,26,T,3,,93
2008-6-8,88,84,79,71,68,67,74,62,50,30.09,30.05,30.02,10,10,10,17,12,21,0.03,1,,89
2008-6-9,88,84,80,71,69,66,74,65,55,30.06,30.02,29.98,10,10,10,18,8,24,T,1,,114
2008-6-10,90,85,80,73,71,68,74,63,52,30.08,30.03,29.99,10,10,10,17,5,21,0.01,2,Rain-Thunderstorm,124
2008-6-11,88,83,78,73,71,69,79,68,57,30.06,30.02,29.98,10,10,7,14,5,17,0.02,2,Rain,113
2008-6-12,90,86,81,73,71,68,74,62,50,30.09,30.06,30.01,10,10,7,17,9,20,T,2,Rain-Thunderstorm,91
2008-6-13,89,83,77,72,70,68,76,63,50,30.11,30.06,30.02,10,10,10,20,11,23,T,2,,103
2008-6-14,88,83,78,72,70,68,69,62,55,30.05,29.99,29.95,10,10,8,21,11,25,0.19,2,Rain,74
2008-6-15,89,83,77,72,70,68,79,67,55,29.97,29.94,29.89,10,8,7,15,7,18,0.00,1,,96
2008-6-16,91,85,79,73,71,67,74,62,50,30.00,29.95,29.91,10,9,6,17,5,20,0.06,2,Rain-Thunderstorm,155
2008-6-17,93,85,77,73,71,67,79,63,47,30.00,29.96,29.91,10,9,2,23,6,26,0.04,3,Rain-Thunderstorm,204
2008-6-18,88,80,71,73,69,66,87,74,61,29.94,29.91,29.57,10,9,0,16,7,20,0.67,3,Fog-Rain-Thunderstorm,211
2008-6-19,89,80,73,73,70,66,89,73,51,29.99,29.93,29.88,10,8,2,21,7,29,0.29,3,Rain-Thunderstorm,230
2008-6-20,89,82,75,72,70,66,87,67,47,30.08,30.03,29.95,10,10,1,18,4,22,0.03,3,Rain-Thunderstorm,192
2008-6-21,91,83,75,74,71,66,85,71,56,30.11,30.07,30.02,10,10,3,18,5,22,0.06,2,Rain-Thunderstorm,131
2008-6-22,91,82,73,74,71,67,87,70,52,30.09,30.03,30.00,10,8,0,37,6,48,1.53,3,Fog-Rain-Hail-Thunderstorm,44
2008-6-23,92,84,75,75,72,66,87,70,52,30.16,30.09,30.04,10,9,2,18,8,22,0.01,2,Rain-Thunderstorm,149
2008-6-24,91,84,77,76,73,69,79,69,59,30.21,30.17,30.13,10,10,4,17,10,20,0.02,2,Rain,83
2008-6-25,91,87,82,77,73,68,74,65,56,30.20,30.17,30.14,10,10,6,20,13,24,0.15,3,Rain-Thunderstorm,96
2008-6-26,90,86,82,74,73,70,70,65,59,30.16,30.12,30.08,10,9,8,18,12,22,0.00,2,,115
2008-6-27,90,87,83,74,73,71,70,63,56,30.15,30.10,30.06,10,10,9,15,11,18,0.00,2,,126
2008-6-28,90,87,83,74,72,70,74,63,52,30.17,30.13,30.09,10,10,10,15,9,17,0.00,1,,121
2008-6-29,90,86,82,74,72,70,74,65,55,30.17,30.13,30.09,10,10,10,16,10,21,0.00,2,,124
2008-6-30,90,82,74,73,72,68,74,65,56,30.13,30.08,30.01,10,10,9,21,8,23,0.13,1,Thunderstorm,135
