EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-11-1,87,81,75,71,69,68,87,71,55,29.97,29.93,29.90,10,10,10,13,4,16,0.00,1,,101
2009-11-2,87,81,75,71,68,64,87,67,46,29.99,29.96,29.92,10,10,10,12,3,16,0.00,1,,101
2009-11-3,87,80,73,72,70,68,87,72,57,30.04,29.99,29.95,10,10,10,13,5,23,T,3,Rain,16
2009-11-4,86,80,73,73,71,70,87,72,57,30.10,30.06,30.01,10,8,2,21,9,26,0.52,4,Rain,25
2009-11-5,84,79,73,73,68,61,93,72,51,30.11,30.08,30.05,10,8,1,25,13,31,0.27,5,Rain,33
2009-11-6,83,80,76,61,58,56,58,52,45,30.12,30.08,30.06,10,10,10,25,17,33,0.00,4,,58
2009-11-7,81,79,76,66,62,57,67,59,50,30.11,30.07,30.04,10,10,10,25,19,33,0.00,4,,68
2009-11-8,84,81,78,67,64,61,67,59,51,30.10,30.05,30.02,10,10,10,29,21,36,T,4,,84
2009-11-9,86,82,77,69,67,62,71,63,54,30.10,30.05,30.01,10,10,10,26,20,36,T,3,,110
2009-11-10,85,82,78,69,67,64,74,65,55,30.03,29.96,29.89,10,10,10,22,13,28,T,3,Rain,133
2009-11-11,84,78,72,73,70,66,79,72,65,29.87,29.77,29.67,10,10,9,21,9,25,0.02,4,Rain,209
2009-11-12,75,68,60,67,62,49,90,77,63,29.83,29.74,29.70,10,10,7,17,10,23,T,6,Rain,303
2009-11-13,76,67,57,56,52,49,80,62,43,29.88,29.83,29.78,10,10,10,20,10,26,0.00,1,,298
2009-11-14,81,71,60,59,56,55,90,66,42,29.96,29.91,29.86,10,10,10,16,7,20,0.00,1,,311
2009-11-15,82,73,63,59,57,55,84,63,42,30.02,29.97,29.93,10,10,10,14,7,20,0.00,1,,311
2009-11-16,83,75,66,64,59,55,73,60,46,30.01,29.95,29.91,10,10,10,14,7,17,0.00,6,,326
2009-11-17,84,77,70,67,64,61,84,66,48,29.99,29.94,29.91,10,10,10,16,8,20,T,6,Rain,15
2009-11-18,84,77,69,63,61,58,78,62,46,30.04,30.00,29.96,10,10,10,14,6,16,0.00,4,,357
2009-11-19,84,76,68,70,64,58,87,65,43,30.05,30.01,29.97,10,10,10,15,6,20,T,3,,5
2009-11-20,82,76,70,70,68,66,90,74,58,30.01,29.97,29.93,10,10,10,12,5,26,0.00,3,,36
2009-11-21,83,76,69,69,67,66,90,77,63,30.01,29.97,29.94,10,10,10,13,4,16,T,2,Rain,114
2009-11-22,84,79,74,70,68,67,82,73,63,30.03,29.99,29.96,10,10,10,16,6,22,0.00,3,,142
2009-11-23,85,79,72,72,69,65,87,69,51,30.09,30.04,30.00,10,10,10,10,4,13,0.00,1,,123
2009-11-24,84,79,73,72,70,67,87,76,65,30.07,30.01,29.97,10,10,9,14,7,18,0.00,3,,106
2009-11-25,79,75,70,74,70,66,94,84,74,30.00,29.94,29.87,10,7,2,29,6,35,1.02,6,Rain-Thunderstorm,281
2009-11-26,81,72,63,70,65,55,97,80,62,30.00,29.92,29.87,10,10,10,16,7,21,T,4,Rain,298
2009-11-27,71,63,55,54,40,30,78,51,23,30.10,30.05,30.00,10,10,10,21,10,26,0.00,0,,327
2009-11-28,74,62,50,46,43,29,77,49,20,30.12,30.07,30.02,10,10,10,12,5,20,0.00,1,,339
2009-11-29,79,69,59,60,54,43,70,59,47,30.09,30.06,30.04,10,10,10,14,4,16,0.00,2,,95
2009-11-30,81,72,63,64,61,59,84,68,51,30.06,30.00,29.95,10,10,10,16,4,23,0.00,2,,164
