CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-8-1,99,88,76,74,71,63,94,64,33,29.94,29.90,29.86,10,10,10,12,5,17,0.00,1,,221
2010-8-2,98,87,76,75,72,70,82,62,42,30.01,29.97,29.92,10,10,10,14,4,20,0.00,0,,199
2010-8-3,97,87,77,77,75,72,91,70,49,30.07,30.02,29.98,10,10,10,14,3,17,0.00,4,,178
2010-8-4,98,89,80,77,75,71,94,70,45,30.05,29.98,29.91,10,10,10,14,3,17,0.00,5,,194
2010-8-5,95,88,81,77,75,72,91,70,49,29.96,29.92,29.86,10,10,10,15,5,31,0.00,5,,209
2010-8-6,97,88,79,76,74,71,85,65,45,29.95,29.91,29.86,10,10,10,16,5,23,0.00,5,,208
2010-8-7,98,90,81,77,75,73,85,69,52,29.94,29.90,29.86,10,10,10,17,6,21,0.00,4,,195
2010-8-8,98,88,77,76,75,73,94,70,45,29.96,29.91,29.87,10,10,10,17,5,22,T,3,,182
2010-8-9,98,87,76,76,74,72,94,70,45,29.99,29.94,29.90,10,10,10,20,4,23,0.00,2,,179
2010-8-10,99,88,77,77,74,70,97,70,42,29.98,29.92,29.86,10,10,10,13,2,15,0.00,4,,175
2010-8-11,99,89,79,77,73,67,91,65,38,29.94,29.88,29.83,10,10,10,10,2,15,0.00,6,,181
2010-8-12,96,90,83,77,74,68,79,66,52,29.91,29.85,29.79,10,10,10,10,4,13,0.00,6,Rain-Thunderstorm,206
2010-8-13,98,88,78,76,74,72,91,68,45,29.87,29.84,29.80,10,10,10,13,5,18,0.00,4,,209
2010-8-14,99,89,79,79,75,67,91,70,48,29.95,29.90,29.85,10,10,8,12,5,15,T,3,Rain,202
2010-8-15,100,90,80,78,75,71,94,68,42,30.02,29.96,29.89,10,10,9,13,6,15,0.00,2,,207
2010-8-16,101,89,77,77,74,71,97,70,42,29.98,29.93,29.90,10,10,10,36,7,43,0.32,6,Thunderstorm,256
2010-8-17,98,88,78,78,74,72,97,71,45,29.93,29.89,29.83,10,10,10,8,4,10,0.00,5,Thunderstorm,190
2010-8-18,97,90,83,77,76,72,88,67,45,29.98,29.93,29.90,10,10,10,15,7,18,0.00,6,Rain,222
2010-8-19,95,87,79,77,75,72,91,72,52,29.97,29.92,29.88,10,10,10,14,5,21,T,5,Rain,201
2010-8-20,96,87,78,77,75,71,91,70,49,29.95,29.90,29.86,10,10,10,16,7,23,T,4,,189
2010-8-21,98,88,78,77,74,70,97,70,42,30.01,29.97,29.91,10,10,10,14,6,20,0.00,3,,202
2010-8-22,99,89,79,76,74,70,91,65,39,30.06,29.98,29.89,10,10,9,15,7,21,0.00,2,,230
2010-8-23,102,91,79,76,73,70,85,64,42,29.94,29.88,29.82,10,10,10,18,8,23,0.00,3,Rain-Thunderstorm,231
2010-8-24,99,88,76,75,73,70,94,68,42,29.89,29.84,29.77,10,10,10,20,3,23,T,5,Rain-Thunderstorm,171
2010-8-25,99,87,74,75,68,61,94,62,29,30.00,29.95,29.90,10,10,10,20,4,29,0.00,2,,51
2010-8-26,98,87,76,68,64,59,74,52,30,30.04,29.99,29.93,10,10,10,14,8,20,0.00,2,,40
2010-8-27,97,85,72,66,62,58,73,49,25,30.00,29.93,29.87,10,10,10,17,6,29,0.00,1,,42
2010-8-28,97,85,73,75,69,63,79,61,42,29.90,29.86,29.81,10,10,8,15,5,21,0.00,2,,46
2010-8-29,97,87,77,77,75,73,94,70,46,29.96,29.91,29.86,10,10,9,22,4,24,0.01,4,Rain,129
2010-8-30,92,86,79,79,76,75,97,84,70,30.06,30.01,29.96,10,10,4,20,4,23,0.02,5,Rain-Thunderstorm,116
2010-8-31,91,85,78,79,76,71,97,83,68,30.06,30.01,29.96,10,10,10,17,3,22,0.67,5,Thunderstorm,114
