CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-12-1,83,73,63,66,64,63,100,76,51,30.18,30.13,30.08,10,10,10,21,6,25,T,4,Fog-Rain,155
2012-12-2,84,72,59,68,64,56,100,72,43,30.20,30.14,30.11,10,6,0,17,4,23,0.00,3,Fog,138
2012-12-3,82,74,65,70,66,61,100,75,49,30.11,30.06,30.01,10,9,3,15,6,20,0.08,6,Rain,160
2012-12-4,83,71,59,72,66,59,100,78,55,30.18,30.11,30.04,10,5,0,14,4,22,0.07,6,Fog-Rain-Thunderstorm,198
2012-12-5,66,61,55,63,59,54,100,89,78,30.21,30.13,30.06,10,8,1,9,4,12,0.00,6,Fog,352
2012-12-6,69,63,56,61,59,56,100,84,68,30.05,29.97,29.90,10,9,6,15,4,20,0.00,5,,92
2012-12-7,81,68,54,66,62,57,100,76,51,29.93,29.88,29.82,10,6,0,14,3,18,0.00,4,Fog,149
2012-12-8,83,73,62,69,65,61,100,74,47,29.94,29.88,29.84,10,10,2,14,3,20,0.00,6,Fog-Rain,170
2012-12-9,81,70,59,69,66,61,100,81,62,29.94,29.86,29.79,10,6,0,18,5,23,0.06,6,Fog,181
2012-12-10,59,49,38,68,38,23,89,64,38,30.13,29.98,29.82,10,10,2,30,14,39,0.19,6,Rain-Thunderstorm,339
2012-12-11,55,44,32,29,26,22,69,49,28,30.25,30.16,30.12,10,10,10,15,8,17,0.00,4,,10
2012-12-12,61,48,34,31,27,19,82,49,15,30.36,30.29,30.24,10,10,10,9,5,15,0.00,0,,56
2012-12-13,64,48,32,45,35,26,82,51,19,30.36,30.30,30.21,10,10,10,13,5,17,0.00,1,,93
2012-12-14,70,59,48,64,56,45,93,74,54,30.22,30.09,29.96,10,10,10,21,8,25,T,8,,109
2012-12-15,81,75,68,70,67,64,90,81,71,29.98,29.91,29.86,10,10,9,17,9,23,T,7,Rain,175
2012-12-16,72,66,59,70,64,61,100,94,87,29.93,29.83,29.75,10,6,0,20,6,30,1.58,7,Fog-Rain-Thunderstorm,202
2012-12-17,69,57,45,63,47,31,100,62,23,29.95,29.89,29.82,10,7,0,17,5,22,0.00,1,Fog,269
2012-12-18,80,62,43,61,51,38,93,65,36,29.97,29.92,29.88,10,10,10,14,5,18,0.00,0,,176
2012-12-19,81,73,64,70,67,62,93,76,58,29.90,29.81,29.73,10,10,5,23,11,33,0.00,6,,172
2012-12-20,75,58,40,70,28,8,82,50,18,30.46,30.18,29.80,10,9,4,31,17,44,0.06,5,Rain,321
2012-12-21,62,47,32,31,22,15,65,40,15,30.54,30.46,30.39,10,10,10,8,3,12,0.00,3,,258
2012-12-22,69,51,33,55,42,30,85,64,42,30.40,30.30,30.14,10,10,10,18,3,26,0.00,4,,153
2012-12-23,75,68,60,64,61,55,87,73,58,30.12,30.01,29.92,10,10,10,17,8,24,0.00,7,,195
2012-12-24,75,67,58,65,61,56,100,68,35,29.98,29.87,29.77,10,9,5,13,7,21,T,6,Rain,189
2012-12-25,77,57,36,67,54,24,100,67,34,30.08,29.72,29.59,10,9,2,39,15,51,0.04,5,Rain-Thunderstorm,235
2012-12-26,47,40,33,30,26,24,75,62,49,30.25,30.17,30.06,10,10,10,23,15,31,0.00,5,,341
2012-12-27,53,42,31,56,44,29,96,83,70,30.16,30.00,29.86,10,7,2,15,8,17,0.08,7,Rain,66
2012-12-28,60,52,43,61,51,35,100,79,57,30.15,29.89,29.76,10,7,0,25,8,32,0.12,7,Fog-Rain,328
2012-12-29,51,43,34,32,25,20,76,54,31,30.46,30.36,30.15,10,10,10,22,13,29,0.00,5,,344
2012-12-30,51,41,30,45,33,24,83,61,39,30.50,30.41,30.26,10,10,10,15,8,18,0.00,5,,77
2012-12-31,67,57,46,66,58,46,100,90,80,30.24,30.06,29.94,10,6,1,15,9,20,0.57,8,Rain-Thunderstorm,121
