EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-1-1,43,36,28,34,28,13,96,72,47,30.01,29.98,29.91,10,5,0,30,9,38,0.00,7,Fog,314
2010-1-2,34,32,30,12,7,0,96,73,49,30.02,29.96,29.92,10,10,10,10,2,14,0.37,5,,304
2010-1-3,26,20,14,6,2,-3,52,45,37,29.98,29.90,29.83,10,10,10,38,24,47,0.00,1,,303
2010-1-4,32,27,21,13,10,7,55,47,39,29.92,29.90,29.86,10,10,10,25,17,35,0.00,6,,300
2010-1-5,35,31,27,14,12,11,55,47,38,29.92,29.89,29.85,10,10,10,25,15,32,0.00,6,,301
2010-1-6,37,33,28,18,16,12,58,53,47,30.01,29.93,29.88,10,10,7,28,19,36,T,6,Snow,299
2010-1-7,37,33,28,27,19,16,72,60,47,30.08,29.99,29.88,10,8,1,24,9,29,0.01,6,Snow,296
2010-1-8,32,27,22,27,19,6,92,67,42,30.08,29.89,29.81,10,5,0,23,14,36,0.05,6,Fog-Snow,310
2010-1-9,36,29,22,16,12,10,60,49,38,30.28,30.18,30.08,10,10,10,24,14,31,0.00,1,,320
2010-1-10,31,25,19,9,6,1,57,44,31,30.41,30.34,30.28,10,10,10,21,13,29,0.00,0,,321
2010-1-11,37,25,13,17,8,5,67,47,27,30.32,30.21,30.11,10,10,10,17,4,23,0.00,4,,277
2010-1-12,34,31,27,16,14,13,63,52,41,30.28,30.20,30.15,10,10,10,21,11,24,0.00,4,,317
2010-1-13,44,34,23,18,17,15,68,51,33,30.35,30.27,30.21,10,10,10,20,7,28,0.00,2,,298
2010-1-14,53,36,19,21,18,15,84,54,24,30.30,30.25,30.22,10,10,9,8,2,12,0.01,2,,160
2010-1-15,55,38,21,35,26,18,81,58,35,30.26,30.22,30.18,10,10,9,13,3,15,0.00,3,,330
2010-1-16,52,40,27,35,31,25,92,73,54,30.32,30.23,30.13,10,7,2,10,1,13,0.00,6,,190
2010-1-17,44,40,35,41,37,31,92,87,82,30.10,29.78,29.59,10,3,0,15,6,21,0.63,8,Rain,1
2010-1-18,55,43,31,39,35,29,92,71,50,29.96,29.81,29.62,10,10,7,21,8,26,0.00,4,,317
2010-1-19,60,44,28,38,33,26,92,66,40,29.95,29.91,29.85,10,9,6,17,3,23,0.00,4,,310
2010-1-20,43,39,34,34,27,19,89,64,39,30.12,30.01,29.91,10,8,3,15,6,18,0.06,7,Rain,352
2010-1-21,43,36,28,31,24,21,82,63,43,30.24,30.14,30.02,10,9,6,12,6,18,0.17,6,Rain,47
2010-1-22,39,37,34,31,30,28,89,77,64,30.10,29.95,29.88,10,7,3,14,8,17,0.20,7,Rain-Snow,345
2010-1-23,47,38,28,30,25,20,92,65,37,30.30,30.22,30.12,10,10,7,12,3,16,0.00,4,,111
2010-1-24,57,46,34,53,37,28,96,86,75,30.21,29.97,29.61,10,5,2,21,4,29,0.18,8,Rain,126
2010-1-25,65,55,44,59,48,30,93,70,46,29.56,29.35,29.23,10,9,5,33,15,49,0.44,7,Rain,246
2010-1-26,44,39,33,28,24,18,64,56,48,30.01,29.78,29.57,10,10,10,22,9,28,0.00,6,,264
2010-1-27,44,35,26,23,20,18,75,57,39,30.22,30.15,30.02,10,10,10,14,4,21,0.00,4,,253
2010-1-28,52,39,25,28,19,5,75,52,29,30.29,30.10,29.95,10,10,10,30,12,37,0.00,4,,273
2010-1-29,26,22,18,5,2,1,47,40,33,30.46,30.39,30.32,10,10,10,21,11,25,0.00,6,,327
2010-1-30,21,19,17,13,9,2,80,61,41,30.36,30.15,30.03,10,3,0,16,10,22,0.18,8,Snow,359
2010-1-31,33,22,11,8,4,0,73,51,28,30.24,30.18,30.06,10,10,10,14,5,17,0.00,2,,320
