EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-7-1,79,69,59,53,44,40,59,42,25,30.27,30.21,30.17,10,10,10,20,9,24,0.00,2,,331
2010-7-2,81,67,53,50,47,45,72,50,28,30.29,30.24,30.19,10,10,10,14,5,21,0.00,2,,333
2010-7-3,87,70,52,54,51,48,96,62,27,30.25,30.17,30.08,10,10,10,10,3,14,0.00,1,,171
2010-7-4,95,76,57,58,56,51,93,59,24,30.11,30.05,29.98,10,10,10,13,3,15,0.00,0,,217
2010-7-5,96,80,64,67,63,59,84,59,33,30.06,30.02,29.98,10,8,6,13,3,17,0.00,3,,255
2010-7-6,100,85,69,68,64,57,90,57,24,30.07,30.03,30.00,9,6,4,13,4,21,0.00,1,,327
2010-7-7,101,87,73,69,66,63,79,54,29,30.06,30.01,29.96,8,6,4,14,5,20,0.00,3,,347
2010-7-8,95,87,78,73,70,66,79,62,44,30.01,29.98,29.92,10,7,5,15,6,20,0.00,4,,103
2010-7-9,91,83,74,70,68,65,87,66,44,30.00,29.92,29.78,10,10,10,17,5,23,T,6,,132
2010-7-10,84,78,71,72,69,64,93,74,55,29.90,29.84,29.80,10,7,2,20,10,26,0.61,7,Rain,345
2010-7-11,90,77,64,66,59,53,93,62,31,29.94,29.90,29.86,10,10,10,14,4,20,0.00,2,,296
2010-7-12,84,75,65,72,68,62,93,79,65,29.90,29.88,29.84,10,8,1,24,5,32,0.41,6,Rain-Thunderstorm,173
2010-7-13,85,78,71,73,71,70,100,83,65,29.91,29.87,29.84,10,6,0,20,3,24,0.75,7,Fog-Rain-Thunderstorm,186
2010-7-14,88,80,71,72,69,65,100,74,48,30.01,29.90,29.83,10,8,0,24,10,32,0.02,7,Rain-Thunderstorm,269
2010-7-15,91,80,69,72,69,66,90,70,50,30.07,30.02,29.97,10,8,6,16,4,21,0.00,4,,156
2010-7-16,96,84,71,73,70,63,93,64,34,30.01,29.95,29.88,10,7,1,14,5,21,0.30,4,Rain-Thunderstorm,221
2010-7-17,92,82,71,73,69,62,100,71,41,30.00,29.95,29.89,10,8,2,14,6,18,0.00,4,,209
2010-7-18,92,82,71,71,68,66,90,69,47,29.96,29.93,29.88,10,8,0,33,6,47,0.56,5,Rain-Thunderstorm,211
2010-7-19,91,81,71,74,71,68,93,73,52,29.94,29.88,29.82,10,9,0,39,6,48,0.52,5,Fog-Rain-Thunderstorm,225
2010-7-20,90,80,69,72,70,67,97,74,50,30.01,29.98,29.94,10,9,5,24,6,32,T,5,Rain,210
2010-7-21,90,82,73,73,71,66,93,73,52,30.01,29.97,29.93,10,10,10,13,5,20,T,5,,246
2010-7-22,95,84,72,69,63,55,84,56,28,30.06,30.01,29.97,10,10,9,14,6,24,0.00,4,,308
2010-7-23,96,82,68,74,68,62,84,65,45,30.03,29.97,29.91,10,10,10,15,5,20,0.00,4,,207
2010-7-24,99,89,78,73,70,67,79,61,42,29.96,29.92,29.84,10,10,10,15,7,20,0.00,2,,244
2010-7-25,98,86,74,73,70,65,87,64,40,29.95,29.89,29.81,10,9,1,38,6,51,0.46,4,Rain-Thunderstorm,287
2010-7-26,88,78,67,71,61,55,82,58,34,30.11,30.06,29.96,10,10,10,14,6,18,0.00,4,,342
2010-7-27,87,75,62,66,63,60,93,69,44,30.13,30.09,30.06,10,10,10,16,5,20,0.00,3,,195
2010-7-28,93,82,71,72,69,66,93,69,44,30.07,30.02,29.93,10,9,6,12,6,16,0.00,4,,199
2010-7-29,92,83,73,75,71,61,88,72,56,30.09,29.89,29.83,10,8,0,35,5,45,0.46,5,Fog-Rain-Thunderstorm,309
2010-7-30,85,76,66,61,57,52,81,57,32,30.00,29.95,29.91,10,10,10,14,5,21,0.00,4,,3
2010-7-31,85,74,63,62,59,56,87,64,40,29.97,29.93,29.87,10,10,9,14,5,18,0.08,6,,195
