CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-6-1,91,82,73,73,70,58,91,67,37,30.01,29.97,29.93,10,10,10,21,8,,0.00,2,,160
2008-6-2,97,86,75,74,71,66,94,66,40,29.99,29.94,29.89,10,10,10,18,7,16,0.00,2,,175
2008-6-3,95,86,77,73,70,64,88,64,37,29.92,29.85,29.78,10,10,10,17,9,23,0.00,2,,177
2008-6-4,93,85,79,74,71,68,82,66,48,29.80,29.76,29.73,10,10,10,20,13,30,0.00,5,Rain,172
2008-6-5,91,86,80,74,72,69,79,68,50,29.82,29.78,29.73,10,10,10,26,17,34,0.00,5,Rain,163
2008-6-6,93,86,80,77,74,72,81,71,55,29.99,29.90,29.80,10,10,10,22,16,29,0.08,5,Rain,150
2008-6-7,93,84,78,75,73,69,87,70,52,30.03,29.99,29.95,10,10,10,21,14,26,0.00,2,,139
2008-6-8,96,86,78,75,72,69,84,68,44,30.01,29.96,29.90,10,10,10,21,12,23,0.00,3,Rain,157
2008-6-9,95,86,78,74,70,65,84,62,38,29.94,29.90,29.84,10,10,10,18,10,22,0.00,4,,174
2008-6-10,91,81,71,73,71,68,94,73,47,30.06,29.97,29.91,10,10,4,30,9,36,0.43,5,Rain-Thunderstorm,152
2008-6-11,95,83,73,73,70,65,93,66,39,29.96,29.92,29.85,10,10,10,17,7,24,0.00,3,,168
2008-6-12,95,83,73,73,70,68,93,66,43,29.98,29.94,29.91,10,10,10,22,10,23,0.00,2,,159
2008-6-13,95,84,75,73,71,68,87,64,45,30.03,29.99,29.95,10,10,10,20,9,25,0.00,3,Rain,163
2008-6-14,95,83,73,74,70,66,96,66,43,30.06,30.00,29.93,10,10,10,14,5,21,0.34,3,Rain,169
2008-6-15,99,84,73,74,70,65,93,63,37,29.99,29.92,29.84,10,10,10,15,5,,0.00,2,,185
2008-6-16,98,86,75,74,71,65,94,64,34,29.98,29.92,29.86,10,10,10,15,5,,0.00,3,,171
2008-6-17,98,84,73,73,70,64,88,66,36,30.01,29.97,29.92,10,10,5,21,4,26,0.16,5,Rain-Thunderstorm,180
2008-6-18,98,84,71,73,70,66,93,66,37,29.99,29.90,29.81,10,10,8,13,3,,0.00,6,,115
2008-6-19,93,82,73,74,71,67,91,73,48,29.97,29.91,29.85,10,10,6,23,5,33,0.52,5,Rain-Thunderstorm,148
2008-6-20,99,85,72,74,70,66,94,71,35,30.01,29.96,29.92,10,10,3,14,4,16,0.23,5,Rain-Thunderstorm,224
2008-6-21,99,86,73,74,70,65,93,70,36,30.09,30.03,29.96,10,10,10,25,4,31,0.00,4,Rain-Thunderstorm,347
2008-6-22,97,85,73,70,64,55,85,54,27,30.06,30.01,29.94,10,10,10,14,6,18,0.00,3,,2
2008-6-23,97,84,73,70,67,57,85,61,28,30.07,30.02,29.99,10,10,6,15,3,22,0.00,4,Thunderstorm,161
2008-6-24,89,80,72,74,71,66,93,75,55,30.17,30.11,30.07,10,10,10,16,5,,0.00,5,Thunderstorm,142
2008-6-25,96,84,73,73,70,66,94,67,40,30.16,30.11,30.05,10,10,10,16,7,21,0.02,6,Rain-Thunderstorm,159
2008-6-26,91,80,72,74,71,64,93,78,46,30.09,30.04,29.95,10,10,6,20,7,21,0.12,6,Rain-Thunderstorm,154
2008-6-27,95,84,75,74,72,68,91,67,45,30.02,29.98,29.95,10,10,10,16,8,25,0.00,5,,170
2008-6-28,93,82,73,74,70,65,93,64,43,30.06,30.01,29.97,10,10,10,18,7,26,0.00,3,,181
2008-6-29,96,82,71,75,70,66,94,76,41,30.13,30.08,30.03,10,9,4,15,6,16,0.16,6,Rain-Thunderstorm,85
2008-6-30,93,82,73,71,69,66,93,66,47,30.14,30.09,30.01,10,10,9,13,4,22,0.00,6,Thunderstorm,338
