EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-2-1,43,38,32,32,28,21,82,68,53,30.06,29.93,29.82,10,10,10,29,11,36,0.00,3,,271
2009-2-2,34,26,18,27,19,12,84,73,61,30.11,30.08,30.03,10,9,1,23,9,28,0.01,4,Snow,269
2009-2-3,22,16,10,18,9,3,92,80,67,30.25,30.03,29.88,10,5,0,26,15,32,0.20,6,Fog-Snow,306
2009-2-4,15,10,4,7,2,-2,79,69,58,30.59,30.46,30.27,10,10,7,21,11,25,T,3,Snow,286
2009-2-5,26,12,-3,8,2,-5,95,68,40,30.59,30.45,30.25,10,10,8,18,8,21,0.00,1,,177
2009-2-6,49,33,16,38,21,6,76,63,49,30.25,30.18,30.07,10,10,10,16,8,21,0.00,2,,159
2009-2-7,55,50,45,48,44,39,83,77,71,30.13,30.06,30.03,10,10,10,30,19,37,0.00,6,,219
2009-2-8,53,43,32,47,35,29,86,70,54,30.38,30.28,30.13,10,8,4,18,6,26,0.00,4,,318
2009-2-9,58,45,31,48,37,29,92,77,62,30.32,30.15,29.92,10,6,2,20,9,23,0.01,6,Rain,121
2009-2-10,61,57,53,54,49,46,86,75,64,29.92,29.89,29.82,10,10,6,23,15,31,0.02,8,Rain,193
2009-2-11,59,49,38,55,50,32,93,85,77,29.82,29.53,29.25,10,6,1,48,22,60,1.87,8,Rain,182
2009-2-12,50,42,34,31,28,25,82,62,42,30.16,30.06,29.87,10,10,10,39,19,48,0.00,2,,268
2009-2-13,46,37,27,26,23,19,78,57,36,30.22,30.13,29.99,10,10,10,9,5,12,0.00,3,,237
2009-2-14,40,35,30,30,26,21,89,74,59,30.22,30.06,29.91,10,9,5,23,12,29,T,8,,349
2009-2-15,37,31,24,25,20,17,85,65,44,30.32,30.27,30.22,10,10,8,14,6,16,T,5,Snow,348
2009-2-16,38,30,21,22,18,13,92,65,37,30.45,30.37,30.30,10,10,10,14,5,29,0.00,2,,341
2009-2-17,46,35,24,28,20,16,74,53,31,30.29,30.04,29.69,10,10,10,22,12,29,0.00,6,,166
2009-2-18,53,43,32,47,37,27,93,75,57,29.71,29.52,29.34,10,8,3,30,17,38,0.06,8,Rain-Snow,238
2009-2-19,32,25,18,23,15,5,78,64,50,30.15,29.93,29.73,10,7,1,32,19,41,0.02,6,Snow,300
2009-2-20,31,23,15,14,11,9,80,60,39,30.21,30.15,30.10,10,10,10,16,8,20,0.00,3,,242
2009-2-21,40,32,23,31,22,14,92,71,50,30.14,29.97,29.85,10,7,0,31,18,38,0.09,8,Fog-Rain-Snow,232
2009-2-22,29,24,18,19,16,12,81,72,63,30.51,30.30,30.12,10,7,2,22,14,28,T,6,Snow,285
2009-2-23,31,22,12,15,12,8,84,66,47,30.61,30.54,30.47,10,10,9,13,5,16,T,1,Snow,325
2009-2-24,41,31,20,19,17,14,77,57,37,30.49,30.36,30.24,10,10,9,17,9,21,0.00,5,,134
2009-2-25,61,45,29,44,31,18,80,55,30,30.25,30.14,30.03,10,9,6,22,11,28,0.00,6,,179
2009-2-26,58,52,45,50,46,43,93,85,77,30.14,29.98,29.60,10,4,1,26,11,35,0.04,8,Rain,154
2009-2-27,58,43,28,54,36,21,86,78,70,30.26,29.89,29.55,10,8,2,32,17,39,0.37,8,Rain-Snow-Thunderstorm,303
2009-2-28,33,28,23,23,20,16,75,67,58,30.27,30.23,30.18,10,10,10,23,14,29,0.00,7,,42
