EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-7-1,69,65,61,58,56,54,84,76,67,29.86,29.75,29.67,10,10,4,21,8,25,0.01,8,Rain,292
2009-7-2,73,67,61,56,54,53,78,66,53,30.02,29.94,29.85,10,10,10,16,8,23,0.00,8,,298
2009-7-3,80,71,61,58,57,56,84,66,47,30.10,30.07,30.03,10,10,10,16,6,21,0.00,5,,286
2009-7-4,70,67,63,63,61,58,93,81,68,30.06,29.99,29.88,10,6,2,13,7,16,1.03,8,Rain,129
2009-7-5,79,71,63,61,60,58,93,71,48,29.90,29.88,29.86,10,7,2,14,8,18,0.08,6,Rain,59
2009-7-6,84,73,61,62,56,51,90,62,34,29.91,29.87,29.84,10,10,8,16,6,23,0.00,2,,301
2009-7-7,85,74,63,62,57,52,84,61,37,29.88,29.85,29.83,10,10,10,14,7,20,T,4,,305
2009-7-8,75,72,68,57,50,47,55,48,41,29.99,29.94,29.88,10,10,10,12,7,16,T,8,Rain,80
2009-7-9,78,71,64,63,60,55,87,71,54,30.10,30.05,29.97,10,9,2,14,7,18,0.22,6,Rain,86
2009-7-10,89,78,66,72,66,60,82,67,51,30.12,30.09,30.05,10,10,6,18,7,24,0.00,6,,190
2009-7-11,78,74,69,72,69,66,90,82,74,30.12,30.07,30.01,10,6,1,23,9,29,1.54,7,Rain-Thunderstorm,248
2009-7-12,81,73,65,66,58,49,93,63,33,30.09,30.06,30.00,10,10,6,12,6,16,0.00,4,,316
2009-7-13,83,73,63,58,54,47,67,53,39,30.07,30.03,30.00,10,10,10,16,6,22,0.00,3,,12
2009-7-14,81,71,61,58,52,46,61,50,39,30.15,30.10,30.05,10,10,10,12,7,15,0.00,4,,102
2009-7-15,82,74,66,70,65,57,87,74,61,30.07,29.99,29.94,10,9,2,21,9,26,0.21,7,Rain-Thunderstorm,214
2009-7-16,82,75,67,70,62,56,93,68,42,29.99,29.94,29.87,10,9,5,18,8,22,T,4,Rain,266
2009-7-17,75,68,60,64,56,50,87,67,46,29.92,29.84,29.79,10,10,10,22,10,29,T,6,Rain,296
2009-7-18,71,63,55,55,53,51,86,71,55,30.09,30.00,29.93,10,10,10,18,9,22,0.00,6,,273
2009-7-19,75,65,55,60,56,52,93,73,53,30.14,30.11,30.08,10,10,10,16,4,26,0.01,6,Rain,253
2009-7-20,79,68,57,60,55,50,93,66,39,30.14,30.09,30.03,10,9,1,9,2,13,0.00,2,Fog,130
2009-7-21,81,71,61,59,57,55,84,65,45,30.08,30.02,29.95,10,10,8,17,5,20,0.00,4,,136
2009-7-22,68,66,63,64,62,59,93,83,73,29.99,29.92,29.87,10,5,2,15,8,18,0.65,8,Rain,71
2009-7-23,78,71,64,63,62,60,93,77,60,29.97,29.93,29.89,10,7,2,16,7,18,0.09,7,Rain-Thunderstorm,285
2009-7-24,82,71,60,64,61,58,97,70,43,29.95,29.91,29.82,10,8,2,13,6,17,0.00,3,,217
2009-7-25,82,73,64,68,62,57,87,66,45,29.84,29.78,29.72,10,8,1,36,13,44,0.65,6,Rain-Thunderstorm,239
2009-7-26,81,72,62,62,60,58,90,70,49,29.91,29.86,29.82,10,10,10,20,10,24,0.00,2,,254
2009-7-27,82,72,62,64,62,60,93,72,51,29.99,29.94,29.91,10,10,10,15,8,18,0.00,3,,237
2009-7-28,87,77,66,69,64,62,87,68,48,29.91,29.84,29.75,10,10,10,16,8,20,T,5,Rain,211
2009-7-29,81,75,68,68,65,57,90,72,54,29.88,29.80,29.74,10,8,2,21,7,24,T,7,Rain,304
2009-7-30,78,72,66,68,62,54,90,76,61,29.89,29.86,29.83,10,9,4,14,4,26,0.11,7,Rain-Thunderstorm,185
2009-7-31,81,72,63,64,58,55,87,65,42,30.03,29.94,29.84,10,10,10,14,7,17,0.00,2,,303
