EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-11-1,59,54,49,49,39,34,67,55,43,30.21,30.10,29.91,10,10,10,17,10,24,0.01,6,Rain,352
2009-11-2,57,51,45,44,39,36,76,63,50,30.24,30.18,30.11,10,10,10,18,10,23,T,6,Rain,35
2009-11-3,62,52,42,43,37,24,83,59,35,30.20,30.08,29.99,10,10,10,28,11,35,0.00,2,,312
2009-11-4,52,47,41,35,30,27,62,50,38,30.35,30.28,30.23,10,10,10,21,9,28,T,4,Rain,265
2009-11-5,53,48,43,38,34,28,76,63,50,30.24,30.11,30.01,10,10,10,26,9,37,T,6,,309
2009-11-6,51,45,38,27,26,21,59,49,39,30.33,30.21,30.04,10,10,10,26,15,32,0.00,1,,332
2009-11-7,52,43,33,42,32,26,75,59,42,30.35,30.26,30.18,10,10,10,21,9,26,0.00,3,,219
2009-11-8,65,55,45,49,44,40,93,69,44,30.39,30.26,30.15,10,10,9,18,6,22,0.00,1,,238
2009-11-9,64,53,42,51,47,40,93,73,52,30.44,30.36,30.29,10,9,5,15,6,18,0.00,4,,181
2009-11-10,66,58,50,51,47,41,89,71,52,30.29,30.26,30.23,10,9,5,16,6,23,0.00,8,,340
2009-11-11,57,53,49,39,34,30,61,50,38,30.36,30.32,30.26,10,10,10,23,15,30,T,8,Rain,42
2009-11-12,51,49,46,39,35,31,76,63,50,30.29,30.16,30.02,10,10,10,30,20,39,0.09,8,Rain,45
2009-11-13,54,51,48,49,44,39,89,78,66,30.01,29.96,29.91,10,9,2,37,26,46,0.08,8,Rain,39
2009-11-14,62,58,53,57,54,50,93,86,78,29.92,29.87,29.84,10,6,1,30,16,37,0.30,8,Rain,26
2009-11-15,67,60,52,56,54,50,93,81,68,29.94,29.90,29.84,10,8,1,14,7,20,0.02,6,,341
2009-11-16,60,55,49,50,39,28,96,66,36,30.15,30.04,29.94,10,10,10,20,10,25,0.00,4,,353
2009-11-17,56,49,42,34,26,19,70,47,24,30.40,30.28,30.16,10,10,10,15,8,20,0.00,4,,41
2009-11-18,56,48,40,43,39,36,82,68,54,30.48,30.44,30.41,10,10,10,13,7,15,0.00,5,,44
2009-11-19,61,53,45,57,50,39,93,83,72,30.40,30.28,30.07,10,9,2,17,9,23,0.05,7,Rain,62
2009-11-20,61,55,49,57,47,33,93,67,40,30.10,30.01,29.95,10,9,2,25,14,30,0.67,5,Rain-Thunderstorm,255
2009-11-21,58,51,44,39,37,34,76,62,47,30.17,30.10,30.05,10,10,10,15,8,20,0.00,4,,330
2009-11-22,56,50,44,39,37,35,76,62,47,30.41,30.31,30.17,10,10,10,18,9,23,0.00,2,,41
2009-11-23,52,48,44,44,39,36,86,76,65,30.43,30.37,30.23,10,10,10,22,14,26,T,8,Rain,40
2009-11-24,58,53,48,45,44,43,86,74,62,30.23,30.18,30.14,10,10,10,17,10,23,T,6,,40
2009-11-25,51,50,49,49,47,44,93,85,77,30.13,30.03,29.95,10,6,0,12,6,15,0.02,8,Rain,75
2009-11-26,59,55,50,49,46,44,93,78,62,29.96,29.86,29.65,10,7,0,14,4,17,T,7,,60
2009-11-27,52,48,44,44,35,26,80,63,45,29.62,29.47,29.37,10,10,10,33,19,45,T,7,,328
2009-11-28,53,48,43,33,29,27,58,48,38,29.89,29.67,29.46,10,10,10,37,20,48,0.00,4,,299
2009-11-29,55,47,39,46,36,29,83,62,41,29.96,29.88,29.74,10,10,10,17,9,21,0.00,3,,225
2009-11-30,55,48,41,47,40,28,86,74,61,29.78,29.68,29.61,10,9,5,24,11,29,0.17,7,Rain,282
