EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-4-1,52,47,42,45,38,33,93,73,52,29.91,29.80,29.63,10,9,3,21,9,25,0.30,8,Rain,205
2012-4-2,58,49,40,44,27,10,93,56,18,29.88,29.73,29.60,10,10,5,31,19,40,0.10,3,Rain,344
2012-4-3,66,53,40,19,14,9,41,27,12,29.95,29.86,29.77,10,10,10,22,12,29,0.00,2,,319
2012-4-4,70,59,47,34,22,15,46,31,16,29.78,29.65,29.52,10,10,10,33,15,46,0.00,4,,322
2012-4-5,59,51,42,37,25,20,66,46,25,29.93,29.82,29.75,10,10,10,26,11,32,0.00,2,,329
2012-4-6,59,48,37,22,18,14,52,35,17,30.03,29.97,29.89,10,10,10,24,12,32,0.00,2,,359
2012-4-7,62,51,40,19,15,11,36,25,13,30.09,30.02,29.95,10,10,10,29,15,40,0.00,2,,328
2012-4-8,68,57,46,26,18,13,31,22,12,30.02,29.82,29.66,10,10,10,35,15,44,0.00,3,,300
2012-4-9,65,58,50,29,21,17,41,29,17,29.74,29.69,29.63,10,10,10,38,22,48,0.00,3,,275
2012-4-10,62,53,43,35,28,22,61,42,23,29.81,29.73,29.68,10,10,10,26,14,33,T,4,Rain,271
2012-4-11,54,49,43,31,28,22,62,46,30,29.90,29.83,29.78,10,10,10,20,11,24,T,6,Rain,335
2012-4-12,62,53,44,39,30,24,62,44,25,30.13,30.00,29.90,10,10,10,28,12,36,T,6,Rain,354
2012-4-13,62,53,44,40,32,22,71,47,22,30.22,30.16,30.13,10,10,10,23,11,28,T,2,Rain,267
2012-4-14,66,56,45,44,35,25,71,47,22,30.23,30.14,30.04,10,10,10,17,10,21,T,5,Rain,230
2012-4-15,76,66,55,54,50,42,75,61,46,30.05,30.02,29.97,10,10,10,22,8,25,T,6,Rain,204
2012-4-16,77,66,54,56,53,50,86,68,50,30.05,29.99,29.92,10,10,10,21,8,25,0.00,4,,184
2012-4-17,81,69,57,56,37,24,80,47,13,30.15,30.06,29.93,10,10,10,24,13,32,0.00,4,,325
2012-4-18,63,57,50,41,32,24,63,44,25,30.27,30.20,30.15,10,10,10,22,11,26,T,7,Rain,323
2012-4-19,63,56,49,49,44,41,89,72,55,30.15,30.10,30.04,10,10,10,14,8,16,T,5,Rain,206
2012-4-20,66,58,49,54,47,44,89,69,48,30.05,29.98,29.88,10,10,2,18,8,24,T,5,Rain,160
2012-4-21,66,60,54,56,54,52,93,80,67,29.87,29.78,29.69,10,6,0,24,12,32,0.10,7,Fog-Rain-Thunderstorm,170
2012-4-22,57,53,49,54,46,41,93,81,68,29.79,29.66,29.30,10,7,2,35,17,39,2.14,8,Rain,17
2012-4-23,58,51,43,55,45,35,89,75,61,29.43,29.28,29.15,10,7,0,23,17,32,0.28,8,Rain,200
2012-4-24,63,53,42,45,32,23,71,47,23,29.72,29.55,29.42,10,10,10,30,19,38,0.00,6,,234
2012-4-25,59,50,40,43,36,28,80,61,41,29.92,29.82,29.74,10,10,10,21,8,25,0.00,5,Rain,201
2012-4-26,60,51,41,53,47,38,93,80,66,29.93,29.77,29.60,10,6,0,20,9,24,0.06,7,Rain,115
2012-4-27,57,50,42,55,32,21,93,63,32,30.16,29.86,29.59,10,9,1,29,22,40,T,3,Rain,310
2012-4-28,58,49,40,35,25,19,50,38,26,30.25,30.17,30.12,10,10,10,21,13,25,0.00,5,,275
2012-4-29,65,55,44,29,17,10,49,31,13,30.26,30.15,30.07,10,10,10,26,13,33,0.00,1,,328
2012-4-30,57,50,43,43,25,12,68,44,19,30.36,30.30,30.23,10,10,10,18,10,24,0.00,4,,149
