PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-10-1,96,84,71,34,31,27,25,17,9,29.99,29.91,29.83,10,10,9,8,4,12,0.00,0,,205
2008-10-2,94,83,72,39,37,32,27,21,14,29.82,29.74,29.66,10,10,10,18,7,28,0.00,3,,221
2008-10-3,86,80,74,43,35,28,31,22,13,29.70,29.65,29.60,10,10,10,22,11,26,0.00,6,,203
2008-10-4,81,70,59,53,45,42,56,41,26,29.74,29.60,29.52,10,10,10,28,14,38,0.01,5,Rain,210
2008-10-5,78,68,58,53,46,39,80,53,25,29.89,29.81,29.74,10,10,10,12,3,13,0.00,1,,67
2008-10-6,83,73,62,42,38,32,43,30,17,30.03,29.98,29.89,10,10,10,13,4,16,0.00,0,,341
2008-10-7,88,76,64,39,33,29,37,25,12,30.14,30.04,29.96,10,10,10,10,3,14,0.00,0,,311
2008-10-8,91,78,64,33,30,24,28,19,10,29.97,29.86,29.71,10,10,10,10,4,13,0.00,0,,194
2008-10-9,90,80,70,30,22,13,19,13,6,29.69,29.56,29.45,10,10,10,28,17,39,0.00,0,,205
2008-10-10,78,66,53,28,12,-5,24,14,4,29.60,29.50,29.41,10,10,10,29,13,36,0.00,0,,201
2008-10-11,60,55,49,27,19,11,39,28,16,29.89,29.70,29.49,10,10,10,25,12,32,0.00,3,,285
2008-10-12,62,54,46,16,13,10,26,20,14,30.18,30.05,29.90,10,10,10,21,12,31,0.00,0,,356
2008-10-13,67,59,50,19,16,13,29,21,12,30.35,30.26,30.18,10,10,10,29,17,37,0.00,0,,359
2008-10-14,74,64,53,24,20,14,26,20,14,30.26,30.16,30.05,10,10,10,15,6,18,0.00,0,,37
2008-10-15,81,68,55,27,25,21,32,22,12,30.12,30.05,29.99,10,10,10,10,3,13,0.00,0,,228
2008-10-16,84,70,55,24,20,17,28,19,9,30.14,30.08,30.02,10,10,10,8,3,10,0.00,0,,203
2008-10-17,86,72,57,23,18,17,22,15,8,30.19,30.10,30.03,10,10,10,8,2,14,0.00,0,,223
2008-10-18,87,74,61,27,23,19,22,16,10,30.05,29.97,29.88,10,10,10,9,3,13,0.00,3,,246
2008-10-19,87,75,62,34,30,27,30,21,12,29.97,29.90,29.84,10,10,10,14,4,20,0.00,2,,226
2008-10-20,86,74,62,33,29,26,31,22,12,29.99,29.93,29.89,10,10,10,9,3,12,0.00,1,,194
2008-10-21,88,74,60,27,23,14,27,17,6,30.09,30.00,29.95,10,10,10,21,5,25,0.00,2,,333
2008-10-22,75,66,57,15,4,-6,16,10,4,30.32,30.21,30.11,10,10,10,29,13,35,0.00,0,,45
2008-10-23,77,64,51,5,2,-1,14,10,5,30.18,30.08,29.99,10,10,10,10,3,15,0.00,0,,216
2008-10-24,82,68,54,14,9,6,16,11,6,30.08,30.02,29.98,10,10,10,8,3,12,0.00,3,,234
2008-10-25,83,69,54,17,12,8,18,12,6,30.13,30.05,29.99,10,10,10,8,2,9,0.00,0,,200
2008-10-26,88,72,56,24,16,11,19,13,7,30.14,30.07,30.02,10,10,10,8,3,9,0.00,0,,248
2008-10-27,88,76,63,28,25,22,23,16,9,30.23,30.15,30.10,10,10,10,9,3,12,0.00,0,,227
2008-10-28,88,75,62,29,25,23,25,17,9,30.20,30.12,30.04,10,10,10,7,3,10,0.00,0,,238
2008-10-29,86,74,61,32,29,26,27,20,12,30.08,29.99,29.91,10,10,10,7,3,10,0.00,0,,268
2008-10-30,86,74,61,35,33,30,31,23,15,30.08,30.00,29.94,10,10,9,12,5,17,0.00,3,,202
2008-10-31,84,75,66,40,37,35,31,24,17,30.19,30.14,30.08,10,10,10,14,6,17,0.00,6,,232
