PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-2-1,53,44,34,26,17,11,47,36,24,30.08,30.01,29.95,10,10,10,8,3,10,0.00,3,,334
2008-2-2,53,45,36,29,25,21,59,46,32,30.01,29.94,29.80,10,10,10,18,4,22,0.00,4,,191
2008-2-3,57,49,41,40,34,23,76,52,27,29.76,29.59,29.38,10,10,9,37,16,51,T,7,Rain,202
2008-2-4,51,44,36,31,17,9,76,48,19,30.11,29.89,29.69,10,10,10,29,14,38,0.00,2,,331
2008-2-5,49,43,36,16,9,6,40,29,18,30.31,30.25,30.12,10,10,10,31,11,40,0.00,0,,354
2008-2-6,52,43,33,22,17,13,51,37,22,30.25,30.19,30.12,10,10,10,12,3,15,0.00,4,,306
2008-2-7,59,47,35,26,22,19,56,39,22,30.25,30.16,30.06,10,10,10,10,2,12,0.00,3,,158
2008-2-8,64,53,41,27,24,19,53,36,18,30.18,30.12,30.05,10,10,10,10,3,12,0.00,4,,246
2008-2-9,66,54,42,27,23,19,47,32,18,30.22,30.16,30.11,10,10,10,9,4,,0.00,1,,216
2008-2-10,68,56,44,31,29,27,53,38,22,30.18,30.11,30.05,10,10,10,8,2,8,0.00,2,,236
2008-2-11,71,57,43,31,27,23,53,36,18,30.12,30.07,30.02,10,10,10,12,4,15,0.00,4,,38
2008-2-12,71,59,47,29,25,23,42,29,16,30.18,30.08,29.97,10,10,10,17,6,21,0.00,0,,24
2008-2-13,76,60,44,30,23,0,49,31,13,29.95,29.64,29.35,10,9,4,53,16,67,0.00,4,Rain,269
2008-2-14,51,46,41,19,10,2,36,26,16,30.00,29.86,29.75,10,10,10,30,16,43,0.00,4,,8
2008-2-15,59,51,42,16,12,7,30,21,12,30.13,30.08,30.01,10,10,10,24,14,33,0.00,0,,15
2008-2-16,63,50,37,20,15,12,40,27,14,30.13,30.06,29.99,10,10,10,9,3,13,0.00,0,,157
2008-2-17,66,53,40,23,19,14,44,29,14,30.09,30.04,30.00,10,10,10,12,4,15,0.00,2,,324
2008-2-18,62,51,40,23,19,16,44,30,16,30.10,30.02,29.97,10,10,10,7,2,9,0.00,4,,231
2008-2-19,64,55,46,37,20,16,43,30,16,30.03,29.96,29.91,10,10,10,14,3,21,0.00,7,,186
2008-2-20,62,55,48,41,37,31,71,52,32,29.93,29.82,29.74,10,10,6,28,9,33,0.04,6,Rain,245
2008-2-21,63,52,41,39,35,19,82,51,20,29.94,29.86,29.82,10,10,10,18,6,23,T,4,Rain,189
2008-2-22,62,55,48,43,37,30,71,54,36,29.81,29.75,29.67,10,10,8,36,12,48,0.01,5,Rain,184
2008-2-23,61,52,42,38,31,28,62,46,29,30.08,30.00,29.83,10,10,10,15,6,20,T,4,Rain,171
2008-2-24,62,56,49,42,35,30,74,53,32,30.01,29.94,29.88,10,10,10,26,10,37,T,4,Rain,217
2008-2-25,67,55,43,33,28,21,62,40,18,30.23,30.14,30.02,10,10,10,13,3,15,0.00,3,,284
2008-2-26,68,57,46,29,25,21,49,34,18,30.35,30.26,30.19,10,10,10,17,6,22,0.00,1,,34
2008-2-27,71,59,46,31,27,23,45,31,17,30.21,30.06,29.92,10,10,10,8,2,10,0.00,4,,222
2008-2-28,76,62,48,31,28,22,46,30,13,29.98,29.92,29.86,10,10,10,14,4,18,0.00,4,,214
2008-2-29,75,63,50,32,30,28,44,31,18,30.10,30.04,29.98,10,10,10,8,3,10,0.00,0,,197
