PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-4-1,58,54,49,46,45,43,80,71,62,30.11,30.07,30.04,10,10,10,15,7,30,0.00,3,,247
2008-4-2,60,55,50,52,46,43,86,71,55,30.11,30.08,30.04,10,10,10,18,8,24,0.03,5,Rain,243
2008-4-3,64,59,53,52,51,48,93,77,60,30.18,30.14,30.09,10,9,0,20,8,31,0.00,5,Fog,256
2008-4-4,61,57,53,52,51,48,93,83,72,30.18,30.12,30.01,8,4,0,20,8,24,0.00,6,Fog,251
2008-4-5,62,59,55,50,48,46,83,72,60,30.00,29.96,29.93,10,9,5,16,7,21,0.00,5,,230
2008-4-6,62,59,55,49,48,47,77,69,60,30.06,30.02,29.97,10,9,7,17,7,29,0.00,4,,252
2008-4-7,62,58,53,50,48,46,83,72,60,30.06,30.03,30.01,10,10,9,17,6,30,0.00,2,,249
2008-4-8,60,55,50,48,46,42,83,70,57,30.03,29.95,29.89,10,10,8,24,9,35,0.00,5,,249
2008-4-9,62,58,54,48,44,38,80,61,42,29.99,29.94,29.89,10,10,8,24,8,29,0.00,3,,242
2008-4-10,64,58,51,49,47,43,83,66,48,30.06,30.03,30.00,10,10,10,18,7,33,0.00,0,,249
2008-4-11,85,70,54,51,45,33,77,47,17,30.11,30.07,30.02,10,10,9,17,7,29,0.00,0,Fog,219
2008-4-12,91,75,59,45,31,19,55,32,8,30.10,30.04,29.97,10,10,10,21,8,37,0.00,0,,340
2008-4-13,96,81,66,41,30,19,36,22,7,30.00,29.95,29.90,10,10,10,18,7,29,0.00,0,,260
2008-4-14,73,65,56,54,49,39,72,53,33,29.97,29.93,29.89,10,10,9,20,8,25,0.00,0,,234
2008-4-15,64,60,55,49,46,43,77,65,52,30.02,29.97,29.94,10,9,7,21,9,32,0.00,3,,254
2008-4-16,65,59,53,48,46,44,77,65,52,30.06,30.01,29.97,10,10,8,20,7,29,0.00,1,,216
2008-4-17,81,68,55,51,46,31,67,43,18,30.11,30.05,30.02,10,10,10,17,6,25,0.00,0,,232
2008-4-18,69,63,56,54,49,39,86,61,35,30.04,29.96,29.88,10,10,7,20,8,23,0.00,3,Fog,241
2008-4-19,63,59,54,48,46,44,77,65,52,29.98,29.93,29.89,10,10,9,21,8,28,0.00,5,,226
2008-4-20,62,56,50,46,45,42,77,65,53,30.09,30.04,29.99,10,10,7,21,9,29,0.00,1,,232
2008-4-21,64,57,50,47,44,41,77,64,51,30.10,30.05,30.01,10,10,7,18,8,23,0.00,0,,214
2008-4-22,65,58,51,49,46,42,77,61,45,30.01,29.99,29.96,10,10,10,21,9,28,0.00,0,,246
2008-4-23,65,59,52,49,47,46,83,70,56,30.08,30.04,29.99,10,10,7,23,10,33,0.00,2,,234
2008-4-24,65,59,52,50,47,44,77,63,48,30.10,30.07,30.03,10,10,10,16,7,23,0.00,0,,228
2008-4-25,78,67,55,48,43,33,67,44,20,30.08,30.04,29.97,10,10,10,17,7,24,0.00,1,,245
2008-4-26,87,74,60,46,39,31,43,29,14,29.99,29.94,29.89,10,10,10,20,7,24,0.00,0,,249
2008-4-27,95,83,70,44,35,24,38,23,8,30.01,29.96,29.91,10,10,10,20,8,31,0.00,2,,264
2008-4-28,93,78,62,53,38,26,63,37,10,29.95,29.91,29.86,10,10,10,18,7,29,0.00,3,,244
2008-4-29,70,64,58,54,51,46,72,61,49,29.91,29.88,29.84,10,10,8,17,8,31,0.00,1,,248
2008-4-30,66,62,57,52,48,43,72,62,51,29.94,29.91,29.86,10,9,7,20,8,30,0.00,4,,241
