PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-11-1,77,67,56,56,52,47,86,61,36,30.19,30.14,30.12,10,10,10,14,3,18,0.00,0,,267
2010-11-2,89,74,59,52,43,32,64,39,14,30.14,30.09,30.02,10,10,10,13,5,,0.00,0,,316
2010-11-3,98,82,65,52,43,32,46,29,11,30.06,30.00,29.95,10,10,10,18,5,21,0.00,0,,14
2010-11-4,96,83,69,51,42,33,43,27,11,30.01,29.96,29.90,10,10,10,15,5,17,0.00,1,,74
2010-11-5,87,76,65,46,42,36,45,31,16,29.99,29.94,29.91,10,10,10,13,5,16,0.00,3,,106
2010-11-6,70,66,62,61,53,40,90,64,37,30.13,30.03,29.94,10,9,1,16,8,21,0.00,5,,253
2010-11-7,67,63,58,55,54,53,80,72,63,30.17,30.11,30.06,10,10,9,15,6,17,0.00,5,,269
2010-11-8,69,63,57,57,45,29,100,63,26,30.04,29.99,29.95,10,7,2,22,11,30,0.31,4,Rain,314
2010-11-9,67,58,49,48,41,35,67,51,34,30.06,30.01,29.98,10,10,10,15,7,23,0.00,1,,282
2010-11-10,64,57,50,53,44,34,78,56,34,30.00,29.97,29.94,10,10,10,17,7,24,0.00,2,,337
2010-11-11,77,64,50,49,28,13,83,47,10,30.29,30.17,30.01,10,10,10,21,5,26,0.00,1,Fog,32
2010-11-12,75,62,48,52,32,17,72,42,11,30.32,30.25,30.18,10,10,9,13,4,15,0.00,0,,262
2010-11-13,78,66,54,50,32,24,56,36,16,30.17,30.10,30.03,10,10,10,15,5,,0.00,2,,331
2010-11-14,78,65,52,50,37,25,60,37,14,30.06,30.00,29.95,10,10,10,13,4,,0.00,2,,215
2010-11-15,75,65,54,58,47,39,90,62,33,30.07,30.02,29.98,10,10,7,12,5,15,0.00,0,Fog,98
2010-11-16,66,59,51,56,53,48,93,75,56,30.07,30.02,29.97,10,7,0,12,4,14,0.00,3,Fog,192
2010-11-17,65,61,56,56,53,50,84,74,63,30.12,30.07,30.02,7,4,2,13,5,16,0.00,3,Fog,269
2010-11-18,64,60,55,56,54,52,93,83,72,30.14,30.07,30.01,10,5,0,16,7,18,0.00,5,Fog,261
2010-11-19,62,60,58,51,49,46,80,70,60,30.06,30.00,29.95,10,10,9,14,4,20,T,8,,225
2010-11-20,63,59,54,55,52,42,93,77,61,29.96,29.91,29.87,10,9,4,20,9,24,0.03,7,Rain,213
2010-11-21,61,56,51,50,44,39,71,59,47,30.14,30.01,29.91,10,10,5,31,14,35,0.16,4,Rain,257
2010-11-22,60,53,45,44,41,37,76,62,47,30.22,30.17,30.14,10,10,10,17,6,22,0.00,2,,314
2010-11-23,60,54,47,52,46,40,86,70,53,30.14,30.06,30.00,10,10,6,24,11,28,0.04,5,Rain,293
2010-11-24,60,55,49,44,39,29,77,59,41,30.04,29.97,29.92,10,10,10,26,8,30,0.00,4,,327
2010-11-25,62,52,42,39,32,24,70,48,25,30.25,30.17,30.04,10,10,10,12,5,,0.00,0,,3
2010-11-26,68,57,45,46,22,4,72,40,8,30.25,30.16,30.07,10,10,10,15,6,18,0.00,0,,6
2010-11-27,61,52,42,52,38,18,77,52,26,30.06,29.98,29.90,10,9,3,28,8,32,0.05,3,Rain,262
2010-11-28,60,54,48,42,30,23,71,49,27,30.11,30.02,29.90,10,10,10,22,9,32,0.00,1,,331
2010-11-29,62,53,43,38,22,11,51,32,13,30.40,30.28,30.13,10,10,10,13,6,17,0.00,0,,6
2010-11-30,68,55,42,40,20,1,55,32,8,30.40,30.33,30.22,10,10,10,13,5,16,0.00,2,,328
