EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-5-1,72,63,54,63,58,51,93,80,66,30.12,29.92,29.80,9,5,2,21,11,29,0.51,8,Rain-Thunderstorm,215
2009-5-2,67,62,56,61,51,42,90,66,42,29.94,29.86,29.75,10,9,5,23,8,26,0.07,7,Rain,270
2009-5-3,58,56,53,54,51,49,93,85,77,30.03,30.00,29.95,10,6,3,13,6,14,0.29,8,Rain,110
2009-5-4,56,54,51,52,50,48,96,90,83,30.10,30.07,30.01,10,7,2,17,8,21,0.24,8,Rain,56
2009-5-5,56,54,51,51,49,48,96,90,83,30.12,30.09,30.06,10,5,1,20,12,24,0.37,8,Rain,55
2009-5-6,65,57,49,52,48,46,93,77,60,30.10,30.04,29.95,10,8,2,16,8,18,0.68,8,Rain,97
2009-5-7,73,63,52,61,56,48,96,82,67,29.93,29.79,29.71,10,6,0,18,8,22,0.70,7,Rain-Thunderstorm,159
2009-5-8,74,65,56,55,52,50,80,64,47,29.86,29.81,29.78,10,10,10,20,7,23,T,6,,187
2009-5-9,78,68,57,61,57,42,93,63,33,29.78,29.66,29.52,10,5,1,32,9,43,0.41,7,Rain,105
2009-5-10,70,63,55,45,39,36,51,40,28,30.04,29.83,29.64,10,10,10,29,17,35,0.00,3,,311
2009-5-11,66,59,51,46,38,32,72,52,31,30.11,30.05,29.99,10,10,10,20,10,26,0.00,5,,282
2009-5-12,68,60,52,46,39,30,77,52,26,30.28,30.14,30.02,10,10,10,28,8,31,T,3,,20
2009-5-13,68,60,51,49,43,38,89,62,34,30.42,30.38,30.29,10,10,10,18,10,22,0.00,3,,134
2009-5-14,66,62,57,55,52,49,86,75,63,30.37,30.26,30.14,10,10,7,31,16,38,0.05,8,Rain,169
2009-5-15,74,66,58,58,56,55,93,73,53,30.27,30.23,30.18,10,7,0,16,7,21,0.00,5,Fog,82
2009-5-16,71,65,58,61,58,55,100,87,73,30.17,30.05,29.89,9,4,0,22,9,26,0.05,7,Fog-Rain-Thunderstorm,152
2009-5-17,64,59,53,61,45,27,90,63,35,30.15,29.97,29.82,10,10,8,33,13,40,0.02,8,Rain-Thunderstorm,317
2009-5-18,59,55,50,33,31,29,48,42,36,30.36,30.25,30.16,10,10,10,16,8,21,0.00,7,,16
2009-5-19,69,60,50,40,34,29,54,49,43,30.45,30.40,30.36,10,10,9,18,8,22,0.00,1,,310
2009-5-20,81,67,53,44,40,35,66,44,21,30.40,30.35,30.29,10,10,10,21,8,24,0.00,3,,209
2009-5-21,81,73,64,45,39,31,44,30,16,30.31,30.25,30.16,10,10,10,20,10,22,0.00,0,,209
2009-5-22,86,75,63,57,52,42,67,52,36,30.17,30.11,30.04,10,10,10,17,9,21,0.00,4,,222
2009-5-23,76,68,59,57,51,46,84,65,46,30.19,30.13,30.09,10,10,10,24,13,28,0.00,6,,51
2009-5-24,84,71,57,64,59,55,93,70,47,30.09,30.00,29.89,10,6,0,20,8,25,T,7,Rain-Thunderstorm,131
2009-5-25,81,73,64,60,51,42,78,54,30,30.10,30.00,29.94,10,10,6,16,9,20,0.00,6,,66
2009-5-26,66,60,53,42,38,34,59,47,34,30.29,30.23,30.12,10,10,10,22,14,26,T,6,Rain,82
2009-5-27,60,56,52,55,51,38,93,74,54,30.17,30.02,29.92,10,6,1,16,10,20,T,8,Rain,59
2009-5-28,59,58,56,56,55,54,100,93,86,29.91,29.89,29.85,7,2,0,16,11,22,0.06,8,Fog-Rain,53
2009-5-29,74,65,55,61,55,53,93,77,61,29.84,29.75,29.65,10,7,1,16,8,18,0.52,8,Rain,85
2009-5-30,78,71,63,58,49,41,73,52,31,29.78,29.71,29.68,10,10,10,20,10,22,0.00,4,,300
2009-5-31,82,70,58,49,43,32,52,38,24,29.98,29.76,29.66,10,10,10,26,11,32,T,3,Rain,264
