EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-12-1,50,44,38,30,24,18,62,48,33,30.32,30.17,29.98,10,10,10,24,12,31,0.00,0,,332
2011-12-2,52,46,39,31,27,23,64,48,32,30.52,30.35,30.27,10,10,10,24,9,30,0.00,3,,280
2011-12-3,45,41,37,31,28,24,65,59,53,30.68,30.62,30.52,10,10,10,15,7,17,0.00,3,,57
2011-12-4,54,47,39,47,39,30,86,70,54,30.60,30.51,30.41,10,10,8,16,5,22,0.00,5,,178
2011-12-5,56,52,48,52,48,46,100,89,77,30.39,30.32,30.20,10,4,0,10,5,15,0.00,7,Fog,177
2011-12-6,61,58,55,59,55,51,93,87,80,30.17,30.01,29.91,10,7,2,14,7,18,0.26,8,Rain,193
2011-12-7,61,52,43,58,49,39,93,90,86,29.89,29.67,29.40,10,4,2,31,9,40,1.38,8,Rain,351
2011-12-8,45,41,37,39,27,23,89,67,45,30.33,29.98,29.43,10,9,4,37,18,48,0.20,4,Rain,297
2011-12-9,53,45,36,40,31,23,66,54,41,30.36,30.28,30.21,10,10,10,15,9,20,T,5,,218
2011-12-10,48,41,33,34,22,11,60,48,35,30.51,30.31,30.18,10,10,10,21,12,25,0.00,4,,322
2011-12-11,41,36,31,17,14,11,53,42,30,30.65,30.60,30.51,10,10,10,13,7,17,0.00,0,,298
2011-12-12,44,39,33,19,16,10,52,40,27,30.62,30.53,30.44,10,10,10,10,5,15,0.00,5,,225
2011-12-13,47,41,34,30,21,16,62,47,31,30.43,30.37,30.32,10,10,10,16,8,20,0.00,1,,332
2011-12-14,48,44,39,37,32,29,70,60,50,30.42,30.37,30.32,10,10,10,13,6,16,0.00,4,,84
2011-12-15,60,54,47,47,42,37,77,66,55,30.30,30.01,29.78,10,10,8,23,12,29,T,7,Rain,203
2011-12-16,59,51,42,48,28,19,72,55,37,30.15,30.02,29.75,10,10,10,35,15,44,0.00,6,,310
2011-12-17,42,37,31,26,22,16,64,54,43,30.16,30.11,30.06,10,10,10,22,13,26,0.00,5,,323
2011-12-18,31,27,23,15,10,3,60,46,31,30.33,30.25,30.15,10,10,10,16,8,20,0.00,2,,11
2011-12-19,47,36,25,28,22,9,64,53,42,30.30,30.13,29.98,10,10,10,24,10,33,0.00,5,,214
2011-12-20,48,45,41,36,31,25,79,62,45,30.21,30.13,29.97,10,10,10,7,9,8,0.01,8,Rain,292
2011-12-21,61,51,40,55,46,36,89,83,76,30.17,29.94,29.68,10,7,1,31,7,44,0.08,8,Rain,180
2011-12-22,57,53,48,45,39,35,71,59,47,30.10,30.01,29.81,10,10,10,28,10,37,0.05,6,Rain,270
2011-12-23,49,43,36,45,36,22,93,72,51,30.22,29.98,29.81,10,8,3,24,13,31,0.76,5,Rain,347
2011-12-24,37,34,30,21,17,12,63,52,40,30.48,30.38,30.22,10,10,10,20,9,23,0.00,2,,5
2011-12-25,46,38,29,33,24,12,65,55,45,30.42,30.19,29.90,10,10,10,17,8,23,0.00,6,,202
2011-12-26,45,42,38,30,26,23,62,52,41,30.29,30.14,29.91,10,10,10,28,14,33,T,2,,303
2011-12-27,58,48,37,54,43,25,93,73,53,30.22,29.65,29.31,10,7,1,37,14,48,1.17,7,Rain,181
2011-12-28,50,41,32,38,25,14,71,57,43,29.85,29.58,29.39,10,10,10,32,19,43,0.00,4,,279
2011-12-29,37,31,25,23,12,5,56,43,30,30.06,29.99,29.86,10,10,10,29,13,36,0.00,4,,269
2011-12-30,50,44,37,43,32,24,80,61,42,30.06,30.01,29.95,10,10,10,13,5,16,0.00,6,,173
2011-12-31,53,50,46,45,41,37,86,73,59,30.02,29.89,29.81,10,10,9,20,8,24,0.01,5,,270
