CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-4-1,46,37,28,32,20,12,76,52,27,30.31,30.22,30.04,10,10,10,24,11,28,T,4,,8
2013-4-2,51,39,27,21,18,16,63,46,28,30.37,30.31,30.27,10,10,10,13,6,15,0.00,4,,70
2013-4-3,51,42,32,24,21,17,64,48,32,30.38,30.31,30.25,10,10,10,15,8,20,0.00,5,,89
2013-4-4,63,49,35,28,24,20,59,42,25,30.24,30.14,30.06,10,10,10,12,4,18,0.00,3,,41
2013-4-5,70,55,39,40,35,28,70,52,33,30.18,30.04,29.84,10,10,6,24,13,30,0.00,5,,155
2013-4-6,76,64,52,47,41,36,59,43,27,29.83,29.72,29.63,10,10,8,33,17,43,0.00,6,,228
2013-4-7,73,60,47,54,45,38,68,52,35,29.86,29.77,29.65,10,10,2,24,11,31,0.85,7,Rain-Thunderstorm,163
2013-4-8,73,63,52,61,56,49,93,80,66,29.72,29.69,29.65,10,9,2,20,9,24,0.00,7,Rain-Hail-Thunderstorm,184
2013-4-9,74,60,46,61,57,48,73,69,64,29.76,29.70,29.63,10,10,5,31,14,38,0.43,8,Rain-Thunderstorm,160
2013-4-10,47,42,36,48,41,37,100,96,92,29.93,29.82,29.72,10,6,1,31,11,40,0.87,8,Rain-Thunderstorm,318
2013-4-11,40,37,33,37,28,25,92,76,59,29.81,29.76,29.73,10,10,2,20,12,29,0.00,8,,267
2013-4-12,51,42,33,31,28,23,75,60,44,30.04,29.90,29.78,10,10,10,18,11,24,0.00,6,,292
2013-4-13,62,47,32,40,33,28,82,62,42,30.07,29.93,29.71,10,10,10,20,8,26,0.00,4,,139
2013-4-14,72,62,51,55,46,33,80,62,44,29.71,29.55,29.47,10,9,2,38,18,48,0.11,6,Rain-Thunderstorm,216
2013-4-15,52,47,42,37,33,29,66,56,46,30.01,29.87,29.75,10,10,10,17,9,21,T,7,Rain,334
2013-4-16,48,44,40,34,31,29,70,62,53,30.17,30.10,30.02,10,10,10,20,14,24,T,8,Rain,52
2013-4-17,50,48,45,48,44,35,100,83,65,30.09,29.83,29.66,10,5,0,22,11,26,0.26,8,Fog-Rain-Thunderstorm,61
2013-4-18,45,40,34,45,36,25,100,82,64,29.93,29.74,29.59,10,8,2,24,16,33,0.28,8,Rain-Thunderstorm,307
2013-4-19,52,42,31,25,23,19,72,52,32,30.11,29.99,29.91,10,10,10,26,13,38,0.00,4,,302
2013-4-20,54,42,30,30,25,20,63,48,32,30.27,30.19,30.13,10,10,10,18,10,23,0.00,4,,86
2013-4-21,66,55,44,42,37,30,63,52,40,30.22,30.16,30.10,10,10,10,29,14,35,0.00,5,,170
2013-4-22,64,53,41,49,42,37,89,65,40,30.13,30.03,29.93,10,10,8,23,12,31,0.02,7,Rain,168
2013-4-23,41,37,33,38,32,28,100,88,76,30.19,30.10,30.02,10,7,2,25,14,35,0.60,8,Rain-Snow,348
2013-4-24,54,41,28,32,27,23,78,55,32,30.28,30.21,30.17,10,10,10,18,9,25,0.00,2,,270
2013-4-25,67,50,33,39,34,27,82,55,28,30.31,30.23,30.14,10,10,10,18,8,22,0.00,4,,202
2013-4-26,57,53,49,47,45,37,93,70,47,30.22,30.19,30.14,10,10,7,23,12,26,0.12,8,Rain,151
2013-4-27,55,51,46,47,46,44,93,83,72,30.21,30.10,30.01,10,10,5,12,5,15,0.09,7,Rain,71
2013-4-28,74,57,39,53,47,39,100,71,41,30.00,29.91,29.78,10,8,1,17,9,25,0.00,2,Fog,210
2013-4-29,82,71,59,62,57,51,72,60,47,29.79,29.70,29.61,10,10,10,24,16,31,0.00,3,,191
2013-4-30,82,72,62,54,52,50,65,51,36,29.83,29.71,29.62,10,10,9,33,18,41,0.00,3,,191
