EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-2-1,79,68,56,67,58,41,90,68,46,30.20,30.14,30.08,10,10,10,20,9,24,T,5,,222
2008-2-2,83,68,52,64,56,46,93,69,45,30.27,30.21,30.16,10,10,10,14,5,17,0.00,1,,31
2008-2-3,82,70,58,66,61,58,100,75,49,30.26,30.20,30.14,10,8,0,12,4,15,0.00,2,Fog,135
2008-2-4,83,71,58,68,63,58,100,76,51,30.25,30.20,30.14,10,6,0,15,5,17,0.00,3,Fog,121
2008-2-5,83,72,61,69,64,62,100,76,51,30.24,30.18,30.09,10,6,0,16,6,20,0.00,3,Fog,146
2008-2-6,83,73,63,70,65,58,100,73,46,30.09,30.05,29.96,10,9,0,23,10,30,T,4,Rain,192
2008-2-7,85,76,66,69,67,63,100,76,51,30.05,29.99,29.93,10,8,2,22,11,29,0.00,5,,206
2008-2-8,74,66,58,69,57,37,100,67,34,30.10,30.03,29.97,10,8,1,15,4,18,0.32,7,Rain,309
2008-2-9,77,68,58,58,51,38,84,56,27,30.18,30.09,30.04,10,9,4,12,4,13,0.00,6,,324
2008-2-10,73,63,52,54,43,34,93,59,25,30.30,30.24,30.17,10,10,5,21,8,24,0.00,1,,17
2008-2-11,74,60,45,55,45,34,86,59,31,30.32,30.26,30.19,10,10,10,22,7,29,0.00,2,,47
2008-2-12,74,66,57,68,63,55,100,84,68,30.17,30.01,29.84,10,9,0,20,7,22,0.31,7,Fog-Rain,118
2008-2-13,76,64,52,67,63,48,100,77,54,30.05,29.83,29.76,10,10,1,26,13,36,0.04,6,Rain,225
2008-2-14,66,53,40,48,41,29,93,60,27,30.29,30.21,30.07,10,10,9,13,6,16,0.00,1,,354
2008-2-15,75,62,49,58,53,48,100,73,46,30.32,30.25,30.18,10,9,5,13,5,20,0.00,4,,36
2008-2-16,80,67,54,61,57,53,100,71,42,30.20,30.14,30.06,10,9,4,15,6,33,0.00,2,,54
2008-2-17,85,71,56,68,62,56,100,74,48,30.08,29.99,29.91,10,10,10,20,8,24,0.00,3,,145
2008-2-18,84,74,63,73,67,57,100,78,55,30.10,29.96,29.90,10,10,5,25,11,33,0.10,6,Rain,218
2008-2-19,71,61,51,58,43,30,86,55,23,30.29,30.21,30.09,10,10,10,17,9,21,0.00,2,,343
2008-2-20,73,60,47,54,47,38,93,65,37,30.28,30.22,30.17,10,10,10,13,5,18,0.00,5,,61
2008-2-21,79,70,60,69,65,56,100,80,60,30.19,30.09,30.03,10,10,3,20,7,23,0.16,7,Rain,124
2008-2-22,85,76,67,71,68,64,100,79,58,30.05,30.00,29.93,10,9,2,17,9,22,T,6,,198
2008-2-23,79,72,65,71,68,61,100,87,74,30.08,30.02,29.97,10,8,4,21,8,24,0.05,6,Rain,221
2008-2-24,78,69,59,66,64,59,100,81,62,30.15,30.09,30.04,10,7,1,16,6,22,0.00,5,,271
2008-2-25,80,71,61,65,60,54,100,75,50,30.09,30.03,29.97,10,8,5,15,6,20,0.00,2,,277
2008-2-26,86,72,58,69,65,57,100,76,51,29.97,29.88,29.77,10,7,0,29,11,39,0.48,6,Fog-Rain-Thunderstorm,220
2008-2-27,66,57,47,66,45,30,84,63,41,30.20,29.95,29.78,10,10,7,24,14,30,0.19,7,Rain,291
2008-2-28,60,49,37,38,27,20,76,49,22,30.41,30.33,30.21,10,10,10,18,8,23,0.00,0,,360
2008-2-29,71,57,42,50,45,38,89,65,40,30.43,30.38,30.32,10,10,10,15,7,22,0.00,4,,51
