CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-12-1,36,28,21,36,24,13,100,87,65,29.99,29.55,29.25,10,4,0,28,18,37,0.09,8,Fog-Rain-Snow,318
2008-12-2,34,28,21,26,20,14,86,76,69,30.08,30.00,29.92,10,9,7,21,11,31,0.00,6,Snow,222
2008-12-3,39,32,21,32,28,13,100,82,68,30.14,29.92,29.81,10,6,1,17,13,24,0.03,7,Snow,280
2008-12-4,23,18,14,14,10,7,78,68,55,30.48,30.37,30.17,10,10,6,15,11,23,0.00,3,Snow,284
2008-12-5,21,15,9,14,6,2,74,70,64,30.48,30.31,29.99,10,9,4,17,12,29,0.00,5,Snow,244
2008-12-6,32,24,15,28,19,3,93,78,59,30.19,29.83,29.67,10,5,1,22,15,29,0.04,7,Snow,246
2008-12-7,19,13,7,10,4,-1,73,63,47,30.37,30.27,30.14,10,10,10,13,9,20,0.00,5,Snow,237
2008-12-8,39,30,21,29,21,12,78,72,60,30.12,29.98,29.78,10,9,5,14,7,21,0.06,7,Rain,155
2008-12-9,41,34,27,40,32,23,100,90,62,30.10,29.83,29.69,10,3,1,22,10,33,0.93,8,Rain-Snow,15
2008-12-10,30,26,21,23,21,18,89,81,74,30.30,30.23,30.10,10,10,10,21,12,23,0.00,6,,336
2008-12-11,33,26,19,22,17,10,89,70,61,30.16,30.05,29.98,10,10,10,14,7,22,0.00,1,,280
2008-12-12,19,16,12,12,7,3,74,66,54,30.25,30.19,30.05,10,10,9,14,8,,0.00,2,,264
2008-12-13,39,30,21,36,26,14,100,75,62,30.17,29.97,29.82,10,9,5,22,14,36,0.27,7,Rain-Snow,187
2008-12-14,51,45,35,49,38,29,100,80,62,29.82,29.74,29.65,10,9,5,32,20,43,0.12,8,Rain,206
2008-12-15,32,19,6,32,11,2,100,88,80,30.71,30.30,29.80,10,8,2,28,18,41,0.07,6,Rain-Snow,274
2008-12-16,21,14,8,19,13,3,100,90,80,30.70,30.36,30.06,10,4,0,15,5,22,0.18,8,Fog-Snow,46
2008-12-17,19,14,10,19,13,7,96,86,77,30.40,30.26,30.06,10,8,3,12,8,,0.00,6,Snow,265
2008-12-18,24,17,10,21,14,7,92,81,72,30.42,30.32,30.14,10,7,0,12,3,,0.04,6,Fog-Snow,157
2008-12-19,32,28,23,29,27,21,100,91,79,30.15,29.87,29.66,10,3,0,23,15,30,0.83,8,Fog-Rain-Snow,63
2008-12-20,30,26,16,25,20,11,93,84,78,30.16,29.93,29.74,10,4,1,29,11,38,0.03,8,Snow,132
2008-12-21,15,5,-5,10,-9,-15,80,69,60,30.34,30.08,29.77,10,7,3,31,24,41,0.00,3,Snow,270
2008-12-22,8,2,-2,3,-5,-9,84,74,63,30.56,30.50,30.36,10,10,10,14,12,18,0.00,3,,246
2008-12-23,34,22,10,32,21,4,93,87,74,30.45,30.06,29.83,10,3,0,22,12,32,0.26,8,Fog-Rain-Snow,182
2008-12-24,35,22,8,34,23,1,100,87,73,30.34,29.90,29.68,10,6,2,25,11,40,0.18,6,Rain-Snow,234
2008-12-25,26,14,3,18,5,-2,80,71,59,30.55,30.44,30.26,10,10,10,15,8,22,0.00,4,,198
2008-12-26,52,39,26,52,34,19,100,88,69,30.24,29.98,29.82,10,5,0,25,10,36,0.05,8,Fog-Rain,171
2008-12-27,62,50,34,61,54,34,100,98,88,29.81,29.66,29.44,10,6,0,30,17,44,1.38,8,Fog-Rain-Thunderstorm,202
2008-12-28,33,28,24,31,26,21,100,87,78,30.17,30.01,29.61,10,10,8,38,22,48,0.00,4,Snow,236
2008-12-29,43,36,30,32,27,14,92,74,50,30.22,30.06,29.91,10,10,10,23,10,32,0.00,1,,256
2008-12-30,39,34,27,33,22,11,85,65,45,30.21,29.91,29.63,10,9,2,25,8,34,0.00,6,Snow,284
2008-12-31,24,18,12,17,7,1,75,63,44,30.49,30.36,30.10,10,10,10,24,15,32,0.00,3,Snow,313
