CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-3-1,33,28,23,24,17,13,70,61,50,30.28,30.19,30.08,10,10,10,13,8,,0.00,5,,216
2008-3-2,57,46,34,50,39,26,83,73,65,30.06,29.85,29.70,10,10,10,23,12,31,0.00,6,,173
2008-3-3,55,40,26,49,31,12,97,79,53,30.06,29.84,29.61,10,8,2,18,13,26,0.28,8,Rain,317
2008-3-4,30,28,25,21,19,15,75,66,56,30.05,29.95,29.86,10,10,10,26,16,33,0.00,6,,35
2008-3-5,36,30,23,27,22,19,85,71,52,30.04,29.98,29.89,10,10,8,13,7,,0.00,6,Snow,258
2008-3-6,35,30,24,29,18,11,88,67,44,30.31,30.16,30.00,10,8,5,13,9,20,0.00,6,Snow,288
2008-3-7,27,22,16,16,12,7,72,62,53,30.33,30.25,30.13,10,9,6,21,14,29,0.00,7,Snow,12
2008-3-8,25,20,15,16,11,9,86,68,55,30.18,30.05,29.98,10,7,2,20,12,25,0.00,7,Snow,333
2008-3-9,36,28,21,26,19,11,85,68,55,30.35,30.27,30.19,10,10,9,10,6,,0.00,7,Snow,137
2008-3-10,35,31,26,27,24,20,88,76,56,30.41,30.36,30.29,10,8,5,13,7,,0.00,7,Snow,48
2008-3-11,48,36,24,29,23,19,85,65,42,30.35,30.06,29.82,10,8,3,22,10,29,0.00,2,,251
2008-3-12,44,36,30,32,28,26,85,72,53,30.01,29.89,29.67,10,9,6,12,6,,0.00,4,,88
2008-3-13,59,48,39,36,33,30,86,60,35,29.77,29.72,29.60,10,9,6,17,12,25,0.00,5,,263
2008-3-14,55,44,34,37,31,26,86,60,37,29.80,29.72,29.65,10,10,8,12,3,,0.00,4,,23
2008-3-15,39,34,30,30,26,23,76,68,59,30.13,29.93,29.81,10,10,10,17,11,23,0.00,6,,31
2008-3-16,37,34,30,24,22,19,76,64,52,30.52,30.38,30.15,10,10,10,16,13,24,0.00,7,,37
2008-3-17,39,34,30,36,29,24,96,78,55,30.51,30.31,30.06,10,7,2,17,11,21,0.08,8,Rain-Snow,123
2008-3-18,46,40,35,45,39,34,100,94,86,30.04,29.86,29.77,9,4,1,13,6,,0.06,8,Rain,354
2008-3-19,46,42,36,36,28,21,87,64,45,30.02,29.88,29.81,10,10,9,18,12,25,0.00,6,,355
2008-3-20,48,37,28,25,23,16,75,60,30,30.34,30.21,30.04,10,10,10,13,7,,0.00,3,,12
2008-3-21,34,32,30,31,29,24,100,88,70,30.34,30.09,29.92,10,4,0,22,14,30,0.17,8,Fog-Rain-Snow,81
2008-3-22,37,32,28,30,24,12,100,77,39,30.35,30.19,30.03,10,6,1,20,14,28,0.01,7,Snow,36
2008-3-23,39,34,28,26,21,18,82,62,43,30.34,30.31,30.28,10,10,10,9,6,,0.00,5,,332
2008-3-24,39,34,28,27,22,19,80,62,46,30.43,30.33,30.19,10,10,9,15,8,24,0.00,6,Snow,103
2008-3-25,60,48,36,37,28,22,62,50,26,30.14,29.90,29.74,10,10,10,26,19,43,0.00,5,,238
2008-3-26,51,42,32,29,26,22,82,54,32,30.17,30.11,30.04,10,10,10,15,6,20,0.00,5,,266
2008-3-27,46,40,33,34,33,26,100,89,44,30.04,29.95,29.87,10,5,0,20,13,29,0.31,8,Fog-Rain-Snow,35
2008-3-28,39,36,32,32,26,19,96,72,46,30.43,30.22,30.01,10,10,4,16,11,24,0.01,5,Rain-Snow,37
2008-3-29,44,36,28,30,22,18,75,56,37,30.48,30.41,30.30,10,10,10,16,9,24,0.00,4,,90
2008-3-30,43,40,36,41,34,25,96,82,60,30.30,30.17,30.09,10,5,2,17,10,26,0.04,8,Rain,104
2008-3-31,61,50,39,57,48,39,100,95,78,30.10,29.83,29.52,10,4,0,22,9,37,0.31,8,Fog-Rain-Thunderstorm,141
