CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-4-1,74,57,40,35,30,23,70,43,16,29.92,29.84,29.70,10,10,10,16,7,23,0.00,0,,129
2009-4-2,66,59,52,59,53,37,97,70,42,29.68,29.47,29.29,10,8,0,29,8,37,0.78,7,Fog-Rain-Thunderstorm,206
2009-4-3,64,56,47,46,41,37,77,58,39,29.93,29.79,29.54,10,10,10,26,7,124,0.00,4,,318
2009-4-4,75,61,47,48,42,38,77,54,31,30.00,29.90,29.77,10,10,10,17,9,23,T,3,Rain,139
2009-4-5,76,61,46,63,50,33,86,58,30,29.94,29.77,29.66,10,10,9,31,15,40,T,5,,225
2009-4-6,47,43,39,32,27,22,62,52,41,30.13,30.04,29.94,10,10,10,28,17,36,0.00,8,,310
2009-4-7,55,46,36,28,25,22,64,46,27,30.18,30.09,29.99,10,10,10,22,11,29,0.00,1,,284
2009-4-8,74,56,38,39,33,27,64,43,22,29.97,29.88,29.81,10,10,10,17,6,26,0.00,1,,228
2009-4-9,75,63,50,58,51,38,72,60,47,29.85,29.78,29.65,10,10,10,26,11,36,T,7,,173
2009-4-10,69,60,50,60,51,43,87,70,52,30.09,29.77,29.59,10,10,9,29,15,37,0.03,8,Rain-Thunderstorm,244
2009-4-11,68,58,47,43,40,35,80,56,32,30.21,30.15,30.09,10,10,9,17,9,28,0.00,3,,18
2009-4-12,65,57,48,55,46,36,89,65,40,30.13,29.94,29.74,10,8,2,28,13,35,0.73,7,Rain,80
2009-4-13,65,56,47,58,52,40,93,80,66,29.86,29.77,29.70,10,9,2,21,9,28,0.08,8,Rain,232
2009-4-14,54,50,45,40,39,37,76,68,59,30.06,29.96,29.84,10,10,10,16,9,23,0.00,6,,329
2009-4-15,65,52,39,44,40,36,86,65,43,30.21,30.14,30.06,10,10,10,14,6,18,0.00,2,,18
2009-4-16,68,58,48,46,43,40,77,58,42,30.28,30.21,30.17,10,10,9,13,9,21,0.00,4,,68
2009-4-17,78,66,53,50,48,45,77,57,36,30.26,30.20,30.15,10,10,10,18,9,24,0.00,3,,131
2009-4-18,71,65,58,61,58,50,93,77,60,30.16,30.05,29.97,10,7,2,16,8,22,1.26,8,Rain-Thunderstorm,148
2009-4-19,74,67,59,63,59,52,93,75,57,29.95,29.83,29.70,10,8,1,30,9,40,0.54,7,Rain-Thunderstorm,224
2009-4-20,69,62,54,52,45,41,77,58,39,29.99,29.91,29.85,10,10,10,18,10,24,T,4,,287
2009-4-21,68,60,51,47,34,25,66,44,22,30.00,29.94,29.88,10,10,10,24,10,30,0.00,5,Rain,292
2009-4-22,81,65,49,52,44,34,61,48,34,30.06,29.99,29.93,10,10,10,15,5,20,T,3,,167
2009-4-23,85,74,62,59,54,50,78,56,33,30.05,29.99,29.93,10,10,10,23,11,30,0.00,4,,199
2009-4-24,82,73,64,61,57,52,73,58,43,30.17,30.11,30.03,10,10,10,25,13,30,0.00,4,,192
2009-4-25,85,74,63,62,57,52,87,60,32,30.22,30.17,30.12,10,10,10,23,12,30,0.00,3,,181
2009-4-26,85,76,66,61,56,51,81,58,34,30.20,30.14,30.08,10,10,10,26,13,32,0.00,4,,172
2009-4-27,84,75,65,63,60,57,78,63,47,30.18,30.15,30.11,10,10,10,28,14,35,0.00,6,,172
2009-4-28,76,72,67,64,61,57,87,71,54,30.29,30.22,30.17,10,10,9,17,6,22,0.02,7,,157
2009-4-29,83,73,63,68,64,61,93,76,58,30.24,30.17,30.06,10,6,0,21,5,25,0.13,8,Fog-Rain,169
2009-4-30,80,75,69,67,63,57,84,69,54,30.09,30.04,29.96,10,10,10,25,12,32,0.06,7,Rain-Thunderstorm,194
