CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-12-1,73,63,53,50,47,43,72,60,47,30.24,30.16,30.11,10,10,10,20,10,26,0.00,5,,174
2012-12-2,70,66,61,61,59,50,90,75,60,30.23,30.16,30.12,10,10,10,22,12,31,0.00,7,,193
2012-12-3,75,68,60,61,57,52,93,70,46,30.17,30.11,30.06,10,10,10,23,11,30,0.00,5,,182
2012-12-4,70,62,54,62,57,52,97,82,66,30.23,30.15,30.08,10,8,0,26,9,35,0.33,8,Fog-Rain,268
2012-12-5,64,58,51,52,41,34,93,65,36,30.28,30.21,30.09,10,10,3,18,9,22,0.00,6,,51
2012-12-6,62,56,49,58,50,35,90,70,50,30.09,30.02,29.94,10,7,2,9,4,17,0.01,8,Rain,142
2012-12-7,69,64,59,58,56,53,93,78,63,29.96,29.91,29.84,10,9,7,15,6,23,0.02,7,Rain,193
2012-12-8,63,62,60,61,59,55,97,88,78,29.94,29.90,29.87,10,5,1,13,6,18,0.08,8,Rain-Thunderstorm,194
2012-12-9,70,64,58,64,61,56,97,87,76,29.91,29.84,29.77,10,8,1,22,11,29,0.68,8,Rain-Thunderstorm,219
2012-12-10,57,46,34,54,35,24,93,76,58,30.10,29.92,29.80,10,9,3,22,13,28,0.24,7,Rain-Thunderstorm,338
2012-12-11,45,38,30,28,25,22,75,60,45,30.27,30.19,30.10,10,10,10,13,5,16,0.00,2,,15
2012-12-12,53,42,30,27,23,16,82,53,24,30.38,30.32,30.27,10,10,10,9,4,13,0.00,0,,39
2012-12-13,59,44,29,28,24,16,78,49,19,30.40,30.34,30.28,10,10,10,7,2,18,0.00,0,,112
2012-12-14,60,47,34,47,32,25,75,54,33,30.30,30.20,30.07,10,10,4,16,5,21,0.09,6,Rain,167
2012-12-15,64,58,51,60,53,46,86,82,78,30.04,29.90,29.82,10,10,5,25,14,35,0.12,7,Rain,179
2012-12-16,64,61,58,60,58,57,97,91,84,29.85,29.77,29.69,10,9,1,16,8,24,0.02,8,Rain,196
2012-12-17,65,53,40,57,50,38,93,71,48,29.86,29.73,29.65,10,10,5,21,7,25,T,6,,231
2012-12-18,63,49,35,43,39,34,100,72,43,29.93,29.88,29.83,10,9,3,20,8,26,0.00,0,,187
2012-12-19,71,60,48,54,46,41,77,60,42,29.96,29.85,29.67,10,10,10,24,10,32,0.01,6,Rain,171
2012-12-20,67,52,37,63,37,19,80,62,44,30.16,29.80,29.52,10,9,1,37,21,47,0.24,6,Rain,253
2012-12-21,48,40,32,24,18,12,72,49,25,30.35,30.30,30.17,10,10,10,23,10,32,0.00,0,,287
2012-12-22,60,44,28,30,26,22,78,51,23,30.34,30.25,30.11,10,10,10,14,6,22,0.00,1,,185
2012-12-23,57,51,45,54,46,28,93,66,38,30.09,29.97,29.82,10,9,2,16,10,24,0.05,8,Rain,197
2012-12-24,58,51,44,55,49,33,100,83,66,29.99,29.89,29.78,10,7,0,16,7,22,0.01,8,Fog-Rain,333
2012-12-25,44,39,34,36,32,28,92,78,64,30.03,29.81,29.54,10,5,2,35,16,44,0.65,8,Rain-Snow,42
2012-12-26,35,33,30,32,28,25,92,81,69,30.21,29.92,29.57,10,6,1,31,12,45,0.14,8,Snow,312
2012-12-27,42,34,26,29,27,25,100,78,55,30.22,30.13,30.04,10,9,6,13,5,16,0.00,7,,103
2012-12-28,43,39,35,41,36,29,92,84,75,30.07,29.92,29.77,10,4,1,21,8,29,0.60,8,Rain,95
2012-12-29,36,31,25,34,25,20,92,77,61,30.44,30.20,29.96,10,9,7,22,10,26,0.00,6,,313
2012-12-30,43,32,21,28,23,19,96,70,43,30.54,30.45,30.34,10,9,7,7,2,9,0.00,3,,167
2012-12-31,48,42,36,43,34,25,92,69,46,30.32,30.14,29.99,10,7,2,15,5,20,0.44,8,Rain,138
