EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-1-1,78,70,61,62,59,55,87,68,48,30.13,30.10,30.05,10,10,7,22,11,28,0.04,4,Rain,54
2009-1-2,76,71,65,60,58,58,78,68,57,30.17,30.10,30.06,10,10,9,15,8,18,0.00,2,,90
2009-1-3,78,69,59,62,59,56,93,69,45,30.15,30.10,30.06,10,10,10,16,6,18,0.00,4,,76
2009-1-4,81,74,67,69,66,62,90,76,62,30.15,30.11,30.06,10,10,9,15,8,20,0.03,5,Rain,96
2009-1-5,80,75,69,69,66,63,97,78,58,30.16,30.10,30.05,10,10,10,12,6,15,T,3,Rain,92
2009-1-6,80,74,67,69,68,65,93,80,67,30.07,29.99,29.93,10,10,10,16,8,24,0.00,2,,127
2009-1-7,86,75,64,72,67,55,93,72,51,29.98,29.93,29.88,10,10,9,32,12,32,T,5,Rain,231
2009-1-8,75,68,60,61,55,51,93,70,46,30.09,30.01,29.95,10,10,7,12,5,15,0.00,3,,316
2009-1-9,77,67,56,55,52,48,80,58,36,30.22,30.16,30.08,10,10,10,15,5,18,0.00,0,,11
2009-1-10,78,68,58,61,58,55,90,69,47,30.26,30.20,30.16,10,10,10,16,5,21,0.00,2,,112
2009-1-11,81,71,60,66,63,58,100,77,54,30.19,30.12,30.06,10,10,10,15,4,18,0.00,4,,166
2009-1-12,81,72,62,67,64,60,100,77,54,30.15,30.09,30.06,10,10,10,13,5,16,0.00,5,,88
2009-1-13,82,73,63,71,68,57,100,84,67,30.11,30.04,29.96,10,10,10,21,9,25,T,7,,201
2009-1-14,74,65,55,57,51,41,84,67,49,30.24,30.18,30.10,10,10,10,15,8,18,0.00,6,,354
2009-1-15,71,65,58,53,46,37,67,55,42,30.30,30.26,30.22,10,10,10,15,9,21,0.01,8,Rain,343
2009-1-16,74,65,56,56,52,49,80,65,49,30.38,30.32,30.28,10,10,10,17,10,24,0.00,6,,2
2009-1-17,74,64,53,53,50,48,83,66,49,30.37,30.31,30.27,10,10,10,14,9,18,0.00,3,,4
2009-1-18,75,66,57,61,55,53,87,68,49,30.25,30.14,30.04,10,10,10,13,6,20,0.00,5,,210
2009-1-19,77,67,57,63,60,57,100,80,60,30.02,29.91,29.81,10,10,8,24,10,31,0.00,3,,228
2009-1-20,69,60,51,61,53,41,93,73,52,30.07,29.87,29.76,10,10,9,21,11,28,T,4,,271
2009-1-21,57,50,42,38,30,24,71,52,32,30.26,30.18,30.09,10,10,10,18,9,24,0.00,0,,332
2009-1-22,68,56,43,48,37,27,70,54,37,30.32,30.26,30.22,10,10,10,12,5,16,0.00,1,,343
2009-1-23,73,63,53,50,44,35,64,53,41,30.32,30.25,30.22,10,10,10,13,5,17,0.00,2,,41
2009-1-24,76,67,58,56,52,49,75,58,41,30.24,30.18,30.14,10,10,10,12,4,14,0.00,5,,55
2009-1-25,77,68,58,57,56,52,93,68,43,30.22,30.17,30.14,10,10,7,10,4,14,0.00,2,,51
2009-1-26,78,68,58,62,57,55,87,66,45,30.29,30.25,30.21,10,10,10,20,9,24,0.00,3,,79
2009-1-27,80,75,69,66,63,60,79,69,58,30.30,30.24,30.18,10,10,9,22,14,26,0.00,3,,97
2009-1-28,81,75,68,68,65,60,90,72,54,30.21,30.14,30.09,10,10,8,17,9,25,0.00,2,,133
2009-1-29,84,75,66,70,68,66,100,81,62,30.11,30.06,30.00,10,10,9,15,7,22,0.00,2,,163
2009-1-30,84,70,56,71,62,44,100,76,51,30.15,30.04,29.96,10,6,0,17,8,22,0.26,5,Fog-Rain,260
2009-1-31,65,57,48,46,36,26,77,54,31,30.31,30.25,30.16,10,10,10,17,10,24,0.00,1,,349
