EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-4-1,89,81,72,73,69,63,87,65,43,29.99,29.86,29.77,10,9,2,16,9,25,0.14,5,Rain,243
2011-4-2,86,78,69,68,65,60,90,67,44,30.07,30.01,29.96,10,10,7,14,6,21,0.00,1,,115
2011-4-3,86,79,72,68,67,63,84,70,55,30.14,30.09,30.03,10,10,10,20,8,23,0.00,2,,79
2011-4-4,85,80,75,70,67,63,74,66,58,30.12,30.06,30.01,10,10,10,21,13,30,0.00,3,,126
2011-4-5,92,81,70,72,68,62,84,64,44,30.04,29.98,29.92,10,9,2,23,10,35,0.34,6,Rain-Thunderstorm,197
2011-4-6,81,74,67,67,65,61,87,75,62,30.15,30.10,30.04,10,10,10,17,8,23,0.00,5,,37
2011-4-7,86,79,72,69,67,66,84,70,55,30.15,30.10,30.05,10,10,10,15,9,21,0.00,2,,99
2011-4-8,87,81,75,82,67,62,82,64,45,30.15,30.11,30.07,10,10,10,17,9,23,0.00,2,,100
2011-4-9,89,81,73,70,66,63,82,63,43,30.16,30.11,30.07,10,10,10,14,6,18,0.00,1,,94
2011-4-10,87,80,72,70,67,64,90,68,46,30.16,30.12,30.08,10,10,10,12,4,,0.00,1,,125
2011-4-11,87,79,71,69,68,65,84,66,48,30.12,30.07,30.03,10,10,10,12,5,21,0.00,1,,140
2011-4-12,90,82,73,70,67,62,87,64,41,30.06,30.00,29.94,10,10,9,17,6,23,0.00,3,,204
2011-4-13,88,80,72,70,67,51,93,66,39,30.04,29.98,29.93,10,10,8,12,5,21,0.00,4,,228
2011-4-14,87,78,68,70,62,53,74,61,48,30.01,29.98,29.94,10,10,10,12,7,17,0.00,4,,63
2011-4-15,88,81,74,70,68,65,82,65,48,30.02,29.98,29.95,10,10,10,17,7,24,T,4,,139
2011-4-16,88,81,73,72,70,68,84,69,53,30.05,30.00,29.95,10,10,4,18,7,26,0.81,4,Rain,159
2011-4-17,89,80,71,71,69,64,93,70,46,30.04,29.98,29.93,10,9,1,36,4,47,1.26,6,Rain-Thunderstorm,137
2011-4-18,87,78,69,72,68,66,90,71,51,30.09,30.03,29.98,10,10,9,16,5,22,0.00,4,,135
2011-4-19,86,80,74,70,67,64,87,69,51,30.13,30.10,30.04,10,10,10,17,8,27,0.00,4,,111
2011-4-20,86,81,76,67,65,62,69,59,48,30.15,30.11,30.08,10,10,10,18,11,23,0.00,3,,90
2011-4-21,85,80,75,66,62,59,67,55,43,30.14,30.10,30.05,10,10,10,18,11,23,0.00,2,,78
2011-4-22,85,79,72,63,62,57,64,56,47,30.15,30.11,30.07,10,10,10,18,11,23,0.00,2,,87
2011-4-23,85,80,75,68,64,62,71,61,51,30.18,30.12,30.07,10,10,10,18,12,24,0.00,3,,90
2011-4-24,86,80,73,70,67,63,87,69,51,30.16,30.09,30.06,10,10,3,18,12,31,0.16,4,Rain,91
2011-4-25,87,82,77,71,69,67,76,66,55,30.06,30.00,29.92,10,10,10,16,12,22,0.00,4,,86
2011-4-26,88,83,77,74,72,69,82,70,57,29.99,29.95,29.90,10,10,8,18,9,28,0.00,4,,135
2011-4-27,89,84,79,75,73,70,91,73,55,30.05,29.98,29.91,10,10,9,13,11,13,0.00,4,,137
2011-4-28,89,84,78,75,72,50,91,75,59,30.08,30.03,29.99,10,10,10,16,9,21,0.00,3,,147
2011-4-29,91,81,71,73,71,66,88,69,50,30.03,29.97,29.88,10,8,0,26,6,38,2.58,5,Rain-Thunderstorm,157
2011-4-30,88,82,75,73,71,68,87,72,57,30.06,29.99,29.94,10,10,1,16,8,22,0.07,5,Rain,77
