CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-2-1,41,37,33,33,30,28,89,80,70,30.20,30.09,29.90,10,8,6,18,6,25,0.00,7,,308
2012-2-2,36,33,30,34,30,28,96,89,82,30.45,30.28,30.16,8,4,0,10,5,14,0.00,7,,244
2012-2-3,37,34,31,31,29,28,92,84,75,30.51,30.46,30.40,10,5,2,13,4,16,0.00,8,,41
2012-2-4,40,35,29,29,27,24,78,71,64,30.40,30.30,30.20,10,10,9,13,6,16,0.00,4,,66
2012-2-5,42,36,29,31,27,23,85,70,55,30.34,30.27,30.20,10,10,6,16,6,21,0.00,4,,324
2012-2-6,42,35,28,28,26,24,85,70,55,30.19,30.14,30.07,10,7,3,18,10,24,0.00,3,,256
2012-2-7,36,30,24,31,23,13,89,75,60,30.44,30.33,30.17,10,9,7,24,13,33,T,7,,1
2012-2-8,34,27,20,14,10,6,68,50,32,30.43,30.36,30.28,10,10,9,14,8,18,0.00,3,,287
2012-2-9,37,29,20,20,14,10,68,52,35,30.27,30.15,30.04,10,9,7,22,11,28,0.00,2,,248
2012-2-10,33,22,10,28,17,-2,92,73,53,30.28,30.01,29.90,10,4,0,28,14,38,0.04,7,Fog-Snow,326
2012-2-11,18,13,7,-1,-3,-5,69,56,42,30.40,30.35,30.29,10,10,10,25,17,36,0.00,1,,302
2012-2-12,33,24,14,9,2,-2,55,41,27,30.32,30.27,30.19,10,10,10,23,12,30,0.00,0,,281
2012-2-13,31,24,16,27,19,4,92,67,42,30.19,29.98,29.83,10,5,1,18,7,24,0.03,7,Snow,196
2012-2-14,35,32,28,28,26,24,92,78,64,29.99,29.86,29.79,9,6,3,15,8,20,T,8,Snow,226
2012-2-15,48,41,33,36,32,27,85,73,60,30.07,30.01,29.95,10,6,2,15,8,22,0.02,7,Rain,194
2012-2-16,45,40,34,36,29,18,92,63,33,30.10,30.00,29.94,10,5,0,21,9,29,T,5,Fog-Rain,280
2012-2-17,40,33,26,30,27,20,82,69,56,30.16,30.07,29.99,10,7,0,18,5,23,0.01,5,Snow,220
2012-2-18,38,31,23,25,20,15,78,59,40,30.26,30.17,30.03,10,10,8,21,7,26,T,2,,354
2012-2-19,37,28,19,23,20,15,84,68,52,30.25,30.22,30.19,10,8,4,12,4,15,0.00,1,,168
2012-2-20,41,31,21,28,22,17,84,64,44,30.31,30.19,29.92,10,9,5,23,10,28,0.00,4,,160
2012-2-21,42,38,33,34,30,22,89,73,56,29.88,29.64,29.56,10,6,1,28,12,38,0.05,6,Rain-Snow,211
2012-2-22,45,37,29,32,26,18,89,65,40,29.63,29.49,29.41,10,9,5,22,9,30,0.01,5,Rain,246
2012-2-23,39,31,23,32,30,22,96,83,70,29.61,29.56,29.47,9,4,1,20,7,25,0.12,7,Rain-Snow,63
2012-2-24,35,31,27,31,26,16,92,75,58,29.90,29.67,29.46,10,5,0,21,14,29,0.50,8,Fog-Snow,316
2012-2-25,31,24,17,16,13,10,73,61,49,30.32,30.16,29.92,10,10,8,22,11,30,T,3,,271
2012-2-26,45,29,12,30,21,9,80,65,49,30.33,30.10,29.94,10,8,6,29,11,37,0.00,3,,189
2012-2-27,38,32,26,20,18,16,69,58,47,30.49,30.29,30.00,10,10,8,24,12,35,0.00,2,,272
2012-2-28,38,30,21,34,26,17,89,77,64,30.48,30.26,29.88,10,8,2,22,9,28,0.19,7,Rain-Snow,136
2012-2-29,53,43,33,45,34,28,100,73,46,29.82,29.53,29.39,10,4,0,30,18,40,0.51,7,Fog-Rain-Snow,189
