CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-9-1,74,71,68,64,60,55,79,66,53,30.12,30.07,30.01,10,10,10,18,12,28,0.00,6,,50
2012-9-2,80,75,69,66,64,58,84,66,48,30.01,29.97,29.93,10,10,10,20,10,24,0.00,4,,62
2012-9-3,83,75,67,69,68,65,93,79,65,29.95,29.92,29.87,10,9,5,13,4,16,0.41,3,,106
2012-9-4,85,75,65,72,69,61,100,82,63,29.94,29.88,29.82,10,8,2,30,8,39,0.52,5,Rain-Thunderstorm,164
2012-9-5,78,72,65,67,63,60,93,77,60,29.88,29.80,29.75,10,10,10,14,5,23,T,5,,155
2012-9-6,81,73,65,66,62,58,93,71,48,29.93,29.89,29.83,10,10,7,13,6,21,0.00,1,,342
2012-9-7,77,67,57,65,60,53,93,74,54,29.91,29.84,29.79,10,9,2,24,6,31,0.19,7,Rain,346
2012-9-8,70,61,52,55,49,44,93,67,40,29.89,29.86,29.81,10,10,4,18,9,25,0.26,4,Rain,305
2012-9-9,69,61,53,54,50,46,93,69,44,30.15,30.04,29.88,10,10,10,18,7,23,0.00,2,,356
2012-9-10,75,65,55,54,50,47,72,57,41,30.22,30.15,30.08,10,10,8,20,8,23,0.00,2,,207
2012-9-11,83,71,58,55,52,49,72,53,34,30.11,30.06,30.00,10,10,10,24,12,30,0.00,1,,210
2012-9-12,86,75,64,63,57,40,73,55,37,30.15,30.08,30.04,10,10,10,17,12,23,0.00,5,,204
2012-9-13,64,59,53,53,48,42,93,69,44,30.34,30.28,30.16,10,9,2,16,8,22,0.19,6,Rain,335
2012-9-14,75,63,50,54,47,40,96,64,31,30.35,30.31,30.26,10,10,10,17,6,22,0.00,1,,299
2012-9-15,74,62,50,57,51,45,89,62,35,30.32,30.23,30.12,10,10,10,20,6,22,0.00,1,,179
2012-9-16,76,66,55,50,47,44,72,53,33,30.12,30.04,29.95,10,10,10,20,8,24,0.00,3,,229
2012-9-17,77,64,51,60,54,47,86,68,50,29.94,29.82,29.74,10,9,2,32,10,43,0.39,6,Rain-Thunderstorm,278
2012-9-18,59,51,43,46,38,30,86,61,36,30.03,29.90,29.82,10,10,10,21,10,29,T,3,,319
2012-9-19,72,56,39,49,39,33,79,55,31,30.06,29.92,29.75,10,10,8,35,14,45,0.05,3,Rain,210
2012-9-20,69,60,50,49,39,28,71,47,22,29.91,29.86,29.81,10,10,10,21,8,28,0.00,4,,274
2012-9-21,58,54,49,49,43,36,89,70,50,29.92,29.86,29.79,10,10,7,16,8,23,0.10,7,Rain,244
2012-9-22,58,50,42,48,42,35,93,72,51,30.17,29.93,29.77,10,8,2,22,10,31,0.20,5,Rain-Thunderstorm,290
2012-9-23,58,50,41,35,32,27,79,55,30,30.25,30.22,30.16,10,10,10,18,7,29,0.00,2,,301
2012-9-24,70,55,39,38,34,30,79,53,26,30.22,30.03,29.84,10,10,10,26,12,35,0.00,3,,231
2012-9-25,79,65,51,55,47,37,93,62,30,29.89,29.83,29.77,10,10,10,18,9,23,0.00,2,,261
2012-9-26,62,56,49,53,45,38,93,70,46,30.20,30.05,29.90,10,10,10,18,10,23,0.00,2,,15
2012-9-27,60,55,49,48,45,40,77,67,57,30.25,30.22,30.19,10,10,10,20,11,25,0.00,5,,28
2012-9-28,64,57,49,47,44,40,80,62,44,30.22,30.17,30.12,10,10,10,14,6,28,0.00,3,,15
2012-9-29,75,63,51,54,46,39,83,56,29,30.12,30.05,30.00,10,10,10,17,6,21,0.00,2,,333
2012-9-30,63,55,47,52,47,43,96,72,48,30.03,30.00,29.97,10,10,10,14,6,18,0.00,3,,16
