CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-10-1,58,50,42,43,40,38,89,70,51,30.19,30.13,30.08,10,10,10,17,9,26,0.00,3,,328
2008-10-2,68,55,41,47,42,38,89,66,42,30.08,29.95,29.84,10,10,10,17,7,32,0.00,2,,287
2008-10-3,59,50,40,41,36,31,89,63,36,30.18,30.10,29.95,10,10,10,17,4,23,0.00,0,,40
2008-10-4,63,52,40,39,36,34,92,63,34,30.25,30.19,30.15,10,10,10,15,7,20,0.00,0,,119
2008-10-5,62,55,47,52,46,37,89,75,61,30.17,30.09,30.04,10,9,2,26,15,31,0.20,8,Rain,106
2008-10-6,71,63,54,58,53,49,83,73,63,30.09,30.05,30.01,10,10,7,22,14,29,0.07,7,Rain,125
2008-10-7,61,53,44,58,52,45,96,87,78,30.01,29.96,29.90,10,5,1,17,8,26,0.93,7,Fog-Rain,308
2008-10-8,71,57,43,47,42,37,96,66,35,29.91,29.86,29.77,10,9,5,22,7,26,0.00,2,Fog,245
2008-10-9,62,52,42,44,32,23,70,47,23,30.15,30.04,29.92,10,10,7,22,10,32,0.05,4,Rain,257
2008-10-10,69,59,48,46,42,38,86,62,37,30.17,30.08,29.98,10,10,10,18,10,23,T,5,Rain,87
2008-10-11,75,65,54,61,53,45,84,67,50,30.13,30.09,30.05,10,10,10,18,9,25,0.01,5,Thunderstorm,129
2008-10-12,78,70,61,63,60,57,90,72,54,30.11,30.08,30.03,10,10,9,21,11,28,T,8,,146
2008-10-13,70,57,43,63,50,37,93,82,71,30.21,30.10,30.02,10,8,1,17,9,22,0.43,7,Rain,248
2008-10-14,53,46,39,40,35,32,85,68,50,30.30,30.21,30.11,10,10,10,14,7,21,T,4,,217
2008-10-15,55,48,40,42,37,29,86,62,38,30.26,30.12,30.05,10,10,10,22,11,29,0.01,5,,277
2008-10-16,53,44,35,36,33,31,85,66,46,30.39,30.34,30.29,10,10,10,10,2,14,0.00,3,,316
2008-10-17,53,48,43,40,38,36,82,72,61,30.32,30.31,30.29,10,10,9,8,3,10,T,7,,303
2008-10-18,56,47,37,41,38,34,92,74,55,30.33,30.25,30.10,10,8,5,18,7,23,0.00,3,Fog,171
2008-10-19,66,56,46,51,46,40,83,68,52,30.18,30.03,29.97,10,10,10,17,9,22,0.01,5,Rain,193
2008-10-20,55,47,39,47,34,26,86,61,35,30.43,30.35,30.19,10,10,10,17,9,31,0.00,1,,346
2008-10-21,52,42,31,36,30,27,82,62,41,30.46,30.38,30.27,10,10,10,18,9,25,0.01,4,Rain,113
2008-10-22,46,43,40,39,37,34,86,78,70,30.31,30.29,30.25,10,10,7,23,12,26,0.17,8,Rain,85
2008-10-23,54,48,42,42,36,33,77,62,46,30.33,30.20,30.10,10,10,7,18,11,28,T,7,Rain,101
2008-10-24,53,49,44,45,41,36,93,77,61,30.09,29.94,29.80,10,6,2,14,6,17,0.02,8,Rain,258
2008-10-25,61,52,42,39,37,33,89,63,37,29.79,29.62,29.45,10,10,7,25,12,33,0.00,5,,240
2008-10-26,49,42,34,34,31,24,89,69,49,30.18,29.84,29.58,10,7,2,37,22,53,0.05,6,Rain-Snow,289
2008-10-27,40,34,28,28,23,20,75,60,44,30.50,30.38,30.19,10,10,10,28,15,36,0.00,3,,305
2008-10-28,48,38,27,23,18,9,81,52,22,30.50,30.38,30.21,10,10,10,15,5,20,0.00,2,,249
2008-10-29,54,42,30,27,24,21,75,53,30,30.27,30.20,30.13,10,10,10,10,3,17,0.00,0,,150
2008-10-30,71,55,39,43,36,28,76,54,31,30.12,30.06,29.97,10,10,10,21,8,28,0.00,0,,176
2008-10-31,62,52,41,43,32,25,86,55,23,30.43,30.31,30.10,10,10,10,15,6,21,0.00,1,,5
