CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-11-1,47,39,31,33,26,22,73,57,40,30.08,30.00,29.93,10,10,9,18,10,24,0.00,4,,343
2012-11-2,39,33,27,25,24,22,81,66,50,30.19,30.15,30.09,10,10,10,10,4,21,0.00,6,,14
2012-11-3,43,40,37,28,26,25,64,59,53,30.25,30.22,30.18,10,10,10,8,4,13,0.00,8,,69
2012-11-4,45,38,30,35,31,28,92,78,64,30.25,30.21,30.15,10,9,6,14,5,17,0.01,6,Rain,91
2012-11-5,45,42,38,36,33,30,79,72,65,30.22,30.13,29.96,10,8,5,16,7,22,T,8,Rain,128
2012-11-6,44,41,38,39,36,32,92,79,65,29.99,29.85,29.76,10,7,2,20,11,25,0.31,8,Rain,276
2012-11-7,47,43,38,34,33,30,85,72,58,30.14,30.08,29.98,10,10,10,13,6,16,0.00,8,,293
2012-11-8,54,44,34,36,33,29,82,66,50,30.09,30.00,29.94,10,10,10,17,8,23,0.00,3,,165
2012-11-9,55,45,35,39,36,33,92,72,51,30.07,30.00,29.93,10,8,4,21,11,28,0.00,5,,61
2012-11-10,69,57,44,56,48,39,93,77,61,29.91,29.64,29.47,10,4,1,32,13,43,0.24,7,Rain-Thunderstorm,122
2012-11-11,56,39,22,52,28,10,92,75,57,29.98,29.77,29.52,10,8,3,22,15,29,0.02,8,Rain-Snow,269
2012-11-12,27,23,19,18,14,9,84,71,57,30.33,30.07,29.94,10,8,1,23,12,29,0.01,6,Snow,260
2012-11-13,43,31,18,27,20,14,84,62,39,30.41,30.35,30.31,10,10,10,13,6,16,0.00,4,,168
2012-11-14,51,43,34,32,29,27,82,62,41,30.30,30.24,30.17,10,10,9,9,5,13,0.00,6,,151
2012-11-15,53,41,29,32,25,10,76,57,38,30.49,30.29,30.14,10,10,9,17,8,22,T,2,,305
2012-11-16,44,34,23,27,18,11,75,53,30,30.52,30.45,30.35,10,10,9,12,5,14,0.00,1,,130
2012-11-17,54,43,32,36,33,28,82,64,46,30.35,30.28,30.23,10,8,5,18,10,24,0.00,5,,148
2012-11-18,57,50,43,34,32,30,62,50,38,30.22,30.14,30.08,10,10,7,18,11,23,0.00,5,,150
2012-11-19,59,49,38,39,36,33,82,65,47,30.10,30.06,30.02,10,10,6,14,5,18,T,4,,155
2012-11-20,54,44,33,36,33,31,96,69,41,30.19,30.13,30.07,10,8,5,15,4,18,0.00,2,,206
2012-11-21,62,50,38,42,37,32,76,59,42,30.05,29.89,29.70,10,10,9,17,8,25,0.00,5,,173
2012-11-22,60,42,24,43,32,18,89,70,51,30.01,29.81,29.62,10,7,0,36,15,45,0.02,7,Fog-Snow,267
2012-11-23,27,21,14,18,13,9,84,71,57,30.41,30.24,29.98,10,8,1,30,17,39,0.02,7,Snow,309
2012-11-24,30,21,11,17,12,8,92,71,50,30.40,30.11,29.81,10,10,10,17,6,21,T,6,Snow,164
2012-11-25,30,27,23,22,19,8,75,67,58,30.19,30.01,29.80,10,10,9,22,10,30,0.00,8,,292
2012-11-26,23,17,10,8,6,3,76,61,45,30.46,30.39,30.22,10,10,10,23,8,30,0.00,2,,294
2012-11-27,39,28,16,24,17,7,81,69,56,30.38,30.24,30.09,10,10,9,15,7,20,0.00,4,,223
2012-11-28,36,31,25,24,22,19,88,72,56,30.38,30.27,30.12,10,10,9,15,6,21,0.00,7,,242
2012-11-29,40,32,23,26,24,22,81,68,54,30.14,30.10,30.07,10,8,7,15,7,23,0.00,5,,65
2012-11-30,36,34,31,33,29,26,96,86,75,30.20,30.14,30.08,8,6,4,16,9,20,0.00,8,,101
