CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-12-1,57,47,37,36,27,19,74,47,24,30.40,30.33,30.30,10,10,10,14,9,24,0.00,0,,331
2010-12-2,63,48,32,39,33,26,93,56,26,30.38,30.30,30.13,10,10,7,7,1,,0.00,0,,158
2010-12-3,70,56,43,52,45,38,90,71,41,30.29,30.21,30.14,10,9,7,8,3,,0.00,2,,175
2010-12-4,75,64,54,61,56,51,93,75,50,30.15,30.09,30.03,10,9,6,17,8,21,0.00,3,Fog-Rain,227
2010-12-5,63,54,42,57,36,30,81,58,41,30.39,30.27,30.11,10,10,7,20,15,28,0.00,3,,5
2010-12-6,51,44,37,32,24,20,70,49,29,30.46,30.37,30.30,10,10,10,20,14,24,0.00,2,,351
2010-12-7,53,44,35,29,23,12,70,46,19,30.32,30.26,30.20,10,10,10,8,4,,0.00,1,,8
2010-12-8,51,45,39,33,28,25,73,51,38,30.33,30.25,30.15,10,10,9,18,8,22,0.00,4,,24
2010-12-9,51,43,35,32,25,15,76,52,28,30.38,30.30,30.24,10,10,10,12,7,,0.00,2,,67
2010-12-10,64,50,35,48,40,30,85,67,44,30.25,30.19,30.10,10,10,8,10,4,16,0.00,3,,128
2010-12-11,72,64,57,61,53,47,88,70,49,30.08,29.94,29.82,10,9,2,21,12,34,0.20,7,Rain,184
2010-12-12,55,48,39,44,25,17,64,41,32,30.18,30.05,29.90,10,10,10,28,19,36,0.00,2,,310
2010-12-13,46,40,35,17,11,5,44,32,20,30.30,30.23,30.17,10,10,10,20,15,25,0.00,0,,330
2010-12-14,50,42,33,30,19,8,65,44,23,30.32,30.24,30.11,10,10,10,13,8,,0.00,0,,80
2010-12-15,64,52,41,55,45,29,83,70,58,30.11,30.00,29.88,10,10,10,16,9,25,0.00,5,,147
2010-12-16,78,68,55,62,55,51,93,72,39,29.93,29.88,29.84,10,10,6,20,11,29,0.00,3,,206
2010-12-17,59,52,44,56,49,43,94,87,77,30.07,30.02,29.93,8,4,0,15,7,23,0.01,8,Fog-Rain,18
2010-12-18,53,48,43,43,38,31,93,74,43,30.09,30.04,29.99,10,8,3,17,12,,0.01,6,Rain,9
2010-12-19,55,48,39,34,29,19,76,54,24,30.15,30.10,30.06,10,10,10,12,8,,0.00,1,,35
2010-12-20,66,52,37,52,42,32,87,69,45,30.18,30.11,30.06,10,10,8,15,4,18,0.00,2,,127
2010-12-21,73,63,53,60,57,51,93,82,64,30.12,30.08,30.04,10,9,6,15,8,22,0.00,5,,187
2010-12-22,75,65,54,64,58,48,94,76,55,30.24,30.15,30.09,10,8,4,14,7,18,0.00,5,,289
2010-12-23,57,52,46,46,34,29,77,55,37,30.33,30.26,30.22,10,10,8,16,11,,0.00,1,,24
2010-12-24,62,53,44,49,42,32,90,69,53,30.23,30.15,30.05,10,9,6,9,6,,0.00,3,,71
2010-12-25,54,48,41,52,43,28,94,82,58,30.20,30.03,29.93,10,7,2,28,12,37,0.63,7,Rain,4
2010-12-26,41,38,35,26,23,21,61,55,49,30.36,30.30,30.21,10,10,10,22,17,31,0.00,6,,340
2010-12-27,46,39,32,26,22,16,70,56,34,30.45,30.39,30.33,10,10,10,14,8,,0.00,0,,11
2010-12-28,55,42,28,38,30,21,82,62,30,30.41,30.32,30.21,10,10,8,8,2,,0.00,1,,100
2010-12-29,69,56,42,57,48,37,82,69,52,30.19,30.02,29.85,10,10,9,26,9,36,0.00,4,,135
2010-12-30,73,64,55,63,59,53,94,81,64,29.97,29.89,29.85,10,8,2,34,15,45,1.10,6,Rain-Thunderstorm,150
2010-12-31,73,70,66,68,66,62,94,87,82,29.96,29.90,29.85,10,6,2,21,13,29,0.22,7,Rain,158
