CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-4-1,86,75,66,72,68,64,100,82,51,29.95,29.90,29.84,10,7,0,12,3,,0.00,3,Fog,180
2012-4-2,84,75,66,72,68,63,94,82,58,29.95,29.84,29.80,10,8,2,29,9,51,1.69,6,Rain-Thunderstorm,148
2012-4-3,86,74,64,72,67,60,94,76,51,29.96,29.91,29.81,10,10,6,14,8,,0.29,5,Rain-Thunderstorm,148
2012-4-4,75,70,66,69,64,61,94,85,68,30.01,29.87,29.79,10,8,1,29,11,38,3.43,7,Rain-Thunderstorm,115
2012-4-5,84,74,66,69,66,57,93,77,56,29.86,29.79,29.74,10,10,9,15,7,,0.03,5,Rain-Thunderstorm,277
2012-4-6,79,71,64,60,56,53,67,58,48,30.05,29.96,29.87,10,10,10,16,11,20,0.00,1,,16
2012-4-7,80,72,64,63,59,54,81,65,50,30.21,30.14,30.05,10,10,7,14,7,17,0.00,2,,93
2012-4-8,81,70,61,63,59,55,93,68,43,30.27,30.20,30.14,10,8,5,8,3,,0.00,2,Fog,40
2012-4-9,82,73,64,62,59,55,87,61,34,30.19,30.13,30.08,10,10,10,14,5,,0.00,3,,26
2012-4-10,84,74,64,65,60,57,84,62,33,30.14,30.09,30.04,10,10,10,9,2,,0.00,5,,350
2012-4-11,86,76,66,65,64,62,90,72,49,30.13,30.08,30.05,10,9,2,17,6,23,0.04,6,Rain-Thunderstorm,336
2012-4-12,79,71,63,64,55,48,73,57,43,30.17,30.12,30.09,10,10,10,15,10,21,0.00,4,,89
2012-4-13,82,74,66,62,61,59,84,64,37,30.15,30.11,30.08,10,10,10,13,6,17,0.00,1,,138
2012-4-14,84,75,66,67,62,58,79,63,41,30.14,30.09,30.04,10,10,9,18,10,25,0.00,2,,138
2012-4-15,87,78,70,71,68,65,87,72,43,30.05,30.01,29.97,10,10,8,22,11,33,0.00,2,,150
2012-4-16,87,78,70,72,69,64,90,80,54,30.14,30.09,30.00,10,9,6,18,8,26,0.20,6,Rain-Thunderstorm,133
2012-4-17,79,71,63,68,63,55,88,81,66,30.12,30.09,30.05,10,9,0,30,8,38,0.94,7,Fog-Rain,21
2012-4-18,79,70,61,58,56,55,83,65,39,30.11,30.06,29.99,10,10,10,16,13,23,0.00,4,,359
2012-4-19,81,72,63,58,53,47,78,53,28,30.03,29.97,29.90,10,10,10,9,6,,0.00,1,,42
2012-4-20,81,71,61,62,58,56,84,63,35,29.93,29.86,29.77,10,10,10,10,5,,0.00,3,,198
2012-4-21,72,66,57,64,60,49,88,77,62,29.90,29.77,29.69,10,9,1,18,7,29,0.63,7,Rain-Thunderstorm,4
2012-4-22,79,67,55,54,50,46,77,57,34,29.99,29.92,29.86,10,10,10,18,14,26,0.00,1,,335
2012-4-23,72,64,57,45,42,38,60,43,28,30.12,30.06,29.99,10,10,10,21,16,31,0.00,0,,347
2012-4-24,75,64,53,52,44,36,67,46,23,30.15,30.08,30.02,10,10,10,14,7,,0.00,0,,181
2012-4-25,84,72,59,65,59,51,84,65,43,30.07,30.03,30.00,10,10,10,14,9,22,0.00,1,,203
2012-4-26,84,75,66,66,64,61,90,70,45,30.08,30.03,29.99,10,10,9,17,11,22,0.00,2,,194
2012-4-27,84,75,66,66,64,60,90,71,44,30.08,30.03,30.00,10,10,9,15,7,22,0.00,3,,171
2012-4-28,84,75,66,66,64,60,87,68,41,30.06,30.02,29.98,10,10,10,14,7,22,0.00,3,,156
2012-4-29,86,78,70,70,69,65,93,75,52,30.12,30.07,30.04,10,10,7,15,8,20,0.00,3,Fog,138
2012-4-30,88,78,68,70,67,64,93,69,38,30.14,30.08,30.04,10,10,7,10,5,,0.00,3,Fog,155
