PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-11-1,64,62,60,61,58,55,96,85,73,30.09,29.98,29.90,10,5,1,30,15,37,1.25,8,Rain-Thunderstorm,160
2008-11-2,64,61,57,57,55,50,90,81,72,30.12,30.06,29.96,10,10,9,16,8,18,0.02,6,Rain,245
2008-11-3,62,57,52,55,51,48,93,79,65,30.09,29.96,29.79,10,9,1,28,13,35,0.22,6,Rain,195
2008-11-4,61,56,50,48,44,39,83,67,51,30.23,30.13,29.99,10,10,10,22,12,29,0.00,3,,301
2008-11-5,62,51,40,47,41,37,86,64,42,30.31,30.28,30.24,10,10,10,12,3,14,0.00,5,,300
2008-11-6,66,58,49,53,46,41,83,67,51,30.38,30.32,30.28,10,10,10,13,4,15,0.00,1,,346
2008-11-7,68,57,46,54,50,44,93,74,55,30.27,30.20,30.14,10,10,7,15,4,17,0.00,1,,296
2008-11-8,60,53,46,57,52,46,96,88,80,30.13,30.01,29.90,10,6,0,24,7,33,0.05,6,Fog-Rain,276
2008-11-9,63,57,50,49,47,45,83,69,55,30.00,29.91,29.87,10,10,10,24,12,28,0.00,2,,292
2008-11-10,66,56,46,52,48,44,93,79,64,30.19,30.10,30.01,10,10,7,12,6,17,0.00,6,,270
2008-11-11,61,58,54,53,51,48,90,80,69,30.31,30.25,30.18,10,10,7,13,5,29,0.00,7,,265
2008-11-12,63,57,50,56,53,50,100,84,67,30.35,30.28,30.23,10,8,0,10,2,17,0.01,7,Fog,258
2008-11-13,70,61,51,58,54,50,100,82,63,30.27,30.21,30.12,10,5,0,7,2,12,0.00,2,Fog,198
2008-11-14,82,66,50,57,42,32,96,57,18,30.16,30.11,30.06,10,10,8,16,5,22,0.00,0,,45
2008-11-15,85,73,61,59,49,37,65,44,23,30.16,30.12,30.08,10,10,10,15,6,18,0.00,0,,167
2008-11-16,74,65,55,61,55,51,93,70,46,30.14,30.10,30.06,10,10,9,7,1,8,0.00,1,,268
2008-11-17,69,61,52,56,53,49,93,73,53,30.18,30.14,30.11,10,9,5,7,2,9,0.01,1,,223
2008-11-18,65,56,46,54,50,46,100,84,67,30.19,30.15,30.12,10,6,2,15,5,17,0.01,2,Fog,316
2008-11-19,58,56,53,49,49,47,83,78,72,30.19,30.17,30.14,10,8,5,13,4,15,0.00,8,,275
2008-11-20,63,58,52,54,51,44,90,81,71,30.28,30.23,30.17,10,8,2,12,4,15,T,5,Fog,184
2008-11-21,64,53,41,45,42,35,86,61,36,30.22,30.16,30.10,10,10,10,15,4,56,0.00,1,,305
2008-11-22,64,52,40,51,45,38,93,68,43,30.18,30.12,30.09,10,10,8,12,4,14,0.00,3,Fog,298
2008-11-23,64,56,48,49,45,41,83,70,56,30.10,30.06,30.01,10,10,6,9,5,55,0.00,0,,106
2008-11-24,62,53,44,49,46,41,93,74,55,30.11,30.07,30.02,8,4,2,8,3,14,0.00,5,,122
2008-11-25,62,55,48,51,49,44,86,77,67,30.09,30.03,29.97,8,5,4,10,4,18,0.00,6,,360
2008-11-26,57,54,51,52,50,45,93,80,66,30.01,29.93,29.88,10,6,3,9,2,10,0.20,8,Rain,31
2008-11-27,59,55,50,52,51,48,96,84,72,30.25,30.11,30.01,10,6,3,13,5,26,0.00,7,,290
2008-11-28,57,52,47,50,49,46,93,85,77,30.33,30.26,30.23,10,7,2,8,2,18,0.00,6,Fog,247
2008-11-29,71,59,46,52,48,44,100,69,38,30.23,30.19,30.12,10,5,0,18,5,22,0.00,4,Fog,154
2008-11-30,65,55,44,52,48,44,93,77,60,30.20,30.16,30.12,10,9,5,10,3,12,0.00,1,,338
