PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-7-1,83,71,59,65,61,57,100,73,45,29.86,29.84,29.83,10,10,10,21,8,41,0.00,3,,288
2013-7-2,80,71,61,63,62,60,100,78,56,29.94,29.90,29.84,10,10,10,24,11,29,0.00,5,,306
2013-7-3,84,73,61,63,61,59,100,73,46,29.91,29.85,29.78,10,10,8,21,9,33,0.00,5,,314
2013-7-4,80,71,62,65,60,54,93,73,52,29.79,29.76,29.70,10,10,9,20,9,23,0.00,2,,290
2013-7-5,68,64,59,58,57,56,93,81,68,29.83,29.78,29.75,10,7,5,23,14,26,0.00,4,,247
2013-7-6,72,64,56,58,57,54,100,79,57,29.82,29.79,29.76,10,10,10,16,9,21,0.00,3,,265
2013-7-7,72,65,57,59,58,55,100,79,57,29.87,29.83,29.80,10,10,10,20,9,35,0.00,4,,324
2013-7-8,71,64,57,60,58,56,100,81,61,29.99,29.93,29.88,10,10,10,18,9,22,0.00,4,,302
2013-7-9,76,66,56,60,58,54,100,77,54,30.04,30.00,29.94,10,9,3,21,9,25,0.00,3,,307
2013-7-10,71,64,57,59,58,57,100,83,66,30.00,29.97,29.93,10,10,10,23,11,29,0.00,6,,305
2013-7-11,68,62,56,57,56,55,100,84,68,29.97,29.95,29.91,10,10,7,21,9,24,0.00,6,Fog,284
2013-7-12,68,63,57,58,57,55,100,82,63,29.96,29.93,29.90,10,10,10,21,10,44,0.00,4,,288
2013-7-13,72,63,53,59,56,53,100,77,53,29.98,29.95,29.92,10,10,10,22,9,33,0.00,2,,323
2013-7-14,68,62,55,58,57,55,100,84,68,30.02,29.98,29.93,10,9,6,18,10,32,0.00,4,,304
2013-7-15,69,62,54,58,56,54,100,82,63,29.95,29.92,29.87,10,10,10,18,12,22,0.00,6,,276
2013-7-16,70,64,58,60,57,54,100,81,61,30.05,29.97,29.88,10,10,10,17,11,26,T,6,,266
2013-7-17,70,64,58,59,58,57,100,83,66,30.12,30.08,30.04,10,10,10,17,9,24,0.00,5,,268
2013-7-18,72,64,56,59,58,56,100,81,61,30.08,30.03,29.97,10,10,10,21,9,58,0.00,4,,285
2013-7-19,71,64,56,59,57,56,100,79,57,29.98,29.93,29.86,10,10,9,23,9,25,0.00,5,Fog,299
2013-7-20,72,64,55,60,57,55,100,81,61,29.88,29.83,29.77,10,10,8,22,9,26,0.00,4,Fog,289
2013-7-21,68,62,56,59,58,55,100,87,73,29.90,29.83,29.79,10,10,6,20,10,35,0.00,5,,314
2013-7-22,70,63,56,63,60,54,100,87,73,29.97,29.94,29.89,10,10,6,16,10,29,0.00,7,,322
2013-7-23,72,66,59,62,61,59,100,83,66,30.01,29.98,29.95,10,10,10,16,8,20,T,6,,307
2013-7-24,74,66,57,61,58,55,100,79,57,30.00,29.97,29.92,10,10,10,16,8,20,0.00,3,,301
2013-7-25,69,62,55,60,56,41,100,78,55,30.05,30.00,29.95,10,10,10,20,10,25,0.00,4,,310
2013-7-26,69,62,55,61,58,53,100,88,76,30.12,30.07,30.04,10,10,10,22,11,31,0.00,5,,299
2013-7-27,68,63,57,61,59,57,100,87,73,30.04,29.97,29.89,10,10,9,22,11,25,0.00,6,,300
2013-7-28,68,63,57,59,58,57,100,87,73,29.89,29.87,29.84,10,10,8,21,9,23,0.00,5,,293
2013-7-29,70,64,57,59,57,54,100,80,59,30.03,29.95,29.86,10,8,6,21,10,38,0.00,5,,261
2013-7-30,68,62,56,58,58,56,100,84,68,30.11,30.07,30.04,10,8,6,20,10,32,0.00,5,,308
2013-7-31,68,62,56,58,57,56,100,84,68,30.11,30.08,30.05,10,10,8,18,10,28,0.00,5,,275
