CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-10-1,59,50,41,,,,93,75,57,,,,,,,23,10,28,0.89,,,-1
2009-10-2,56,52,47,,,,100,86,71,,,,,,,18,12,24,0.21,,,-1
2009-10-3,57,52,47,,,,93,80,66,,,,,,,15,7,20,0.11,,,-1
2009-10-4,60,53,45,,,,86,67,47,,,,,,,18,9,23,T,,,-1
2009-10-5,62,53,43,,,,96,71,46,,,,,,,13,5,22,0.00,,,-1
2009-10-6,61,55,49,,,,83,69,55,,,,,,,33,15,47,0.03,,,-1
2009-10-7,60,53,45,,,,76,58,40,,,,,,,22,11,33,0.00,,,-1
2009-10-8,53,49,45,,,,96,84,71,,,,,,,15,5,18,0.12,,,-1
2009-10-9,52,46,39,,,,93,86,79,,,,,,,17,10,26,0.46,,,-1
2009-10-10,48,40,31,,,,89,69,49,,,,,,,18,8,24,0.00,,,-1
2009-10-11,44,37,29,,,,92,64,36,,,,,,,12,5,23,0.00,,,-1
2009-10-12,48,45,41,,,,92,71,49,,,,,,,9,4,21,0.02,,,-1
2009-10-13,47,41,34,,,,89,66,42,,,,,,,17,10,28,0.00,,,-1
2009-10-14,48,45,42,,,,89,71,53,,,,,,,20,12,28,0.03,,,-1
2009-10-15,44,43,41,,,,89,86,82,,,,,,,16,9,28,0.29,,,-1
2009-10-16,45,42,39,,,,92,81,70,,,,,,,20,8,,0.04,,,-1
2009-10-17,52,44,36,,,,85,63,41,,,,,,,16,8,24,T,,,-1
2009-10-18,53,42,31,,,,96,71,46,,,,,,,16,7,21,0.00,,,-1
2009-10-19,65,55,44,,,,83,68,52,,,,,,,22,12,28,0.00,,,-1
2009-10-20,62,55,48,,,,86,73,60,,,,,,,12,5,21,0.03,,,-1
2009-10-21,69,62,55,,,,86,72,57,,,,,,,21,12,28,T,,,-1
2009-10-22,58,53,48,,,,100,86,72,,,,,,,23,13,29,1.03,,,-1
2009-10-23,61,52,42,,,,100,95,89,,,,,,,26,16,33,0.89,,,-1
2009-10-24,50,44,38,,,,92,74,56,,,,,,,21,9,25,0.04,,,-1
2009-10-25,62,53,44,,,,96,76,55,,,,,,,16,7,20,0.27,,,-1
2009-10-26,55,52,49,,,,96,90,83,,,,,,,14,8,18,0.11,,,-1
2009-10-27,51,48,45,,,,93,82,71,,,,,,,12,7,23,0.06,,,-1
2009-10-28,57,54,50,,,,100,86,72,,,,,,,13,4,15,0.00,,,-1
2009-10-29,60,54,47,,,,93,79,64,,,,,,,30,13,38,0.60,,,-1
2009-10-30,67,57,46,,,,100,78,56,,,,,,,29,17,41,0.81,,,-1
2009-10-31,46,41,35,,,,82,64,45,,,,,,,30,12,39,T,,,-1
