CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-1-1,44,37,29,36,26,16,85,71,56,30.07,29.82,29.52,10,9,2,33,19,47,0.04,7,Rain-Snow,273
2012-1-2,29,24,18,18,11,5,77,64,50,30.42,30.19,30.06,10,7,2,29,18,37,0.01,7,Snow,315
2012-1-3,27,20,13,14,7,4,70,54,38,30.45,30.30,30.04,10,10,10,23,10,28,0.00,4,,244
2012-1-4,41,33,25,25,20,15,69,57,44,30.07,30.00,29.93,10,10,10,17,8,21,0.00,4,,261
2012-1-5,49,36,23,31,27,19,81,66,50,30.04,29.88,29.70,10,10,10,15,8,23,0.00,3,,230
2012-1-6,55,47,38,36,32,28,70,58,46,29.79,29.72,29.66,10,10,10,20,8,25,0.00,7,,257
2012-1-7,44,36,28,28,26,23,78,66,53,30.25,30.05,29.81,10,10,10,16,7,20,0.00,2,,296
2012-1-8,42,34,25,28,24,19,85,70,54,30.37,30.32,30.27,10,10,8,9,3,13,0.00,4,,256
2012-1-9,46,36,25,29,27,24,92,69,45,30.27,30.09,29.95,10,9,6,24,11,32,0.00,2,,241
2012-1-10,52,39,25,32,29,23,92,68,44,30.07,29.95,29.80,10,10,10,16,5,22,0.00,0,,204
2012-1-11,54,41,27,32,29,24,85,63,41,29.78,29.62,29.49,10,10,10,10,3,22,0.00,3,,38
2012-1-12,37,28,19,30,24,14,92,84,75,29.57,29.46,29.37,9,3,0,23,12,29,0.35,7,Fog-Snow,300
2012-1-13,22,20,17,14,12,10,80,74,67,30.06,29.83,29.55,10,8,2,20,12,24,0.01,8,Snow,287
2012-1-14,19,14,8,11,8,6,80,68,56,30.28,30.15,30.03,10,9,5,10,5,14,T,7,Snow,264
2012-1-15,31,18,5,22,14,3,80,74,67,30.38,30.26,30.04,10,10,8,22,11,28,T,4,Snow,173
2012-1-16,45,38,30,38,32,22,86,74,62,30.01,29.80,29.70,10,9,6,23,10,31,0.04,6,Rain,195
2012-1-17,39,28,17,37,26,6,92,77,62,30.27,29.81,29.57,10,5,1,28,15,36,0.16,7,Rain-Snow,341
2012-1-18,26,18,10,18,10,3,76,65,54,30.31,30.15,29.86,10,10,10,23,11,29,0.00,3,,223
2012-1-19,28,17,5,22,5,-12,81,62,42,30.24,29.98,29.77,10,8,2,23,13,30,0.01,5,Snow,288
2012-1-20,24,15,5,19,9,-12,88,67,45,30.27,30.14,30.05,10,4,0,12,5,22,0.54,7,Fog-Snow,19
2012-1-21,25,21,16,18,13,8,84,73,62,30.27,30.20,30.08,10,10,7,15,8,23,T,7,Snow,15
2012-1-22,40,28,16,38,28,10,96,85,74,30.12,29.79,29.46,10,3,0,21,13,24,0.32,8,Fog-Rain-Snow-Thunderstorm,155
2012-1-23,46,38,30,43,33,21,92,81,69,29.92,29.53,29.34,10,7,2,30,17,43,0.29,8,Rain-Snow-Thunderstorm,232
2012-1-24,37,31,25,24,22,19,78,69,59,30.36,30.18,29.91,10,10,9,21,9,26,0.00,5,,273
2012-1-25,36,29,22,29,25,19,88,79,70,30.37,30.25,30.08,8,6,4,12,4,14,0.00,7,,156
2012-1-26,38,35,32,36,32,28,92,87,82,30.05,29.80,29.64,6,3,1,15,4,20,T,8,,19
2012-1-27,43,39,34,31,27,21,89,66,43,29.98,29.85,29.65,10,8,2,18,9,23,0.04,6,Snow,281
2012-1-28,34,30,26,31,24,17,89,74,58,30.12,29.95,29.79,10,7,1,28,15,36,0.05,4,Snow,248
2012-1-29,31,26,21,27,19,12,75,65,55,30.25,30.07,29.93,10,8,1,24,11,31,T,5,Snow,270
2012-1-30,53,38,22,38,28,15,74,63,52,30.24,29.96,29.81,10,10,10,25,13,32,0.00,6,,192
2012-1-31,57,50,43,46,41,36,83,71,59,29.89,29.82,29.77,10,10,10,24,15,35,0.00,4,,225
