PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-12-1,44,42,40,42,40,39,100,95,89,30.13,30.10,30.08,10,7,2,15,6,16,0.20,8,Rain,113
2010-12-2,46,43,40,41,40,39,100,88,76,30.17,30.11,30.08,10,7,0,8,3,8,T,8,Fog-Rain,117
2010-12-3,47,43,38,40,36,29,96,78,60,30.26,30.19,30.15,10,10,10,25,8,33,0.01,6,,110
2010-12-4,46,43,39,29,28,28,64,59,53,30.14,30.11,30.08,10,10,10,33,23,44,0.00,6,,90
2010-12-5,48,44,40,29,28,27,60,55,49,30.13,30.05,29.92,10,10,10,28,19,36,0.00,6,,92
2010-12-6,46,42,38,35,33,28,85,71,57,30.22,30.11,29.92,10,10,7,31,14,36,0.09,7,Rain,115
2010-12-7,45,42,39,36,33,30,85,72,58,30.22,30.04,29.83,10,10,5,26,16,31,0.17,8,Rain,118
2010-12-8,50,45,40,46,41,35,100,90,79,29.99,29.93,29.83,10,8,4,23,13,26,0.71,7,Rain,115
2010-12-9,52,48,43,49,46,41,100,92,83,29.98,29.91,29.81,10,8,3,15,8,20,1.42,8,Rain,175
2010-12-10,47,44,40,43,42,40,100,88,76,30.29,30.14,29.96,10,9,4,15,5,18,0.21,8,Rain,132
2010-12-11,58,49,40,57,41,38,100,95,89,30.28,30.10,30.02,10,6,2,22,11,25,1.30,8,Rain,119
2010-12-12,61,58,54,54,51,48,86,75,64,30.09,30.05,30.03,10,10,6,24,10,32,0.13,8,Rain,178
2010-12-13,61,56,51,54,52,49,100,88,75,30.02,29.85,29.52,10,10,2,23,9,30,0.06,7,Rain,169
2010-12-14,55,48,41,43,40,37,89,86,82,29.88,29.70,29.56,10,9,3,32,12,39,0.58,7,Rain,203
2010-12-15,48,45,41,40,38,37,89,80,71,30.02,29.97,29.88,10,10,5,21,10,25,0.10,7,Rain,170
2010-12-16,46,42,38,39,34,31,93,79,65,30.02,29.97,29.91,10,10,9,16,10,21,0.00,6,,116
2010-12-17,46,40,33,32,29,26,89,71,53,29.91,29.77,29.42,10,10,9,36,16,47,0.00,4,,103
2010-12-18,43,39,35,38,34,26,92,73,53,29.64,29.52,29.34,10,9,6,39,19,49,0.33,8,Rain,111
2010-12-19,43,38,33,34,32,29,100,79,57,29.60,29.40,29.27,10,9,4,30,16,36,0.15,7,Rain-Snow,111
2010-12-20,39,37,35,36,34,32,92,86,79,29.63,29.49,29.36,10,9,4,23,16,28,0.38,8,Rain,117
2010-12-21,43,40,37,34,33,32,85,76,67,29.71,29.65,29.61,10,10,7,26,16,32,T,7,Rain,115
2010-12-22,44,41,38,39,36,32,89,78,67,29.93,29.83,29.72,10,10,10,22,13,25,0.03,7,Rain,118
2010-12-23,44,42,40,35,34,32,85,75,65,30.04,29.99,29.95,10,10,10,26,18,30,T,8,Rain,115
2010-12-24,43,42,41,38,35,32,82,75,67,29.98,29.90,29.82,10,10,10,30,16,35,0.04,8,Rain,115
2010-12-25,47,44,40,42,37,34,96,81,65,29.81,29.66,29.56,10,10,5,21,8,25,0.14,8,Rain,114
2010-12-26,44,42,39,40,37,36,93,85,76,30.16,29.90,29.66,10,10,7,26,13,40,0.24,7,Rain,169
2010-12-27,49,45,40,45,41,37,92,88,83,30.23,30.09,29.91,10,9,2,21,11,28,0.93,8,Rain,161
2010-12-28,49,44,39,47,43,35,100,93,85,29.90,29.64,29.36,10,6,2,22,11,29,0.92,8,Rain,278
2010-12-29,42,38,33,35,33,30,92,79,65,29.88,29.64,29.43,10,9,1,20,9,26,0.21,7,Rain-Snow,265
2010-12-30,35,31,26,32,29,25,100,93,85,30.13,30.04,29.89,10,5,0,8,3,9,0.00,5,Fog,262
2010-12-31,35,29,22,27,19,16,92,70,47,30.14,30.07,30.01,10,9,4,25,15,30,0.00,2,,94
