PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-7-1,65,61,56,55,47,42,100,72,44,30.01,29.97,29.93,10,10,7,13,3,15,0.15,8,Rain,77
2010-7-2,64,59,54,55,53,46,93,80,67,30.10,30.00,29.93,10,9,4,16,6,25,0.43,7,Rain,223
2010-7-3,70,61,51,50,46,41,89,66,42,30.18,30.14,30.11,10,10,10,14,5,18,0.01,4,,309
2010-7-4,67,60,53,53,50,47,83,71,58,30.25,30.23,30.19,10,10,7,14,5,20,0.00,5,,314
2010-7-5,68,58,48,50,47,46,83,66,48,30.26,30.23,30.17,10,10,10,15,6,20,0.00,5,,315
2010-7-6,85,68,51,53,51,48,89,61,32,30.16,30.06,29.93,10,10,10,17,6,23,0.00,0,,323
2010-7-7,95,76,57,60,49,40,80,48,15,29.95,29.89,29.81,10,10,10,22,8,28,0.00,0,,355
2010-7-8,97,80,63,61,55,48,84,52,20,29.93,29.89,29.84,10,10,10,13,6,16,0.00,1,,290
2010-7-9,94,78,61,59,56,50,84,54,24,29.98,29.94,29.89,10,10,10,16,6,21,0.00,3,,302
2010-7-10,84,74,63,62,57,49,78,63,47,30.03,29.98,29.93,10,10,10,16,7,22,0.00,4,,317
2010-7-11,81,71,62,62,59,56,86,73,54,30.02,29.98,29.92,10,10,10,13,5,,0.00,5,,330
2010-7-12,69,63,56,55,48,44,84,64,44,30.13,30.06,29.98,10,10,10,16,8,21,0.00,5,,327
2010-7-13,71,63,54,50,46,44,83,62,40,30.18,30.15,30.12,10,10,10,15,6,21,0.00,4,,326
2010-7-14,84,69,54,54,50,47,89,58,27,30.17,30.11,30.04,10,10,10,14,6,17,0.00,0,,321
2010-7-15,84,71,58,54,52,48,75,53,31,30.12,30.08,30.03,10,10,10,17,7,22,0.00,0,,325
2010-7-16,76,65,53,51,50,48,83,63,43,30.17,30.12,30.07,10,10,10,13,7,18,0.00,2,,328
2010-7-17,75,64,52,55,50,48,89,68,46,30.18,30.14,30.06,10,10,10,13,6,16,0.00,3,,330
2010-7-18,72,63,54,54,50,48,83,68,53,30.20,30.16,30.11,10,10,10,15,6,18,0.00,4,,328
2010-7-19,75,65,55,54,50,48,80,63,46,30.23,30.16,30.07,10,10,9,14,7,20,0.00,4,,321
2010-7-20,72,63,54,56,52,50,100,77,53,30.09,30.04,29.96,10,8,2,9,4,14,0.01,5,,329
2010-7-21,81,68,55,59,54,51,86,66,45,30.02,29.98,29.91,10,10,8,16,5,20,0.00,4,,316
2010-7-22,73,64,54,55,52,50,86,68,49,30.10,30.04,29.95,10,10,10,17,7,21,0.00,4,,332
2010-7-23,83,69,55,56,52,49,83,62,40,30.15,30.07,29.97,10,10,10,17,8,23,0.00,3,,319
2010-7-24,92,78,63,58,55,51,68,47,26,30.03,29.96,29.87,10,10,10,21,9,30,0.00,0,,322
2010-7-25,89,74,59,57,53,48,69,49,29,29.96,29.89,29.81,10,10,10,14,6,17,0.00,1,,318
2010-7-26,89,74,59,56,53,50,78,53,27,29.88,29.82,29.74,10,10,10,13,6,17,0.00,2,,310
2010-7-27,83,69,55,58,53,51,86,61,36,29.94,29.89,29.83,10,10,8,14,6,20,0.00,3,,322
2010-7-28,81,69,57,58,55,52,86,67,48,30.06,29.98,29.93,10,10,10,12,5,15,0.00,5,,323
2010-7-29,82,69,55,57,53,47,93,62,30,30.11,30.06,29.97,10,10,10,13,7,17,0.00,5,,319
2010-7-30,78,67,56,57,54,53,86,65,43,30.07,30.02,29.94,10,10,10,12,6,16,0.00,4,Thunderstorm,322
2010-7-31,71,64,57,56,53,50,86,70,53,30.07,30.03,29.99,10,10,10,13,5,15,0.00,5,,323
