EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-12-1,58,49,39,56,43,34,100,75,50,29.89,29.58,29.33,10,9,1,33,16,40,0.11,6,Rain-Thunderstorm,220
2008-12-2,45,39,32,36,27,21,86,65,44,30.24,30.10,29.90,10,10,10,18,11,22,0.00,3,,257
2008-12-3,44,36,28,28,24,21,78,62,45,30.35,30.27,30.20,10,10,10,15,8,17,0.00,2,,234
2008-12-4,52,43,34,43,34,21,82,66,50,30.19,30.13,30.06,10,10,10,18,9,22,0.02,6,Rain,252
2008-12-5,42,35,28,27,18,14,59,48,37,30.29,30.24,30.19,10,10,10,20,10,24,0.00,4,,311
2008-12-6,37,31,25,34,23,13,96,72,47,30.23,30.07,29.88,10,6,2,9,5,10,0.03,7,Snow,209
2008-12-7,36,30,24,34,17,0,92,62,32,30.24,29.92,29.73,10,9,5,35,18,48,T,4,Rain,282
2008-12-8,28,24,20,9,4,0,46,41,35,30.49,30.42,30.26,10,10,10,18,8,21,0.00,6,,267
2008-12-9,57,42,27,51,33,10,86,64,42,30.48,30.30,30.12,10,10,10,18,7,23,T,8,Rain,174
2008-12-10,65,56,46,59,54,44,100,86,72,30.09,29.96,29.87,10,7,1,26,13,33,0.29,8,Fog-Rain,205
2008-12-11,46,43,39,43,40,37,100,95,89,30.02,29.84,29.48,10,5,2,20,13,26,2.72,8,Rain,39
2008-12-12,45,39,33,43,35,23,100,77,54,30.07,29.60,29.37,10,8,2,26,13,33,0.51,7,Rain,323
2008-12-13,36,32,27,21,14,10,75,57,38,30.52,30.35,30.09,10,10,10,20,9,25,0.00,1,,309
2008-12-14,47,37,26,39,27,18,82,64,45,30.56,30.49,30.43,10,10,10,17,8,20,0.00,6,,177
2008-12-15,66,55,43,54,48,39,93,76,58,30.43,30.30,30.21,10,10,10,28,11,33,0.01,7,Rain,200
2008-12-16,58,46,33,55,34,27,89,72,54,30.51,30.43,30.25,10,7,2,25,11,33,0.46,8,Rain-Snow,13
2008-12-17,42,38,33,39,35,31,100,87,73,30.31,30.17,30.06,10,7,2,16,7,18,0.30,7,Rain,325
2008-12-18,43,37,31,33,31,29,89,76,62,30.40,30.32,30.25,10,10,8,10,4,17,0.00,6,,296
2008-12-19,40,37,34,36,34,30,100,85,70,30.28,29.96,29.72,10,6,1,22,9,24,0.80,8,Rain,47
2008-12-20,35,31,26,34,25,19,100,85,69,30.13,30.04,29.87,10,10,8,18,11,22,0.00,8,,30
2008-12-21,38,32,26,31,24,-3,92,60,27,30.01,29.76,29.58,10,7,2,38,12,48,0.23,6,Rain-Snow,342
2008-12-22,27,21,15,6,1,-3,47,38,29,30.53,30.17,29.78,10,10,10,35,18,43,0.00,1,,281
2008-12-23,32,25,17,23,12,6,69,58,46,30.73,30.62,30.52,10,10,10,15,8,21,T,6,Rain,221
2008-12-24,62,47,32,54,37,25,89,80,70,30.51,30.24,29.86,10,9,4,28,11,35,0.05,8,Rain,202
2008-12-25,60,45,30,54,30,20,63,46,29,30.53,30.20,29.85,10,9,3,31,14,37,0.04,4,Rain,302
2008-12-26,44,37,29,34,26,20,82,68,53,30.60,30.53,30.46,10,10,10,9,4,20,T,6,Rain,67
2008-12-27,52,45,38,52,42,33,100,91,82,30.44,30.28,30.14,10,5,1,10,3,14,0.01,8,Rain,214
2008-12-28,66,58,49,57,49,25,100,66,32,30.13,30.01,29.85,10,10,8,29,16,35,0.00,6,,228
2008-12-29,49,42,35,27,24,20,59,47,34,30.11,29.99,29.77,10,10,10,18,10,23,0.00,1,,277
2008-12-30,47,40,32,26,16,7,64,42,19,29.98,29.89,29.76,10,10,10,31,14,38,0.00,1,,288
2008-12-31,45,34,23,27,17,1,69,49,29,30.09,29.71,29.45,10,10,6,43,19,51,T,5,Snow,335
