EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-10-1,66,60,53,55,51,48,89,74,58,29.76,29.71,29.63,10,10,5,17,10,21,0.11,7,Rain,319
2011-10-2,56,53,49,50,46,42,89,78,66,29.94,29.81,29.71,10,9,3,17,9,20,0.46,7,Rain,238
2011-10-3,56,53,49,45,43,39,86,71,55,30.09,30.01,29.93,10,10,10,12,6,16,T,7,Rain,228
2011-10-4,66,57,48,51,47,43,86,69,52,30.09,30.07,30.05,10,10,7,18,10,26,0.01,4,Rain,306
2011-10-5,74,64,53,50,46,39,89,62,35,30.29,30.14,30.09,10,10,10,20,10,25,0.00,0,,304
2011-10-6,69,58,47,45,38,31,71,49,26,30.41,30.35,30.31,10,10,10,13,7,20,0.00,0,,301
2011-10-7,70,59,48,48,41,36,72,50,28,30.50,30.44,30.36,10,10,10,7,3,9,0.00,1,,88
2011-10-8,76,64,51,52,48,44,83,59,35,30.57,30.49,30.43,10,10,10,10,5,12,0.00,0,,234
2011-10-9,85,69,53,57,53,48,86,58,29,30.45,30.39,30.32,10,10,10,10,3,14,0.00,1,,234
2011-10-10,81,69,56,60,56,52,93,66,39,30.31,30.24,30.16,10,10,10,10,3,15,0.00,6,,286
2011-10-11,74,68,62,58,55,51,78,62,46,30.19,30.15,30.12,10,10,10,13,7,18,0.00,8,,62
2011-10-12,63,61,59,59,56,53,97,85,72,30.14,30.01,29.88,10,8,2,21,11,26,0.26,8,Rain,59
2011-10-13,71,66,60,67,62,57,97,92,87,29.87,29.75,29.62,10,6,2,14,8,17,0.03,8,Rain,70
2011-10-14,75,66,57,67,61,43,93,72,51,29.62,29.51,29.38,10,8,1,30,12,39,0.26,6,Rain,198
2011-10-15,70,63,56,44,39,33,66,47,27,29.86,29.71,29.65,10,10,10,35,18,43,0.00,1,,240
2011-10-16,70,62,53,47,40,36,59,46,32,29.98,29.86,29.69,10,10,10,26,13,36,0.00,4,,226
2011-10-17,70,63,55,48,42,32,77,51,25,29.86,29.78,29.67,10,10,10,24,10,28,0.00,4,,249
2011-10-18,73,62,50,55,46,32,93,59,25,29.89,29.85,29.83,10,10,7,9,3,13,0.00,5,,98
2011-10-19,71,66,60,69,61,54,100,89,78,29.81,29.57,29.31,10,5,2,26,12,32,0.93,8,Rain,61
2011-10-20,72,64,55,70,54,39,93,70,46,29.75,29.46,29.30,10,9,7,29,18,37,T,5,Rain,198
2011-10-21,59,53,47,42,39,37,71,59,47,30.08,29.95,29.78,10,10,10,22,14,28,0.00,3,,263
2011-10-22,59,51,43,41,39,37,83,65,47,30.14,30.11,30.08,10,10,10,15,7,21,0.00,3,,292
2011-10-23,62,52,42,43,40,37,83,63,42,30.18,30.14,30.09,10,10,10,12,3,15,0.00,3,,221
2011-10-24,66,56,45,54,47,43,93,73,52,30.15,30.07,29.98,10,9,6,15,6,23,0.01,5,Rain,214
2011-10-25,65,56,46,49,39,31,93,61,28,30.15,30.08,30.03,10,10,8,22,10,31,0.00,1,,269
2011-10-26,66,58,50,51,47,43,80,66,52,30.07,29.89,29.77,10,10,10,16,6,20,0.00,7,,221
2011-10-27,64,53,42,58,48,34,93,82,70,30.00,29.73,29.57,10,9,5,23,10,31,0.17,8,Rain,303
2011-10-28,51,44,37,33,28,23,70,53,35,30.26,30.20,30.03,10,10,10,16,7,21,0.00,5,Rain,42
2011-10-29,45,39,33,37,33,30,92,75,58,30.22,29.97,29.82,10,7,1,25,16,35,1.47,8,Rain-Snow,17
2011-10-30,50,42,34,32,29,27,82,62,42,30.38,30.22,30.01,10,10,10,23,10,28,0.00,1,,313
2011-10-31,56,44,31,40,34,29,89,62,35,30.42,30.37,30.29,10,8,0,10,3,14,0.00,5,Fog,112
