MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-4-1,85,74,63,40,31,17,43,26,8,29.94,29.88,29.83,10,10,10,18,7,23,0.00,5,,264
2013-4-2,85,72,58,33,26,21,40,25,10,29.95,29.85,29.78,10,10,10,21,8,28,0.00,2,,275
2013-4-3,88,75,62,35,31,27,30,21,12,30.00,29.91,29.87,10,10,10,12,4,15,0.00,1,,195
2013-4-4,93,78,63,37,29,15,34,21,7,30.01,29.91,29.84,10,10,10,12,5,15,0.00,6,,107
2013-4-5,90,78,65,35,30,24,29,20,10,29.89,29.83,29.77,10,10,10,20,7,26,0.00,3,,188
2013-4-6,89,76,63,36,32,29,31,22,12,29.91,29.82,29.74,10,10,10,10,4,20,0.00,4,,80
2013-4-7,90,77,64,39,34,29,37,25,12,29.86,29.73,29.63,10,10,10,17,5,23,0.00,4,,101
2013-4-8,84,71,57,45,38,31,35,25,15,29.62,29.45,29.32,10,8,2,36,14,43,0.06,5,Rain-Thunderstorm,228
2013-4-9,75,65,55,47,29,19,72,43,14,29.84,29.68,29.52,10,10,10,29,13,35,T,6,Rain,271
2013-4-10,76,65,53,31,26,21,30,23,16,29.97,29.90,29.84,10,10,10,15,5,25,0.00,1,,301
2013-4-11,83,70,56,35,28,18,47,28,9,29.91,29.81,29.69,10,10,10,13,6,17,0.00,3,,107
2013-4-12,89,75,60,33,26,19,36,22,8,29.75,29.71,29.65,10,10,10,13,5,16,0.00,4,,128
2013-4-13,91,76,61,33,27,22,35,22,8,29.78,29.70,29.62,10,10,10,20,8,24,0.00,2,,189
2013-4-14,91,77,63,34,29,23,29,19,9,29.70,29.63,29.54,10,10,10,21,7,24,0.00,2,,207
2013-4-15,89,77,64,37,33,29,34,23,11,29.71,29.65,29.59,10,10,10,25,8,35,0.00,0,,260
2013-4-16,83,74,65,43,34,14,39,25,11,29.75,29.69,29.63,10,10,10,28,11,33,0.00,1,,258
2013-4-17,75,67,59,31,16,0,29,17,5,29.99,29.84,29.73,10,10,10,28,14,33,0.00,2,,275
2013-4-18,76,66,56,16,10,5,19,13,7,30.13,30.05,30.00,10,10,10,15,8,24,0.00,0,,323
2013-4-19,82,70,58,22,6,-3,14,9,4,30.14,30.01,29.88,10,10,10,17,6,22,0.00,1,,69
2013-4-20,90,74,58,24,17,11,25,16,6,29.93,29.85,29.77,10,10,10,20,7,25,0.00,1,,198
2013-4-21,93,78,62,36,21,13,24,15,5,29.96,29.88,29.82,10,10,10,14,5,20,0.00,0,,154
2013-4-22,94,79,64,31,22,14,25,16,6,29.88,29.79,29.67,10,10,10,15,6,21,0.00,0,,170
2013-4-23,93,80,66,28,24,13,24,17,9,29.81,29.74,29.69,10,10,10,15,7,23,0.00,1,,223
2013-4-24,90,77,64,33,25,11,31,20,8,29.84,29.78,29.73,10,10,10,13,6,18,0.00,4,,280
2013-4-25,86,78,69,37,30,23,22,18,13,29.95,29.85,29.77,10,10,10,25,10,32,0.00,2,,222
2013-4-26,92,78,63,36,30,20,36,22,8,30.06,29.98,29.92,10,10,10,13,5,17,0.00,0,,218
2013-4-27,97,82,67,36,26,15,30,18,5,29.99,29.89,29.79,10,10,10,15,3,18,0.00,1,,179
2013-4-28,100,85,69,31,19,5,19,11,3,29.83,29.74,29.65,10,10,10,14,4,24,0.00,0,,90
2013-4-29,102,86,70,28,20,10,19,12,4,29.73,29.64,29.54,10,10,10,17,7,23,0.00,0,,189
2013-4-30,101,86,71,27,20,12,17,11,4,29.73,29.64,29.57,10,10,10,24,10,31,0.00,1,,220
